Year,jan, feb, mar,	apr, may, jun, jul,	aug, sep, oct, nov, dec
2018, 104.4, 104.9,	105, 105.4,	105.8, 105.8, 105.8, 106.5	
2017, 101.4, 102.1, 102.5, 102.9, 103.3, 103.3, 103.2, 103.8, 104.1, 104.2, 104.6, 104.9
2016, 99.5,	99.8, 100.2, 100.2, 100.4, 100.6, 100.6, 100.9, 101.1, 101.2, 101.4, 101.9
2015, 99.3,	99.5, 99.7, 99.9, 100.1, 100.2, 100, 100.3, 100.2, 100.3, 100.3, 100.3
2014, 99,	99.5, 99.7, 100.1, 100, 100.2, 99.9, 100.2, 100.3, 100.4, 100.1, 100.1
2013, 97.1,	97.8, 98.1,	98.3, 98.5, 98.3, 98.3, 98.7, 99.1, 99.1, 99.2, 99.6
2012, 94.6,	95.1, 95.4,	96, 95.9, 95.5, 95.6, 96.1, 96.5, 97, 97.2, 97.6
2011, 91.3,	92, 92.2, 93.2, 93.4, 93.3, 93.3, 93.8, 94.4, 94.5, 94.6, 95.1
2010, 87.8,	88.2, 88.7,	89.2, 89.4, 89.5, 89.3, 89.8, 89.8, 90, 90.3, 91.2
2009, 84.9,	85.6, 85.8,	86, 86.4, 86.7, 86.7, 87, 87.1, 87.2, 87.5, 88
2008, 82.4,	83, 83.4, 84, 84.6, 85.2, 85.1, 85.7, 86.1, 85.9, 85.8, 85.5
2007, 80.6,	81, 81.4, 81.6, 81.8, 82, 81.5,	81.8, 81.9, 82.3, 82.5, 83
2006, 78.5,	78.8, 78.9,	79.4, 79.9, 80.1, 80, 80.4, 80.5, 80.6, 80.8, 81.3
2005, 77,	77.2, 77.5,	77.8, 78.1, 78.1, 78.2, 78.4, 78.6, 78.7, 78.7, 78.9
2004, 75.8, 96,	76.1, 76.4, 76.6, 76.6, 76.4, 76.6, 76.7, 76.9, 77, 77.4
2003, 74.7,	75, 75.3, 75.5, 75.5, 75.4, 75.3, 75.6,	75.9, 76, 75.9,	76.2
