Back to Contents;;;;;;;;;;;;;
;;;;;;;;;;;;;
Table 1; CPIH, CPI & RPI indices: the latest three years 1,2;;;;;;;;;;;;
;;;;;;;;;;;;;
;; CPIH ;;CPI; ;RPI 3; ;;;;;;
;;;;; ;NOT NATIONAL; ;;;;;;
;;;; ; ;STATISTICS ;;;;;;;
;;;;;;;;;;;;;
;;; Percentage; ; Percentage; ; Percentage ;;;;;;
;;; change; ; change;;change;;;;;;
;; Index; over; Index; over; Index (Jan 13,;over;;;;;;
;; (2015=100); 12 months; (2015=100); 12 months; 1987=100); 12 months;;;;;;
;;;;;;;;;;;;;
;;L522;L55O; D7BT; D7G7; CHAW; CZBH;;;;;;
;Aug 2015;100,3;0,4;100,3; -;259,8;1,1;;;;;;
;Sep ;100,2;0,2;100,2;-0,1;259,6;0,8;;;;;;
;Oct ;100,3;0,2;100,3;-0,1;259,5;0,7;;;;;;
;Nov;100,3;0,4;100,3;0,1;259,8;1,1;;;;;;
;Dec;100,4;0,5;100,3;0,2;260,6;1,2;;;;;;
;Jan;99,9;0,6;99,5;0,3;258,8;1,3;;;;;;
;Feb;100,1;0,6;99,8;0,3;260,0;1,3;;;;;;
;Mar ;100,4;0,8;100,2;0,5;261,1;1,6;;;;;;
;Apr ;100,6;0,7;100,2;0,3;261,4;1,3;;;;;;
;May ;100,8;0,7;100,4;0,3;262,1;1,4;;;;;;
;Jun ;101,0;0,8;100,6;0,5;263,1;1,6;;;;;;
;Jul ;100,9;0,9;100,6;0,6;263,4;1,9;;;;;;
;Aug 2016;101,2;1,0;100,9;0,6;264,4;1,8;;;;;;
;Sep ;101,5;1,3;101,1;1,0;264,9;2,0;;;;;;
;Oct;101,6;1,3;101,2;0,9;264,8;2,0;;;;;;
;Nov ;101,8;1,5;101,4;1,2;265,5;2,2;;;;;;
;Dec ;102,2;1,8;101,9;1,6;267,1;2,5;;;;;;
;Jan ;101,8;1,9;101,4;1,8;265,5;2,6;;;;;;
;Feb ;102,4;2,3;102,1;2,3;268,4;3,2;;;;;;
;Mar ;102,7;2,3;102,5;2,3;269,3;3,1;;;;;;
;Apr ;103,2;2,6;102,9;2,7;270,6;3,5;;;;;;
;May;103,5;2,7;103,3;2,9;271,7;3,7;;;;;;
;Jun ;103,5;2,6;103,3;2,6;272,3;3,5;;;;;;
;Jul ;103,5;2,6;103,2;2,6;272,9;3,6;;;;;;
;Aug 2017;104,0;2,7;103,8;2,9;274,7;3,9;;;;;;
;Sep ;104,3;2,8;104,1;3,0;275,1;3,9;;;;;;
;Oct ;104,4;2,8;104,2;3,0;275,3;4,0;;;;;;
;Nov ;104,7;2,8;104,6;3,1;275,8;3,9;;;;;;
;Dec ;105,0;2,7;104,9;3,0;278,1;4,1;;;;;;
;Jan;104,5;2,7;104,4;3,0;276,0;4,0;;;;;;
;Feb;104,9;2,5;104,9;2,7;278,1;3,6;;;;;;
;Mar;105,1;2,3;105,0;2,5;278,3;3,3;;;;;;
;Apr ;105,5;2,2;105,4;2,4;279,7;3,4;;;;;;
;May;105,9;2,3;105,8;2,4;280,7;3,3;;;;;;
;Jun ;105,9;2,3;105,8;2,4;281,5;3,4;;;;;;
;Jul ;105,9;2,3;105,8;2,5;281,7;3,2;;;;;;
;Aug 2018;106,5;2,4;106,5;2,7;284,2;3,5;;;;;;
;;;;;;;;;;;;;
; Key:  - zero or negligible;;;;;;;;;;;;
;;;;;;;;;;;;;
1;From the release of January consumer price inflation data on 16 February 2016, CPIH and CPI indices have been re-referenced and published with 2015=100.;;;;;;;;;;;;
;Full historic series for each of the re-referenced indices are available for users to view or download.;;;;;;;;;;;;
;Regular re-referencing of indices is methodological good practice as it avoids rounding issues that can arise from small index values. ;;;;;;;;;;;;
;Please note that re-referencing does not impact on published inflation rates, although when using the indices to calculate inflation rates, ;;;;;;;;;;;;
;it is important to use indices that are referenced on the same year. Re-referencing does not impact on RPI.;;;;;;;;;;;;
;For more information, please contact cpi@ons.gsi.gov.uk.;;;;;;;;;;;;
;;;;;;;;;;;;;
2;More detailed CPIH, CPI and RPI data are available at:;;;;;;;;;;;;
;http://www.ons.gov.uk;;;;;;;;;;;;
;;;;;;;;;;;;;
3;The Retail Prices Index and its derivatives do not meet the required standards ;;;;;;;;;;;;
;for designation as National Statistics. A full report can be found at: ;;;;;;;;;;;;
;http://www.statisticsauthority.gov.uk/;;;;;;;;;;;;
;;;;;;;;;;;;;
;Source: ;;;;;;;;;;;;
;Office for National Statistics;;;;;;;;;;;;
;Prices Division;;;;;;;;;;;;
;2.001 Cardiff Road;;;;;;;;;;;;
;Newport;;;;;;;;;;;;
;South Wales;;;;;;;;;;;;
;NP10 8XG;;;;;;;;;;;;
;Tel: +44 (0) 1633 456900;;;;;;;;;;;;
;;;;;;;;;;;;;
;http://www.ons.gov.uk;;;;;;;;;;;;
