Back to Contents;;;;;;;;;;
;;;;;;;;;;
Table 12;Contributions 1 to changes in all items CPIH ;;;;;;;;;
;;;;;;;;;;
 percentage points;; Contribution to;;;;;;;;
;; Monthly change in; All items; All items; Change in latest;;;;;
;; all items index between; percentage change; percentage change; 12-month rate between;;;;;
;;Jul 2018 and; over 12 months; over 12 months;Jul 2018 and;;;;;
;;Aug 2018; to Jul 2018; to Aug 2018;Aug 20181;;;;;
;; ;;; ;;;;;
 ; CPIH ALL ITEMS;0,6;2,3;2,4;0,1;;;;;
 ; of which:;;;;;;;;;
 ; Food and non-alcoholic beverages;0,01;0,19;0,19;0,01;;;;;
 ; Alcoholic beverages and tobacco;0,02;0,12;0,13;0,02;;;;;
 ; Clothing and footwear;0,17;-0,01;0,02;0,04;;;;;
 ;Housing, water, electricity, gas and other fuels (Incl OOH);0,04;0,55;0,54;-0,01;;;;;
 ; Furniture, household equipment and maintenance;0,06;0,06;0,03;-0,03;;;;;
 ; Health;0,01;0,05;0,05; -;;;;;
 ; Transport;0,17;0,71;0,75;0,05;;;;;
 ; Communication;0,01;0,03;0,01;-0,03;;;;;
 ; Recreation and culture;0,07;0,38;0,43;0,06;;;;;
 ; Education; -;0,05;0,05; -;;;;;
 ; Restaurants and hotels;0,01;0,24;0,25;0,01;;;;;
 ; Miscellaneous goods and services;0,04;-0,08;-0,06;0,02;;;;;
 ; Rounding effects 3;-0,01;0,01;0,01;-0,04;;;;;
;;;;;;;;;;
; Key:    - zero or negligible   ..  not available (nec) not elsewhere covered;;;;;;;;;
;;;;;;;;;;
1; The contribution of a component to a change in the index is defined as the;;;;;;;;;
; movement in the index that would have occurred if all the other component;;;;;;;;;
; indices had remained unchanged.;;;;;;;;;
; ;;;;;;;;;
2; Column 4 = column 3 less column 2.;;;;;;;;;
; ;;;;;;;;;
3; The individual contributions of components to movements in the CPIH shown;;;;;;;;;
; in this table are derived with maximum precision at every stage of the;;;;;;;;;
; calculation and, in order to provide meaningful analysis, are given to two;;;;;;;;;
; decimal places. However, each month, the CPIH is given as a unique official;;;;;;;;;
; figure which, while also subject to maximum precision, is rounded to the;;;;;;;;;
; nearest single decimal place. Percentage changes in the monthly CPIH are;;;;;;;;;
; derived from the official rounded index and they, in turn, are also;;;;;;;;;
; published to just one decimal place. Inevitably, there will be differences;;;;;;;;;
; between the rounded percentage changes derived from the official index and;;;;;;;;;
; the sum of the individual contributions.;;;;;;;;;
;;;;;;;;;;
;Source: ;;;;;;;;;
;Office for National Statistics;;;;;;;;;
;Prices Division;;;;;;;;;
;2.001 Cardiff Road;;;;;;;;;
;Newport;;;;;;;;;
;South Wales;;;;;;;;;
;NP10 8XG;;;;;;;;;
;Tel: +44 (0) 1633 456900;;;;;;;;;
;;;;;;;;;;
;http://www.ons.gov.uk;;;;;;;;;
