Back to Contents;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Table 13; CPIH: Detailed Goods and Services Breakdown: Latest 13 months 1, 2, 3;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
; 2015=100;; Annual average;;;;;;;;;;;;;
;;;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2018
;;;;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug
;L522  ; CPIH (overall index);103,6;104,0;104,3;104,4;104,7;105,0;104,5;104,9;105,1;105,5;105,9;105,9;105,9;106,5
;;;;;;;;;;;;;;;;
;L52F  ; All goods;101,6;101,3;102,4;102,8;103,4;103,4;102,8;103,4;103,7;103,8;104,2;103,9;103,3;104,1
;L5JE  ; Food, alcoholic beverages & tobacco;101,6;101,6;102,2;102,4;102,6;103,3;103,9;104,0;104,2;104,4;104,4;104,0;104,2;104,5
;L5JF  ; Processed food & non-alcoholic beverages;100,0;100,2;100,7;100,4;100,8;101,8;101,8;101,8;102,7;102,9;102,4;102,2;102,8;102,8
;L5JG  ; Non-processed food;99,6;98,7;99,7;101,0;101,5;101,9;101,8;101,9;101,9;101,3;101,3;100,6;100,4;100,8
;L5JH; Seasonal food;101,2;99,9;100,8;102,9;103,9;103,5;103,9;104,1;103,6;102,7;103,3;102,3;101,8;102,6
;L52J  ; Meat;97,6;97,0;98,3;98,5;98,6;99,9;99,0;99,2;99,8;99,5;98,9;98,4;98,6;98,4
;L524  ; Alcoholic beverages & tobacco;105,9;106,7;106,9;106,8;106,4;106,9;109,3;109,4;108,9;109,7;110,7;110,6;110,3;111,0
;;;;;;;;;;;;;;;;
;L5JI  ; Industrial goods;101,6;101,2;102,5;102,9;103,6;103,5;102,4;103,2;103,5;103,6;104,2;103,9;103,0;104,0
;L5JJ; *Energy;103,4;103,0;104,1;104,6;105,6;106,1;106,6;106,5;105,9;106,9;108,9;111,2;111,7;112,2
;L5JK  ; Electricity, gas & miscellaneous energy;100,0;101,2;101,2;102,4;102,5;102,5;102,6;102,6;102,6;103,2;103,1;105,5;107,0;107,0
;L5JL  ; Liquid fuels, vehicle fuels & lubricants;106,1;104,0;106,3;106,0;108,0;109,0;109,9;109,8;108,6;109,9;114,0;116,4;115,7;116,9
;L5JM  ; Non-energy industrial goods;101,4;101,0;102,3;102,6;103,3;103,0;101,6;102,7;103,1;103,0;103,3;102,5;101,3;102,4
;L5JN  ; Clothing & footwear goods;102,6;101,4;105,4;105,5;106,8;105,8;101,7;103,4;104,1;104,5;104,7;102,4;98,6;101,7
;L5JO  ; Housing goods;101,8;102,8;103,0;102,5;102,8;104,2;101,3;104,0;103,9;103,2;103,9;104,1;102,1;103,4
;L5JP  ; Household goods;101,9;103,0;103,3;102,7;103,0;104,5;101,3;104,3;104,2;103,2;103,9;104,2;102,0;103,4
