Back to Contents;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Table 15; CPIH: Detailed goods and services breakdown: 2007 to 2017 1, 2, 3;;;;;;;;;;;;;
; 2015=100;;;;;;;;;;;;;
;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
;L522  ; CPIH (overall index);83,3;86,2;87,9;90,1;93,6;96,0;98,2;99,6;100,0;101,0;103,6;
;;;;;;;;;;;;;;
;L52F  ; All goods;86,1;89,0;90,2;92,9;97,2;99,4;101,4;102,0;100,0;98,9;101,6;
;L5JE  ; Food, alcoholic beverages & tobacco;73,5;79,2;83,3;86,6;92,2;95,8;100,2;101,3;100,0;98,7;101,6;
;L5JF  ; Processed food & non-alcoholic beverages;76,5;83,8;88,0;91,0;96,7;99,6;102,1;102,5;100,0;98,0;100,0;
;L5JG  ; Non-processed food;76,4;83,1;88,1;91,1;95,2;98,6;103,8;102,8;100,0;97,1;99,6;
;L5JH; Seasonal food;76,7;82,4;86,8;91,6;95,3;98,4;104,7;102,5;100,0;98,0;101,2;
;L52J  ; Meat;76,0;84,0;89,5;90,3;95,2;98,8;102,6;103,2;100,0;95,9;97,6;
;L524  ; Alcoholic beverages & tobacco;66,8;69,5;72,5;76,5;83,2;88,2;93,8;98,0;100,0;101,5;105,9;
;;;;;;;;;;;;;;
;L5JI  ; Industrial goods;91,5;93,2;93,0;95,5;99,2;100,9;101,9;102,3;100,0;99,0;101,6;
;L5JJ; *Energy;71,8;84,1;84,3;89,2;99,8;104,8;108,3;108,4;100,0;97,5;103,4;
;L5JK  ; Electricity, gas & miscellaneous energy;62,5;73,4;80,1;76,8;83,8;90,7;97,5;102,4;100,0;97,2;100,0;
;L5JL  ; Liquid fuels, vehicle fuels & lubricants;85,4;99,5;90,5;106,0;121,7;124,1;122,8;116,2;100,0;97,4;106,1;
;L5JM  ; Non-energy industrial goods;97,8;96,2;96,0;97,8;99,4;100,1;100,3;100,8;100,0;99,4;101,4;
;L5JN  ; Clothing & footwear goods;112,4;104,8;96,4;95,4;97,6;98,4;99,3;99,7;100,0;100,1;102,6;
;L5JO  ; Housing goods;82,2;84,5;87,9;91,2;96,2;99,4;100,0;100,5;100,0;99,4;101,8;
;L5JP  ; Household goods;84,4;86,0;89,0;91,8;96,4;99,2;99,8;100,4;100,0;99,3;101,9;
;L5JQ  ;" Water supply; materials for maintenance & repair";74,2;78,5;83,5;88,7;94,6;99,1;99,8;101,0;100,0;100,2;100,9;
;L5JR  ; Medical products, appliances & equipment;90,6;91,4;92,5;93,1;94,7;96,1;96,4;98,6;100,0;101,2;102,7;
;L5JS  ; Vehicles, spare parts & accessories;96,5;95,0;96,4;100,5;101,6;101,2;100,5;100,9;100,0;98,7;100,2;
;L5JT  ; Recreational goods;112,1;108,5;107,1;107,1;104,5;102,6;102,2;102,4;100,0;99,1;101,1;
;L5K8  ; Audio-visual goods;204,6;176,3;156,7;147,3;132,1;121,2;115,0;110,0;100,0;94,6;95,9;
;L5K9  ; Other recreational goods;89,9;91,1;93,2;95,2;96,1;96,9;98,2;100,0;100,0;100,6;102,8;
;L5JU  ; Miscellaneous goods;87,4;89,4;92,1;94,8;98,2;100,6;101,5;101,0;100,0;99,1;99,8;
;;;;;;;;;;;;;;
;L52G  ; All services;81,3;84,2;86,3;88,1;91,0;93,5;95,9;97,9;100,0;102,5;105,0;
;L5JV  ; Housing services;88,1;90,8;92,0;91,8;93,3;95,0;96,5;98,1;100,0;102,2;104,2;
;L536  ; Actual rentals for housing;82,0;84,8;86,3;87,5;89,7;92,7;95,0;97,2;100,0;101,8;102,7;
;L5P5; Owner occupiers' housing costs;90,1;92,6;93,4;92,4;93,8;95,4;96,7;98,2;100,0;102,3;104,4;
;L5JW  ; Primary housing services;87,8;91,3;93,9;95,5;96,4;97,1;98,0;99,2;100,0;102,2;105,4;
;L5JX  ; Other housing services;84,0;87,8;89,5;91,4;93,1;94,4;95,5;97,4;100,0;103,2;105,6;
;;;;;;;;;;;;;;
;L5JZ  ; Travel & transport services;65,9;70,2;74,2;80,1;87,6;91,5;94,4;97,3;100,0;103,7;108,6;
;L5K2  ; Services for personal transport equipment;79,9;83,7;86,1;89,3;93,3;94,6;96,2;98,2;100,0;102,3;105,6;
;L54C  ; Transport services;58,1;63,0;67,6;73,5;82,1;88,0;92,6;96,4;100,0;103,9;109,4;
;L55K  ; Transport insurance;53,0;54,0;59,5;77,8;96,0;96,6;95,1;97,1;100,0;111,9;124,1;
;;;;;;;;;;;;;;
;L52A  ; Communication;84,6;82,4;83,3;87,4;90,8;94,6;97,5;98,6;100,0;102,7;104,6;
;;;;;;;;;;;;;;
;L5K3  ; Recreational & personal services;78,8;81,7;84,3;87,1;90,8;93,5;96,1;98,2;100,0;102,2;105,0;
;L5K4  ; Package holidays & accommodation;80,3;82,8;86,0;89,1;91,5;94,3;96,8;98,1;100,0;101,3;104,2;
;L5K5  ; Other recreational & personal services;78,3;81,3;83,7;86,4;90,5;93,2;95,8;98,2;100,0;102,6;105,2;
;L556  ; Catering services;78,5;81,7;84,0;86,7;90,7;93,6;96,2;98,5;100,0;102,2;105,0;
;L5K6  ; Non-catering recreational & personal services;77,9;80,4;83,0;86,0;89,9;92,2;95,0;97,4;100,0;103,7;105,6;
;;;;;;;;;;;;;;
;L5KS  ; Miscellaneous & other services;76,3;80,0;82,3;83,9;85,5;88,9;93,7;96,6;100,0;103,0;105,2;
;L5K7  ; Miscellaneous services;92,3;94,6;95,4;95,3;95,5;97,6;99,0;98,9;100,0;101,7;102,6;
;L5JY  ; Medical services;73,4;76,9;79,9;83,6;87,5;91,1;94,6;97,6;100,0;103,0;106,5;
;L52C  ; Education;49,3;55,1;59,3;62,4;65,7;71,4;83,6;92,2;100,0;104,7;108,7;
;;;;;;;;;;;;;;
; ; Special aggregates;;;;;;;;;;;;
;L5KK  ; Durables;103,5;101,3;102,0;104,7;104,6;103,6;102,4;102,1;100,0;98,6;101,2;
;L5KL  ; Semi-durables;103,8;99,8;95,9;95,9;97,5;98,6;99,6;100,2;100,0;99,8;101,6;
;L5KM  ; Non-durables;82,7;85,3;88,8;92,0;95,8;98,1;99,0;100,2;100,0;99,9;101,0;
;L5JH; Seasonal food;76,7;82,4;86,8;91,6;95,3;98,4;104,7;102,5;100,0;98,0;101,2;
;L5KJ  ; Non-seasonal food;76,2;84,7;89,5;91,3;96,4;99,4;102,4;102,9;100,0;97,4;99,5;
;L5KN; Energy, food, alcoholic beverages & tobacco;72,9;80,7;83,5;87,4;94,7;98,8;102,8;103,6;100,0;98,3;102,1;
;L5KO; Energy & unprocessed food;73,5;83,6;85,7;89,9;98,1;102,4;106,5;106,2;100,0;97,3;101,8;
;L5KP  ; Energy & seasonal food;73,1;83,6;85,0;89,8;98,7;103,2;107,3;106,8;100,0;97,6;102,7;
;L5KR  ; Tobacco;58,1;60,6;63,0;67,8;75,3;81,7;88,0;94,7;100,0;104,9;111,0;
;L5PG; Housing, water, electricity, gas & other fuels;84,1;88,1;90,0;89,6;92,1;94,6;96,8;98,7;100,0;101,6;103,7;
;L5KQ  ; Education, health & social protection 2;66,7;70,9;74,3;77,3;80,3;84,2;90,4;95,4;100,0;103,5;107,0;
;;;;;;;;;;;;;;
; ; All items excluding;;;;;;;;;;;;
;L5KA  ; Energy;84,2;86,5;88,3;90,3;93,2;95,5;97,6;99,1;100,0;101,2;103,6;
;L5KB  ; Energy, food, alcoholic beverages & tobacco;86,0;87,7;89,1;90,9;93,4;95,4;97,2;98,7;100,0;101,6;103,9;
;L5KF  ; Energy & unprocessed food;84,6;86,7;88,3;90,3;93,2;95,3;97,3;98,9;100,0;101,4;103,8;
;L5KC  ; Seasonal food;83,5;86,3;88,0;90,1;93,6;95,9;98,1;99,6;100,0;101,1;103,6;
;L5KD  ; Energy & seasonal food;84,4;86,6;88,3;90,3;93,2;95,4;97,4;99,0;100,0;101,3;103,7;
;L5PF; Tobacco;83,9;86,8;88,5;90,6;94,0;96,3;98,4;99,7;100,0;100,9;103,5;
;L5KG  ; Alcoholic beverages & tobacco;84,0;86,9;88,6;90,7;94,0;96,3;98,4;99,7;100,0;101,0;103,5;
;L5KE  ; Liquid fuels, vehicle fuels & lubricants;83,3;85,9;87,9;89,7;92,8;95,2;97,5;99,2;100,0;101,1;103,5;
;L5KH  ;Housing, water, electricity, gas and other fuels (Incl OOH);83,0;85,5;87,1;90,3;94,2;96,6;98,8;100,0;100,0;100,7;103,5;
;CRQO;Owner occupiers' housing costs;82,0;85,0;86,9;89,7;93,5;96,1;98,5;99,9;100,0;100,7;103,4;
;CRQQ;Council tax and rates;83,2;86,1;87,8;90,0;93,5;96,0;98,2;99,6;100,0;100,9;103,5;
;CRQP;Owner occupiers' housing costs and council tax and rates;81,8;84,8;86,6;89,5;93,4;96,1;98,5;100,0;100,0;100,7;103,3;
;L5KI  ; Education, health & social protection;84,2;87,0;88,7;90,8;94,3;96,6;98,6;99,8;100,0;100,8;103,4;
;;;;;;;;;;;;;;
;; Key:    - zero or negligible   ..  not available (nec) not elsewhere covered;;;;;;;;;;;;
;;* Energy includes electricity, gas and other fuels, and fuels and lubricants;;;;;;;;;;;;
;;;;;;;;;;;;;;
;1;For the release of January consumer price inflation data on 16 February 2016, CPIH and CPI indices have been re-referenced and published with 2015=100.;;;;;;;;;;;;
;;Full historic series for each of the re-referenced indices are now available for users to view or download.;;;;;;;;;;;;
;;Regular re-referencing of indices is methodological good practice as it avoids rounding issues that can arise from small index values. ;;;;;;;;;;;;
;;Please note that re-referencing does not impact on published inflation rates, although when using the indices to calculate inflation rates, ;;;;;;;;;;;;
;;it is important to use indices that are calculated in the same reference year. Re-referencing does not impact on RPI.;;;;;;;;;;;;
;;For more information, please contact cpi@ons.gsi.gov.uk.;;;;;;;;;;;;
;;;;;;;;;;;;;;
;2; For further information on the composition of the data shown,;;;;;;;;;;;;
;; see 'The Consumer Prices Index: Goods and Services Indices;;;;;;;;;;;;
;; and Special Aggregates', which can be downloaded from:;;;;;;;;;;;;
