Back to Contents;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Table 25; CPI Weights: 2006 to 2018;;;;;;;;;;;;;;;;
; parts per 1000;;;;;;;;;;;;;;;;
;2015=100;;;;;;;;;;;;;;;;
;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;"2017 
Jan";"2017 
Feb-Dec";"2018
Jan";"2018
Feb-Dec"
;CHZQ; CPI (overall index);1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
;CHZR; 01    Food and non-alcoholic beverages;102;103;109;118;108;118;112;106;112;110;103;102;103;101;101
;CHZS; 02    Alcoholic beverages and tobacco;44;43;42;44;40;42;42;44;45;43;42;41;43;41;42
;CHZT; 03    Clothing and footwear;65;62;63;57;56;62;65;68;72;70;71;75;72;72;70
;CHZU; 04    Housing, water, electricity, gas and other fuels;108;115;115;126;129;129;144;137;129;128;120;117;118;133;134
;CHZV; 05    Furniture, household equipment and maintenance;73;68;67;66;64;61;61;59;60;59;59;63;61;63;61
;CHZW; 06    Health;24;24;22;22;22;24;24;25;24;25;28;25;26;24;25
;CHZX; 07    Transport;155;152;152;151;164;159;162;148;152;149;153;160;160;155;156
;CHZY; 08    Communication;25;24;23;23;25;26;27;31;32;31;32;25;25;24;24
;CHZZ; 09    Recreation and culture;147;153;152;145;150;147;134;141;144;147;148;149;148;149;150
;CJUU; 10    Education;17;18;19;21;19;18;19;21;22;26;25;22;22;22;22
;CJUV; 11    Restaurants and hotels;134;138;137;128;126;120;114;117;120;121;123;125;126;121;121
;CJUW; 12    Miscellaneous goods and services ;106;100;99;99;97;94;96;103;88;91;96;96;96;95;94
;;;;;;;;;;;;;;;;;
;ICVH; All goods;554;547;547;554;549;561;555;534;540;532;517;524;525;519;519
;ICVI; All services;446;453;453;446;451;439;445;466;460;468;483;476;475;481;481
;;;;;;;;;;;;;;;;;
;CJUX; 01.1 Food;90;90;95;104;96;103;98;93;99;97;91;90;91;90;90
;CJWB; 01.1.1 Bread and cereals;15;15;16;17;16;17;17;16;17;16;15;15;15;15;15
;L83B;01.1.1.1 Rice; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,48;0,45;0,45;0,45;0,45;0,45
;L83C;01.1.1.2 Flours and other cereals; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,32;0,30;0,30;0,30;0,30;0,30
;L83H;01.1.1.3 Bread; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,52;3,30;3,30;3,30;3,30;3,30
;L83S;01.1.1.4 Other bakery products; ..; ..; ..; ..; ..; ..; ..; ..; ..;6,24;5,85;5,85;5,85;5,85;5,85
;L83T;01.1.1.5 Pizza and quiche; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,96;0,90;0,90;0,90;0,90;0,90
;L844;01.1.1.6 Pasta products and couscous; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,80;0,75;0,75;0,75;0,75;0,75
;L846;01.1.1.7/8 Breakfast cereals and other cereal products; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,68;3,45;3,45;3,45;3,45;3,45
;CJWC; 01.1.2 Meat;21;21;21;23;22;22;22;21;22;22;21;20;20;20;20
;L848;01.1.2.1 Beef and veal; ..; ..; ..; ..; ..; ..; ..; ..; ..;2,86;2,73;2,60;2,60;2,60;2,60
;L849;01.1.2.2 Pork; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,32;1,26;1,20;1,20;1,20;1,20
;L84A;01.1.2.3 Lamb and goat; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,54;1,47;1,40;1,40;1,40;1,40
;L84B;01.1.2.4 Poultry; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,52;3,36;3,20;3,20;3,20;3,20
;L84C;01.1.2.6 Edible offal; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,22;0,21;0,20;0,20;0,20;0,20
;L84D;01.1.2.7 Dried, salted or smoked meat; ..; ..; ..; ..; ..; ..; ..; ..; ..;9,02;8,61;8,20;8,20;8,20;8,20
;L84E;01.1.2.8 Other meat preparations; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,52;3,36;3,20;3,20;3,20;3,20
;CJWD; 01.1.3 Fish;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4
;L84F;01.1.3.1 Fresh or chilled fish; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,76;1,36;1,36;1,36;0,96;0,96
;L84G;01.1.3.4 Frozen seafood; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,52;0,72;0,72;0,72;0,96;0,96
;L84H;01.1.3.6 Other preserved or processed fish and seafood based preps; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,72;1,92;1,92;1,92;2,08;2,08
;CJWE; 01.1.4 Milk, cheese and eggs;13;12;14;15;14;15;14;13;14;14;12;12;12;12;12
;L84I;01.1.4.1 Whole milk; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,84;0,72;0,72;0,72;0,72;0,72
;L84J;01.1.4.2 Low fat milk; ..; ..; ..; ..; ..; ..; ..; ..; ..;4,06;3,12;3,12;3,12;2,52;2,52
;L84L;01.1.4.4 Yoghurt; ..; ..; ..; ..; ..; ..; ..; ..; ..;2,10;1,80;1,80;1,80;2,04;2,04
;L84M;01.1.4.5 Cheese and curd; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,50;3,24;3,24;3,24;3,36;3,36
