Back to Contents;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Table 32; Consumer Prices Index - Constant Taxes (CPI-CT)1;;;;;;;;;;;;;;;
;; ; ; ; ;; Percentage change;;;;; Percentage change;;;;
;; Index (2015=100);;;;; over 12 months;;;;; over 1 month;;;;
;; ;;;;; ;;;;; ;;;;
;; All Items; Goods; Services; Energy;; All Items; Goods; Services; Energy;; All Items; Goods; Services; Energy;
;;;;;;;;;;;;;;;;
;; EAC7; EAC8; EAC9; EAD4;; EAD6; EAD7; EAD8; EAE3;; EAE5; EAE6; EAE7; EAF2;
;Aug 2015;100,3;99,6;101,0;100,4;; -;-2,1;2,4;-7,5;;0,3;0,2;0,4;-1,5;
;Sep;100,2;99,7;100,7;98,6;;-0,1;-2,4;2,6;-9,0;;-0,1;0,1;-0,3;-1,8;
;Oct ;100,3;99,9;100,7;98,2;;-0,1;-2,2;2,3;-8,5;;0,1;0,2;0,1;-0,4;
;Nov;100,2;99,8;100,7;97,7;;0,1;-2,0;2,5;-8,0;;-0,1;-0,1; -;-0,5;
;Dec ;100,3;99,3;101,5;96,4;;0,2;-2,2;2,9;-7,3;;0,1;-0,5;0,8;-1,4;
;Jan ;99,5;98,5;100,7;95,0;;0,3;-1,6;2,4;-5,4;;-0,8;-0,8;-0,8;-1,4;
;Feb ;99,8;98,6;101,1;94,4;;0,2;-1,6;2,4;-5,5;;0,2;0,1;0,4;-0,7;
;Mar ;100,1;98,8;101,7;94,4;;0,4;-1,7;2,9;-6,2;;0,4;0,2;0,6;0,1;
;Apr ;100,1;98,6;101,9;95,7;;0,2;-1,7;2,4;-5,6;; -;-0,2;0,2;1,3;
;May ;100,3;98,6;102,2;97,0;;0,2;-1,9;2,6;-4,9;;0,2; -;0,4;1,4;
;Jun;100,5;98,6;102,7;98,2;;0,4;-1,8;2,8;-4,1;;0,2; -;0,4;1,2;
;Jul ;100,5;97,9;103,3;98,5;;0,5;-1,6;2,7;-3,4;;-0,1;-0,7;0,6;0,3;
;Aug 2016;100,8;98,1;103,8;97,8;;0,5;-1,5;2,8;-2,6;;0,3;0,2;0,5;-0,7;
;Sep;101,0;99,1;103,3;98,5;;0,9;-0,7;2,6;-0,1;;0,2;1,0;-0,5;0,7;
;Oct ;101,1;99,4;103,1;99,9;;0,8;-0,6;2,3;1,7;;0,1;0,3;-0,2;1,4;
;Nov ;101,3;99,9;102,9;100,6;;1,1;0,1;2,2;3,0;;0,2;0,6;-0,2;0,7;
;Dec ;101,8;99,9;104,0;100,5;;1,5;0,6;2,5;4,3;;0,5; -;1,0;-0,1;
;Jan;101,3;99,5;103,3;102,2;;1,8;1,0;2,6;7,5;;-0,5;-0,4;-0,7;1,7;
;Feb ;102,0;100,3;103,9;102,8;;2,3;1,7;2,8;8,9;;0,7;0,9;0,6;0,6;
;Mar ;102,3;100,9;103,8;102,6;;2,1;2,1;2,1;8,6;;0,3;0,5;-0,1;-0,2;
;Apr ;102,6;100,7;104,8;102,3;;2,5;2,2;2,9;7,0;;0,4;-0,1;0,9;-0,2;
;May ;103,0;101,3;104,9;102,9;;2,7;2,7;2,6;6,1;;0,4;0,6;0,1;0,6;
;Jun ;103,0;100,9;105,3;102,4;;2,4;2,4;2,5;4,3;; -;-0,4;0,3;-0,5;
;Jul ;102,9;100,3;105,8;102,2;;2,4;2,5;2,4;3,7;;-0,1;-0,6;0,6;-0,2;
;Aug 2017;103,5;100,9;106,4;103,0;;2,7;2,9;2,5;5,3;;0,6;0,6;0,5;0,8;
;Sep;103,8;102,0;105,9;104,1;;2,8;2,9;2,5;5,8;;0,3;1,1;-0,5;1,1;
;Oct;103,9;102,4;105,7;104,6;;2,8;3,1;2,5;4,8;;0,1;0,4;-0,2;0,5;
;Nov ;104,3;103,0;105,7;105,6;;2,9;3,1;2,7;5,0;;0,3;0,6; -;0,9;
;Dec;104,6;102,9;106,4;106,1;;2,7;3,0;2,4;5,5;;0,3;-0,1;0,7;0,5;
;Jan;104,0;102,3;106,0;106,5;;2,7;2,8;2,6;4,3;;-0,5;-0,6;-0,4;0,4;
;Feb;104,5;102,9;106,2;106,5;;2,4;2,6;2,2;3,6;;0,5;0,6;0,2;-0,1;
;Mar ;104,6;103,2;106,3;105,9;;2,3;2,3;2,4;3,3;;0,1;0,2;0,1;-0,5;
;Apr ;105,0;103,3;106,9;106,9;;2,3;2,5;2,0;4,4;;0,3;0,1;0,6;0,9;
;May ;105,4;103,7;107,3;108,8;;2,3;2,4;2,2;5,7;;0,4;0,4;0,4;1,8;
;Jun ;105,4;103,4;107,6;111,2;;2,3;2,4;2,2;8,7;; -;-0,3;0,3;2,2;
