Back to Contents;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Table 33; Effect of Changes in Indirect Taxes on the Consumer Prices Index;;;;;;;;;;;;;;
; Difference between CPI and CPI-CT rates of change;;;;;;;;;;;;;;
; percentage points;;;;;;;;;;;;;;
;;; Effect on CPI 12 month rate;;;;; Effect on CPI 1 month rate;;;;;;;
;;;;;;;;;;;;;;;
;;; All Items; Goods; Services; Energy;; All Items; Goods; Services; Energy;;;;
;;;;;;;;;;;;;;;
;;; EAF4; EAF5; EAF6; EAF9;; EAG3; EAG4; EAG5; EAG8;;;;
;;Aug 2015; -;0,06;-0,11; -;; -; -;-0,01; -;;;;
;;Sep; -;0,06;-0,11; -;; -; -;0,01; -;;;;
;;Oct ; -;0,06;-0,11; -;; -; -; -; -;;;;
;;Nov;0,03;0,06;-0,04; -;;0,03; -;0,06; -;;;;
;;Dec ;0,03;0,06;-0,05; -;; -; -;-0,02; -;;;;
;;Jan ;0,03;0,06;-0,05; -;; -; -; -; -;;;;
;;Feb ;0,04;0,07;-0,05; -;; -;0,01;-0,01; -;;;;
;;Mar ;0,03;0,07;-0,05; -;; -; -;-0,01; -;;;;
;;Apr ;0,10;0,13;0,03; -;;0,08;0,12;0,03; -;;;;
;;May ;0,10;0,13;0,03; -;; -; -;-0,01; -;;;;
;;Jun;0,10;0,12;0,02; -;; -; -;-0,01; -;;;;
;;Jul ;0,10;0,13;0,03; -;; -; -;-0,01; -;;;;
;;Aug 2016;0,10;0,13;0,02; -;; -; -;-0,01; -;;;;
;;Sep;0,10;0,13;0,03; -;; -; -;0,01; -;;;;
;;Oct ;0,10;0,13;0,04; -;; -; -;0,01; -;;;;
;;Nov ;0,07;0,13;-0,02; -;; -; -; -; -;;;;
;;Dec ;0,06;0,12;-0,03; -;;-0,01; -;-0,02; -;;;;
;;Jan;0,06;0,13;-0,03; -;; -; -; -; -;;;;
;;Feb ;0,05;0,12;-0,04; -;;-0,01; -;-0,02; -;;;;
;;Mar ;0,19;0,35;0,01; -;;0,14;0,23;0,04; -;;;;
;;Apr ;0,20;0,23;0,15; -;;0,08; -;0,17; -;;;;
;;May ;0,20;0,23;0,16; -;; -; -; -; -;;;;
;;Jun ;0,21;0,23;0,19; -;;0,01; -;0,02; -;;;;
;;Jul ;0,21;0,23;0,19; -;; -; -;-0,01; -;;;;
;;Aug 2017;0,21;0,23;0,18; -;;-0,01; -;-0,01; -;;;;
;;Sep;0,21;0,23;0,18; -;; -; -;0,01; -;;;;
;;Oct;0,20;0,23;0,18; -;; -; -; -; -;;;;
;;Nov ;0,20;0,23;0,18; -;; -; -; -; -;;;;
;;Dec;0,27;0,36;0,18; -;;0,06;0,13;-0,02; -;;;;
;;Jan;0,27;0,36;0,18; -;; -; -; -; -;;;;
;;Feb;0,27;0,35;0,19; -;;-0,01; -;-0,01; -;;;;
;;Mar ;0,13;0,12;0,15; -;; -; -; -; -;;;;
;;Apr ;0,11;0,12;0,11; -;;0,06; -;0,13; -;;;;
;;May ;0,11;0,12;0,10; -;; -; -;-0,01; -;;;;
;;Jun ;0,10;0,12;0,07; -;; -; -;-0,01; -;;;;
;;Jul ;0,10;0,12;0,07; -;; -; -;-0,01; -;;;;
;;Aug 2018;0,10;0,12;0,07; -;;-0,01; -;-0,02; -;;;;
;;;;;;;;;;;;;;;
;; Key:     -  zero or negligible     ..  not available;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;Source: ;;;;;;;;;;;;;
;;Office for National Statistics;;;;;;;;;;;;;
;;Prices Division;;;;;;;;;;;;;
;;2.001 Cardiff Road;;;;;;;;;;;;;
;;Newport;;;;;;;;;;;;;
;;South Wales;;;;;;;;;;;;;
;;NP10 8XG;;;;;;;;;;;;;
;;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;http://www.ons.gov.uk;;;;;;;;;;;;;
