Back to Contents;;;;;;;;;;;;;;;
;;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;
Table 37; RPI All Items: 1948 to 2018 1;;;;;;;;;;;;;;
; Percentage change over 12 months;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;; Annual; ; ; ; ; ; ; ; ; ; ; ; 
; per cent;; change; Jan; Feb; Mar; Apr; May; Jun; Jul; Aug; Sep; Oct; Nov; Dec
;;;;;;;;;;;;;;;
; CZBH;1948;  ..;  ..;  ..;  ..;  ..;  ..;9,7;7,2;7,9;7,6;7,0;5,1;4,9
;;1949;2,8;4,6;2,9;2,3;0,6;2,6;1,3;3,0;3,1;3,2;3,6;3,3;3,5
;;1950;3,1;3,6;3,7;4,2;4,9;3,3;2,3;2,2;1,7;2,0;2,5;2,9;3,2
;;1951;9,1;3,9;4,6;5,0;6,3;8,7;9,6;11,3;12,2;12,3;11,9;11,9;12,0
;;1952;9,2;13,0;12,0;11,8;11,8;9,1;10,6;8,8;7,6;6,7;6,9;6,3;6,4
;;1953;3,1;4,4;4,6;4,8;4,1;3,7;2,6;2,7;2,6;2,6;1,7;2,1;1,1
;;1954;1,8;1,3;0,9;1,1;0,6;0,7;0,7;2,3;2,4;2,4;2,8;3,0;4,0
;;1955;4,5;4,2;4,4;3,4;3,6;3,7;5,2;3,8;3,8;4,6;5,2;6,4;5,8
;;1956;4,9;5,1;5,1;6,4;7,3;7,3;5,0;4,3;5,2;4,4;3,9;2,7;3,0
;;1957;3,7;4,4;4,3;2,8;1,8;2,0;3,2;4,5;4,0;3,9;4,3;4,5;4,6
;;1958;3,0;3,5;3,2;4,1;4,9;4,4;4,3;1,8;1,8;2,2;2,1;1,9;1,8
;;1959;0,6;2,1;2,5;1,8;-0,1;-0,1;-0,8;0,5;0,9;0,3;-0,2;0,2; -
;;1960;1,0;-0,5;-0,4;-0,5;0,7;1,1;1,5;1,9;1,0;1,7;2,0;1,7;1,8
;;1961;3,4;2,2;2,2;2,7;2,7;3,0;3,3;3,2;4,8;4,5;3,9;4,5;4,4
;;1962;4,3;4,6;4,7;4,8;5,6;5,7;5,5;5,1;3,2;3,3;2,9;2,3;2,6
;;1963;2,0;2,7;3,5;3,2;2,1;1,7;1,0;0,8;1,4;1,8;2,3;2,2;1,9
;;1964;3,3;1,9;1,2;1,4;2,0;3,0;3,4;4,0;4,7;4,4;4,1;4,6;4,8
;;1965;4,8;4,6;4,5;4,5;5,6;5,0;4,9;4,9;4,7;4,8;4,8;4,4;4,5
;;1966;3,9;4,4;4,5;4,3;3,6;3,9;3,9;3,5;3,9;3,6;3,8;4,0;3,7
;;1967;2,5;3,7;3,7;3,5;3,0;2,2;2,4;2,2;1,4;1,5;2,0;1,9;2,5
;;1968;4,7;2,6;3,0;3,4;4,4;4,6;4,6;5,3;5,7;5,9;5,6;5,2;5,9
;;1969;5,4;6,2;6,2;6,3;5,5;5,3;5,3;5,3;4,9;5,1;5,4;5,4;4,7
;;1970;6,4;5,0;4,9;5,1;5,6;6,1;5,9;6,7;6,8;7,0;7,4;7,9;7,9
;;1971;9,4;8,5;8,5;8,8;9,4;9,8;10,3;10,1;10,3;9,9;9,4;9,2;9,0
;;1972;7,1;8,2;8,1;7,6;6,3;6,1;6,1;5,8;6,6;7,0;7,9;7,6;7,7
;;1973;9,2;7,7;7,9;8,2;9,2;9,5;9,3;9,4;8,9;9,3;9,9;10,3;10,6
;;1974;16,0;12,0;13,2;13,5;15,2;16,0;16,5;17,1;16,9;17,1;17,1;18,3;19,1
;;1975;24,2;19,9;19,9;21,2;21,7;25,0;26,1;26,3;26,9;26,6;25,9;25,2;24,9
;;1976;16,5;23,4;22,9;21,2;18,9;15,4;13,8;12,9;13,8;14,3;14,7;15,0;15,1
;;1977;15,8;16,6;16,2;16,7;17,5;17,1;17,7;17,6;16,5;15,6;14,1;13,0;12,1
