Back to Contents;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;
Table 39;;; RPI Detailed figures by division for 14 August 2018 4;;;;;;;;;;;
;;;; ; Percentage;;;;;;;;;
;;;;; change over;;;;;;;;;
;;;; Index;1;12;;;;;;;;
Indices;1-month rate;12-month rate;;(Jan 13, 1987=100); month; months;;;;;;;;
CHAW;CZEQ;CZBH; ALL ITEMS;284,2;0,9;3,5;;;;;;;;
;;;;;;;;;;;;;;
CHBS;CZER;CZBJ; Food and catering;249,3;0,2;2,6;;;;;;;;
CHBT;CZES;CZBK; Alcohol and tobacco;399,1;0,3;3,5;;;;;;;;
CHBU;CZET;CZBL; Housing and household expenditure;320,0;0,8;2,9;;;;;;;;
CHBV;CZEU;CZBM; Personal expenditure;208,0;2,1;4,0;;;;;;;;
CHBW;CZEV;CZBN; Travel and leisure;257,8;1,2;4,6;;;;;;;;
CHBY;CZEW;CZBO; Consumer durables 1;134,8;2,9;3,3;;;;;;;;
CHBP;CZEX;CZBP; Seasonal food;200,6; -;2,7;;;;;;;;
CHBB;CZEY;CZBQ; Food excluding seasonal;224,1;0,1;2,3;;;;;;;;
CHAX;CZEZ;DOED; All items excluding seasonal food;286,3;0,9;3,5;;;;;;;;
CHAY;CZFA;CCYX; All items excluding food;294,9;1,0;3,6;;;;;;;;
CHOF;DOGJ;DOGD; All goods;213,9;0,8;3,7;;;;;;;;
CHOG;DOGK;DOGE; All services;391,3;0,9;3,1;;;;;;;;
;;;;;;;;;;;;;;
;;; Other Indices;;;;;;;;;;;
;;; All items excluding:;;;;;;;;;;;
CHMK;CZFC;CDKQ; mortgage interest payments (RPIX);284,7;0,9;3,4;;;;;;;;
CHAZ;CZFB;CZBI; housing;265,7;1,0;3,6;;;;;;;;
DQAD;DOFY;DOFZ; mortgage interest payments and council tax;281,8;0,9;3,3;;;;;;;;
CHON;DOGU;DOGT; mortgage interest payments and depreciation 3;275,5;0,8;3,5;;;;;;;;
;;;;;;;;;;;;;;
CHBA;CDKP;CCYY; Food;220,7; -;2,4;;;;;;;;
DOAA;SGDV;CCYZ; Bread;220,7;0,4;4,1;;;;;;;;
DOAB;SGEF;CCZA; Cereals;202,1;-2,3;-1,4;;;;;;;;
DOAC;SGEI;CDIJ; Biscuits and cakes;266,7;2,6;1,3;;;;;;;;
DOAD;SGEJ;CDIK; Beef;212,5;1,2;-1,1;;;;;;;;
DOAE;SGEL;CDIL; Lamb;334,1;-2,1;10,9;;;;;;;;
DOAF;SGEM;CDIM; of which home-killed lamb;350,4;-3,7;8,3;;;;;;;;
IBUQ;WSWB;WSFN; imported lamb;305,9;-0,2;13,0;;;;;;;;
DOAG;SGEX;CDIN; Pork;217,7;0,4;1,5;;;;;;;;
DOAH;SGEY;CDIO; Bacon;203,1;0,2;0,1;;;;;;;;
DOAI;SGEZ;CDIP; Poultry;124,4;-0,7;0,3;;;;;;;;
DOAJ;SGFD;CDIQ; Other meat;187,9;0,3;1,9;;;;;;;;
DOAK;SGFF;CDIR; Fish;267,4;1,5;2,2;;;;;;;;
DOAL;SGFH;CDIS; of which fresh fish;274,3; -;0,3;;;;;;;;
IBUR;WSWP;WSFP; processed fish;256,9;3,0;4,1;;;;;;;;
DOAM;SGFQ;CDIT; Butter;378,5;0,2;15,2;;;;;;;;
DOAN;SGFT;CDIU; Oil and fats;185,6;-9,6;-8,0;;;;;;;;
DOAO;SGFU;CDIV; Cheese;241,3; -;1,0;;;;;;;;
DOAP;SGFW;CDIW; Eggs;207,1;-0,2;-0,9;;;;;;;;
DOAQ;SGFX;CBVI; Milk, fresh;234,5;-0,3;4,1;;;;;;;;
DOAR;SGGH;CBVJ; Milk products;195,9;-0,5;3,1;;;;;;;;
DOAS;SGGL;CBVK; Tea;218,9;-0,5;1,1;;;;;;;;
DOAT;SGGN;CBVL; Coffee and other hot drinks;185,9;-0,7;-0,3;;;;;;;;
DOAU;SGGP;CZBR; Soft drinks;262,3;-0,2;7,2;;;;;;;;
DOAV;SGGY;CZBS; Sugar and preserves;191,2;-2,2;2,4;;;;;;;;
DOAW;SGHB;CZBT; Sweets and chocolates;300,1;0,9;2,3;;;;;;;;
DOAX;SGHC;CZBU; Potatoes;228,1;3,1;3,2;;;;;;;;
DOAY;SGHE;CZBV; of which unprocessed potatoes;207,7;0,2;-4,8;;;;;;;;
IBUS;WSWQ;WSFQ; potato products;221,1;4,0;6,0;;;;;;;;
DOAZ;SGHF;CZBW; Vegetables other than potatoes;173,1;-0,2;0,7;;;;;;;;
DOBA;SGHQ;CZBX; of which fresh vegetables;151,3;-0,1;1,3;;;;;;;;
IBUT;WSWR;WSFU; processed vegetables;247,9;-0,2;-0,9;;;;;;;;
DOBB;SGHR;CZBY; Fruit;219,0; -;3,0;;;;;;;;
DOBC;SGHS;CZBZ; of which fresh fruit;207,9;0,5;5,3;;;;;;;;
IBUU;WSWS;WSFV; processed fruit;275,5;-2,1;-4,5;;;;;;;;
DOBD;SGHW;CZCA; Other foods;194,1;-1,0;1,6;;;;;;;;
;;;;;;;;;;;;;;
CHBC;CZFD;CZCB; Catering;347,1;0,3;2,8;;;;;;;;
DOBE;SGHY;CZCC; Restaurant meals;340,8;0,1;2,7;;;;;;;;
DOBF;SGIA;CZCD; Canteen meals;388,0;-0,1;2,5;;;;;;;;
DOBG;SGIJ;CZCE; Take-away meals and snacks;336,7;0,8;3,2;;;;;;;;
;;;;;;;;;;;;;;
CHBD;CZFE;CZCF; Alcoholic drink;299,0;0,6;2,0;;;;;;;;
DOBH;SGIM;CZCG; Beer;322,7;0,2;2,2;;;;;;;;
DOBI;SGIN;CZCH; on sales;363,2; -;2,3;;;;;;;;
DOBJ;SGIP;CZCI; off sales;171,3;1,2;2,0;;;;;;;;
DOBK;SGIQ;CZCJ; Wines and spirits;266,5;0,8;1,8;;;;;;;;
DOBL;SGON;CZCK; on sales;361,4;0,1;3,3;;;;;;;;
DOBM;SGOW;CZCL; off sales;199,6;1,7;-0,2;;;;;;;;
;;;;;;;;;;;;;;
CHBE;CZFF;CZCM; Tobacco;743,5;-0,3;7,2;;;;;;;;
DOBN;SGPA;CZCN; Cigarettes;767,2;-0,1;7,3;;;;;;;;
DOBO;SGPC;CZCO; Tobacco;552,4;-0,8;6,8;;;;;;;;
;;;;;;;;;;;;;;
CHBF;CZFG;CZCP; Housing;383,2;0,7;2,9;;;;;;;;
DOBP;SGPE;CZCQ; Rent;369,2;0,1;0,8;;;;;;;;
DOBQ;SGPN;CZCR; Mortgage interest payments;236,6;2,8;6,0;;;;;;;;
CHOO;SGPQ;DOGV; Depreciation (Jan 1995 = 100);394,0;1,1;2,7;;;;;;;;
DOBR;SGPR;CZCS; Council tax and Rates;366,9; -;4,9;;;;;;;;
DOBS;SGPT;CZCT; Water and other charges;524,1; -;2,6;;;;;;;;
DOBT;SGPU;CZCU; Repairs and maintenance charges;377,3; -;0,9;;;;;;;;
DOBU;SGQF;CZCV; Do-it-yourself materials;235,6;0,1;4,4;;;;;;;;
DOBV;SGQG;CZCW; Dwelling insurance and ground rent;431,2;1,5;10,0;;;;;;;;
;;;;;;;;;;;;;;
CHBG;CZFH;CZCX; Fuel and light;363,3; -;6,8;;;;;;;;
DOBW;SGQH;CZCY; Coal and solid fuels;329,2;0,2;1,6;;;;;;;;
DOBX;SGQL;CZCZ; Electricity;352,7; -;7,4;;;;;;;;
DOBY;SGQN;CZDA; Gas;367,8; -;4,2;;;;;;;;
DOBZ;SGQP;CZDB; Oil and other fuels;455,6;1,0;26,9;;;;;;;;
;;;;;;;;;;;;;;
CHBH;CZFI;CZDC; Household goods;215,2;2,1;1,4;;;;;;;;
DOCA;SGQZ;CZDD; Furniture;275,4;5,6;1,4;;;;;;;;
DOCB;SGRC;CZDE; Furnishings;244,1;0,7;2,2;;;;;;;;
DOCC;SGRD;CZDF; Electrical appliances;80,9;0,9;5,2;;;;;;;;
