Back to Contents;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Table 4; CPI: Detailed figures by divisions, groups and classes1;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;; Percentage change;;;Percentage change over 12 months;;;;;;;;
;;;;;;; Weights;; Index (2015=100);;; over 1 month;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;2018;;2017;2018;;2017;2018;;2017;2018;2018;2018;2018;2018;2018;2018;2018
;;;;;;;Feb-Dec;;Aug;Aug;;Aug;Aug;;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug
Weights;Indices;1-month rate;12-month rate;;;;;;;;;;;;;;;;;;;;
CHZQ;D7BT;D7OE;D7G7;;CPI (overall index) ;;1000;;103,8;106,5;;0,6;0,7;;3,0;3,0;2,7;2,5;2,4;2,4;2,4;2,5;2,7
CHZR;D7BU;D7JH;D7G8;;01    Food and non-alcoholic beverages;;101;;99,4;101,9;; -;0,2;;3,9;3,7;3,0;3,0;2,7;2,3;2,0;2,3;2,5
CHZS;D7BV;D7JI;D7G9;;02    Alcoholic beverages and tobacco;;42;;106,7;111,1;;0,1;0,7;;5,6;5,6;5,8;3,5;4,0;4,0;4,1;3,5;4,1
CHZT;D7BW;D7JJ;D7GA;;03    Clothing and footwear;;70;;101,5;101,8;;2,4;3,1;;3,1;3,4;3,9;2,5;1,7;1,5;0,3;-0,4;0,3
CHZU;D7BX;D7JK;D7GB;;04    Housing, water, electricity, gas and other fuels;;134;;102,4;104,7;;0,1;0,1;;2,3;2,2;2,2;2,1;2,1;1,5;2,1;2,3;2,3
CHZV;D7BY;D7JL;D7GC;;05    Furniture, household equipment and maintenance;;61;;103,5;104,2;;1,8;1,2;;3,2;3,1;3,4;2,5;2,7;2,1;2,0;1,3;0,7
CHZW;D7BZ;D7JM;D7GD;;06    Health;;25;;105,4;108,0;; -;0,3;;3,2;3,0;2,7;2,8;2,7;2,4;2,4;2,2;2,4
CHZX;D7C2;D7JN;D7GE;;07    Transport;;156;;106,8;113,3;;1,0;1,3;;3,8;3,4;2,8;3,0;2,4;4,7;5,5;5,7;6,1
CHZY;D7C3;D7JO;D7GF;;08    Communication;;24;;105,9;106,3;;1,7;0,4;;1,0;1,2;-0,3;-0,4;1,0;0,7;0,7;1,6;0,3
