Back to Contents;;;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;;;
Table 40; RPI Detailed indices: latest 13 months 4;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
; January 13, 1987=100;; Annual;;;;;;;;;;;;;
;;; Average;;;;;;;;;;;;;
;;;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2018
;;;;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug
;CHAW; ALL ITEMS;272,5;274,7;275,1;275,3;275,8;278,1;276,0;278,1;278,3;279,7;280,7;281,5;281,7;284,2
;;;;;;;;;;;;;;;;
;CHBS; Food and catering;243,6;243,1;244,8;245,8;246,7;247,9;247,3;247,6;248,6;248,9;248,8;248,4;248,9;249,3
;CHBT; Alcohol and tobacco;383,5;385,5;386,6;387,0;386,6;388,1;392,6;393,1;392,7;395,6;398,1;398,2;397,8;399,1
;CHBU; Housing and household expenditure;308,8;311,1;311,5;311,8;312,1;313,6;312,7;314,8;314,4;316,0;316,3;317,8;317,4;320,0
;CHBV; Personal expenditure;200,1;200,0;204,5;204,9;206,1;205,1;200,6;206,3;208,2;209,3;210,0;207,6;203,8;208,0
;CHBW; Travel and leisure;241,6;246,4;244,0;243,6;244,2;249,4;244,7;246,6;246,3;247,9;250,3;252,3;254,7;257,8
;CHBY; Consumer durables 1;129,2;130,5;132,7;131,9;132,8;133,5;128,7;134,5;135,2;134,9;135,3;134,6;131,0;134,8
;CHBP; Seasonal food;198,9;195,3;197,4;200,7;203,0;203,8;203,4;203,9;203,5;203,6;203,0;202,0;200,7;200,6
;CHBB; Food excluding seasonal;219,2;219,0;220,8;221,4;221,9;223,2;222,3;222,5;224,0;223,9;223,6;222,9;223,9;224,1
;CHAX; All items excluding seasonal food;274,3;276,7;276,9;277,1;277,6;279,9;277,8;279,9;280,1;281,5;282,6;283,5;283,7;286,3
;CHAY; All items excluding food;282,0;284,7;284,8;284,9;285,4;287,8;285,6;288,0;288,0;289,6;290,8;291,9;292,0;294,9
;CHOF; All goods;206,5;206,3;208,4;208,7;209,7;210,5;209,2;212,0;212,4;212,8;213,8;214,0;212,2;213,9
;CHOG; All services;372,6;379,6;376,2;376,2;376,0;381,0;376,6;377,9;378,0;380,2;381,6;383,8;387,7;391,3
;;;;;;;;;;;;;;;;
;; Other Indices;;;;;;;;;;;;;;
;; All items excluding:;;;;;;;;;;;;;;
;CHMK; mortgage interest payments (RPIX);273,0;275,4;275,7;276,0;276,4;278,5;276,5;278,6;278,8;280,2;281,3;282,1;282,3;284,7
;CHAZ; housing;253,9;256,4;256,6;256,7;257,4;259,9;257,1;259,6;259,9;260,8;262,1;263,0;263,1;265,7
;DQAD; mortgage interest payments and council tax;270,3;272,7;273,0;273,3;273,8;275,9;273,8;276,0;276,2;277,1;278,2;279,1;279,3;281,8
;CHON; mortgage interest payments and depreciation 3;264,0;266,3;266,5;266,7;267,3;269,4;267,1;269,3;269,6;271,1;272,2;273,1;273,2;275,5
;;;;;;;;;;;;;;;;
;CHBA; Food;216,4;215,5;217,4;218,5;219,3;220,6;219,8;220,0;221,1;221,1;220,7;220,0;220,6;220,7
;DOAA; Bread;211,7;212,1;213,0;214,7;216,7;219,0;219,4;218,7;219,2;220,7;220,3;218,9;219,8;220,7
;DOAB; Cereals;203,5;205,0;199,6;204,8;204,1;208,0;199,1;205,3;206,1;205,3;202,5;206,1;206,8;202,1
;DOAC; Biscuits and cakes;261,6;263,3;262,1;265,8;268,7;270,0;268,4;264,6;260,1;258,4;264,6;262,5;259,9;266,7
;DOAD; Beef;213,2;214,8;213,0;215,1;214,9;213,4;215,2;215,1;212,6;215,5;211,3;211,3;209,9;212,5
;DOAE; Lamb;303,0;301,2;306,8;318,2;313,4;313,1;311,1;322,5;326,7;331,0;338,1;339,9;341,2;334,1
;DOAF; of which home-killed lamb;319,7;323,6;320,2;331,2;317,6;314,1;317,1;327,0;333,8;350,3;362,4;362,6;364,0;350,4
;IBUQ; imported lamb;276,8;270,6;283,2;294,5;296,9;299,2;293,2;305,6;307,2;300,0;302,2;305,5;306,5;305,9
;DOAG; Pork;221,0;214,4;215,5;223,1;222,8;226,4;220,0;215,8;222,7;224,8;216,4;223,4;216,9;217,7
;DOAH; Bacon;201,8;202,9;201,8;203,6;203,0;204,6;208,4;205,6;206,1;204,5;203,4;203,0;202,6;203,1
;DOAI; Poultry;125,3;124,0;125,0;124,4;124,9;125,4;125,8;125,4;125,5;126,0;126,0;124,7;125,3;124,4
;DOAJ; Other meat;186,6;184,4;188,6;187,2;188,8;191,7;188,2;188,8;190,2;188,6;188,1;186,7;187,3;187,9
;DOAK; Fish;258,7;261,6;267,7;262,5;264,6;265,2;264,4;267,2;265,4;264,2;270,3;269,6;263,4;267,4
;DOAL; of which fresh fish;272,8;273,4;282,7;275,0;280,4;273,4;277,2;275,2;274,7;279,6;280,5;283,2;274,3;274,3
;IBUR; processed fish;241,9;246,9;250,0;247,1;246,4;253,5;248,7;255,7;252,8;246,1;256,9;253,1;249,5;256,9
;DOAM; Butter;336,5;328,6;350,0;364,6;375,2;374,8;368,0;366,9;366,5;363,1;375,6;367,2;377,6;378,5
;DOAN; Oils and fats;193,3;201,7;210,7;180,8;177,4;199,5;195,0;190,4;209,4;204,8;190,7;196,5;205,3;185,6
;DOAO; Cheese;239,8;239,0;240,0;246,5;247,8;245,6;248,1;247,3;246,7;245,2;240,1;243,9;241,3;241,3
;DOAP; Eggs;209,6;209,0;209,4;209,0;209,1;209,5;209,5;209,6;208,6;207,6;207,4;207,6;207,5;207,1
;DOAQ; Milk, fresh;226,3;225,3;226,0;225,8;229,1;234,1;232,6;234,4;234,3;234,4;233,8;233,0;235,3;234,5
;DOAR; Milk products;187,6;190,0;186,1;194,4;193,4;192,6;180,6;197,8;199,5;191,3;194,2;190,6;196,8;195,9
;DOAS; Tea;220,6;216,6;226,7;227,4;217,6;230,0;223,5;223,4;224,7;225,8;222,4;220,7;220,1;218,9
;DOAT; Coffee and other hot drinks;182,0;186,4;184,9;183,6;185,3;185,7;187,7;186,1;186,8;188,2;188,0;187,2;187,3;185,9
;DOAU; Soft drinks;246,7;244,7;246,5;244,6;243,4;247,9;247,7;249,3;254,5;261,9;260,5;262,4;262,9;262,3
;DOAV; Sugar and preserves;189,9;186,8;191,5;190,1;193,7;187,0;185,5;192,7;197,1;196,4;193,9;195,8;195,5;191,2
;DOAW; Sweets and chocolates;291,7;293,4;296,0;290,9;293,7;293,8;300,0;291,4;296,5;297,2;298,6;292,6;297,3;300,1
;DOAX; Potatoes;222,9;221,0;223,1;229,9;226,8;222,6;227,0;223,2;226,8;221,5;227,2;222,6;221,3;228,1
;DOAY; of which unprocessed potatoes;215,1;218,2;216,5;217,1;211,1;211,1;210,9;211,4;212,9;213,8;210,7;210,5;207,2;207,7
;IBUS; potato products;212,0;208,6;211,8;220,2;218,3;212,8;218,6;213,5;217,6;210,5;218,9;213,1;212,5;221,1
;DOAZ; Vegetables other than potatoes;173,3;171,9;170,9;173,6;173,4;174,0;172,5;174,0;173,0;174,1;173,8;173,1;173,4;173,1
;DOBA; of which fresh vegetables;151,7;149,3;149,4;151,5;150,4;151,4;151,6;151,3;152,3;152,1;151,4;151,4;151,5;151,3
;IBUT; processed vegetables;246,6;250,2;244,5;249,4;254,0;251,9;242,9;252,5;242,3;249,8;250,9;247,0;248,5;247,9
;DOBB; Fruit;218,3;212,6;215,7;222,1;228,6;229,3;228,0;228,7;226,2;223,7;221,8;220,5;219,1;219,0
;DOBC; of which fresh fruit;205,0;197,4;201,5;208,5;216,8;219,5;217,0;218,2;215,3;213,1;211,5;207,8;206,8;207,9
;IBUU; processed fruit;285,2;288,4;286,7;290,8;288,7;280,0;284,3;282,9;282,3;277,9;274,7;284,4;281,3;275,5
;DOBD; Other foods;193,5;191,1;196,9;195,4;194,4;195,2;195,8;193,2;195,7;197,1;193,1;194,9;196,0;194,1
;;;;;;;;;;;;;;;;
;CHBC; Catering;336,6;337,5;338,7;339,4;340,4;341,3;341,5;342,2;342,7;344,1;344,9;345,5;345,9;347,1
