Back to Contents;;;;;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;;;;;
Table 42; RPI Detailed annual average indices: 2002 to 2017 4;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;CHAW; ALL ITEMS;176,2;181,3;186,7;192,0;198,1;206,6;214,8;213,7;223,6;235,2;242,7;250,1;256,0;258,5;263,1;272,5
;CHBS; Food and catering;164,8;167,9;170,0;172,9;176,9;184,3;198,5;207,6;214,1;225,6;232,9;240,8;242,5;239,8;237,7;243,6
;CHBT; Alcohol and tobacco;222,3;228,0;233,6;239,8;247,1;256,2;266,7;276,7;289,9;311,3;327,1;341,9;354,9;362,7;369,8;383,5
;CHBU; Housing and household expenditure;184,6;194,3;207,4;219,4;231,8;248,1;258,6;247,4;253,8;262,5;270,9;279,7;288,2;293,7;300,3;308,8
;CHBV; Personal expenditure;133,2;133,2;131,5;131,0;131,7;132,9;132,4;131,4;138,2;149,8;158,2;166,8;175,0;182,6;189,4;200,1
;CHBW; Travel and leisure;174,2;177,0;178,1;179,2;181,1;183,8;189,0;191,2;207,6;220,1;224,1;226,8;228,7;226,7;230,5;241,6
;CHBY; Consumer durables 1;101,9;99,8;97,7;95,3;94,0;93,3;91,6;90,7;94,4;99,7;104,1;108,8;113,5;117,6;121,3;129,2
;CHBP; Seasonal food;136,9;140,0;136,9;140,4;143,4;153,8;167,5;175,6;184,7;190,7;194,2;208,1;202,5;197,8;193,4;198,9
;CHBB; Food excluding seasonal;151,3;152,9;154,7;156,2;159,6;166,0;181,4;191,2;196,4;209,2;216,6;223,1;224,4;219,3;214,6;219,2
;CHAX; All items excluding seasonal food;177,2;182,4;187,9;193,3;199,5;207,9;216,0;214,6;224,5;236,3;243,9;251,2;257,3;260,0;264,8;274,3
;CHAY; All items excluding food;181,1;186,7;192,8;198,7;205,2;213,9;221,2;218,3;228,8;240,5;248,2;255,5;262,4;266,0;271,9;282,0
;CHOF; All goods;151,4;151,8;152,0;152,6;154,4;157,3;163,1;165,6;174,4;185,5;191,6;197,0;200,0;198,2;198,5;206,5
;CHOG; All services;211,0;219,3;226,5;235,4;247,1;257,7;271,7;282,9;294,8;310,4;322,5;334,1;343,6;351,2;360,3;372,6
;;;;;;;;;;;;;;;;;;
;; Other Indices;;;;;;;;;;;;;;;;
;; All items excluding:;;;;;;;;;;;;;;;;
;CHMK; mortgage interest payments (RPIX);175,1;180,0;184,0;188,2;193,7;199,9;208,5;212,6;222,7;234,5;242,0;249,4;255,5;258,1;263,0;273,0
