Back to Contents;;;;;;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;;;;;;
Table 44; RPI weights: 2002 to 2018 2;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
; Parts per 1000;;;;;;;;;;;;;;;;;;
;;;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
;CZGU; ALL ITEMS;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
;;;;;;;;;;;;;;;;;;;
;CBVV; Food and catering;166;160;160;159;155;152;158;168;159;165;161;163;161;156;149;150;152
;CBVW; Alcohol and tobacco;99;98;97;96;96;95;86;90;91;88;85;91;87;83;82;81;79
;CBVX; Housing and household expenditure;363;365;367;387;392;408;417;416;403;408;412;419;424;432;436;433;420
;CBVY; Personal expenditure;94;92;93;89;90;83;83;80;81;82;84;83;85;83;83;79;85
;CBVZ; Travel and leisure;278;285;283;269;267;262;256;246;266;257;258;244;243;246;250;257;264
;;;;;;;;;;;;;;;;;;;
;CBWA; Consumer durables 1;126;126;121;122;117;109;104;106;105;106;100;96;98;94;98;99;104
;;;;;;;;;;;;;;;;;;;
;CZHA; Seasonal food;20;17;19;19;17;19;20;21;19;20;19;20;19;18;18;18;18
;CZHB; Food excluding seasonal;94;92;92;91;88;86;91;97;93;98;95;96;95;91;84;84;84
;CZGW; All items excluding seasonal food;980;983;981;981;983;981;980;979;981;980;981;980;981;982;982;982;982
;CZGV; All items excluding food;886;891;889;890;895;895;889;882;888;882;886;884;886;891;898;898;898
;DOHD; All goods;529;522;518;510;503;478;474;472;486;480;462;455;453;436;431;434;442
;DOHH; All services;361;361;358;352;364;377;372;397;386;394;412;415;417;422;421;418;413
;;;;;;;;;;;;;;;;;;;
;; Other indices;;;;;;;;;;;;;;;;;
;; All items excluding:;;;;;;;;;;;;;;;;;
;CZGY; mortgage interest payments (RPIX);964;961;961;950;950;945;940;959;966;968;971;971;970;971;972;975;976
;CZGX; housing;801;797;791;776;778;762;746;764;763;762;763;746;747;737;734;734;743
;DOGY; mortgage interest payments and council tax;930;925;923;911;911;905;901;919;927;928;930;928;928;931;932;936;938
;DOGZ; mortgage interest payments and depreciation;924;919;914;901;906;895;885;909;911;914;915;913;912;898;892;891;893
;;;;;;;;;;;;;;;;;;;
;CZGZ; Food;114;109;111;110;105;105;111;118;112;118;114;116;114;109;102;102;102
;CZVO; Bread;5;4;4;4;4;4;5;5;5;5;4;5;5;4;4;4;4
;CZVP; Cereals;4;3;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3
;CZVQ; Biscuits and cakes;7;6;7;6;6;6;6;7;6;7;7;7;7;7;6;6;6
;CZVR; Beef;3;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;3
;HKIC; Lamb;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
;CZVS; of which  home-killed lamb;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;CZVT; imported lamb;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;CZVU; Pork;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;CZVV; Bacon;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1
;CZVW; Poultry;5;3;4;3;4;3;4;4;4;4;4;4;4;4;4;3;4
;CZVX; Other meat;7;7;7;7;7;6;7;7;7;7;7;7;7;7;6;6;6
;HKHK; Fish;3;3;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4
;CZVY; of which  fresh fish;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
;CZVZ; processed fish;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2
;CZWA; Butter;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;CZWB; Oils and fats;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1
;CZWC; Cheese;3;3;3;3;3;3;3;4;3;4;4;3;4;4;3;3;3
;CZWD; Eggs;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;CZWE; Milk, fresh;5;5;5;5;5;5;5;5;5;5;4;4;4;3;3;3;3
;CZWF; Milk products;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
;CZWG; Tea;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;CZWH; Coffee and other hot drinks;2;1;1;1;1;1;1;1;1;1;2;1;2;1;2;2;2
;CZWI; Soft drinks;10;11;10;12;10;11;12;12;11;13;11;12;11;10;9;8;8
;CZWJ; Sugar and preserves;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;CZWK; Sweets and chocolates;11;10;10;11;10;10;10;12;11;12;11;13;11;11;11;11;11
;HKIE; Potatoes;6;5;5;5;4;5;5;5;5;5;5;5;5;5;3;4;4
;CZWL; of which  unprocessed potatoes;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1
;CZWM; potato products;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3
;HKIF; Vegetables other than potatoes;10;7;9;9;8;9;9;10;9;9;9;9;9;8;8;8;8
;CZWN; of which  fresh vegetables;8;5;7;7;6;7;7;8;7;7;7;7;7;6;6;6;6
;CZWO; processed vegetables;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
;HKIG; Fruit;7;7;7;7;7;7;8;8;7;8;8;8;7;8;8;9;9
;CZWP; of which  fresh fruit;6;6;6;6;6;6;7;7;6;7;6;7;6;6;7;7;7
;CZWQ; processed fruit;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;2
;CZWR; Other foods;12;15;15;12;11;10;10;11;11;11;11;11;11;11;10;11;11
;;;;;;;;;;;;;;;;;;;
;CZHC; Catering;52;51;49;49;50;47;47;50;47;47;47;47;47;47;47;48;50
;CZWS; Restaurant meals;26;26;26;25;27;25;26;27;26;26;27;27;28;28;28;29;30
;CZWT; Canteen meals;5;5;4;5;4;4;4;4;4;4;3;4;3;3;3;3;3
;CZWU; Take-aways and snacks;21;20;19;19;19;18;17;19;17;17;17;16;16;16;16;16;17
;;;;;;;;;;;;;;;;;;;
;CZHD; Alcoholic drink;68;68;68;67;67;66;59;63;64;60;56;61;58;56;57;57;56
;CZWV; Beer;36;36;35;37;36;34;31;32;31;29;26;26;25;24;24;24;23
;CZWW; on sales;30;30;30;31;31;29;26;26;26;23;21;21;20;19;19;19;18
;CZWX; off sales;6;6;5;6;5;5;5;6;5;6;5;5;5;5;5;5;5
;CZWY; Wines and spirits;32;32;33;30;31;32;28;31;33;31;30;35;33;32;33;33;33
