Back to Contents;;;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;;;
Table 46a; RPI goods and services 1: Weights: 1995 to 2018 7;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;; Goods components;;;;; ;; Services components;;;;; ;
;;;;;;;; ;;;;;;; ;
;;; ;Alcohol &; ;Other;; All;; ; ;"""Shop""";"""Non-shop";; All;
;;; Food; tobacco; Petrol & oil 2; goods 3;; goods;; Rent; Utilities 4 ;  services 5;services 6;; services;
;;;;;;;;;;;;;;;;
;; Weights (parts per 1000);;;;;;;;;;;;;;
;;; CZGZ; CBVW; DOHB; DOHC;; DOHD;; CZXD; DOHE; DOHF; DOHG;; DOHH;
;;1995;139;111;39;267;;556;;43;74;130;96;;343;
;;1996;143;113;38;262;;556;;46;73;129;96;;344;
;;1997;136;114;41;265;;556;;47;70;129;100;;346;
;;1998;130;105;40;271;;546;;47;68;129;103;;347;
;;1999;128;100;39;277;;543;;47;68;133;103;;351;
;;2000;118;95;45;275;;533;;46;65;139;108;;358;
;;2001;116;97;42;271;;526;;47;63;136;108;;354;
;;2002;114;99;38;278;;529;;47;66;138;110;;361;
;;2003;109;98;40;275;;522;;45;65;136;115;;361;
;;2004;111;97;38;272;;518;;43;64;136;115;;358;
;;2005;110;96;37;267;;510;;42;68;133;109;;352;
;;2006;105;96;43;259;;503;;45;71;136;112;;364;
;;2007;105;95;38;240;;478;;53;76;133;115;;377;
;;2008;111;86;46;231;;474;;59;68;133;112;;372;
;;2009;118;90;38;226;;472;;62;88;132;115;;397;
;;2010;112;91;53;230;;486;;69;78;132;107;;386;
;;2011;118;88;49;225;;480;;73;81;130;110;;394;
;;2012;114;85;50;213;;462;;75;86;132;119;;412;
;;2013;116;91;48;200;;455;;86;84;132;113;;415;
;;2014;114;87;47;205;;453;;87;89;128;113;;417;
;;2015;109;83;37;207;;436;;84;89;126;123;;422;
;;2016;102;82;35;212;;431;;83;84;129;125;;421;
;;2017;102;81;39;212;;434;;84;81;130;123;;418;
;;2018;102;79;35;226;;442;;76;79;131;127;;413;
;;;;;;;;;;;;;;;;
;; Key:     - zero or negligible      ..   not available;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Table 46b; RPI goods and services 1: Indices: 1996 to 2018 7;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;; Goods components;;;;; ;; Services components;;;;;;
;;; ;;;;; ; ;;;; ;;;
;;; ; Alcohol & ; ;Other;; All; ;; ;"""Shop""";"""Non-shop""";; All;
;;; Food;tobacco; Petrol & oil 2; goods 3;; goods;; Rent; Utilities 4 ;  services 5;services 6;; services;
;;;;;;;;;;;;;;;;
; Annual average (January 1987=100);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;; CHBA; CHBT; CHOL; CHOK;; CHOF;; DOBP; CHOH; CHOI; CHOJ;; CHOG;
;;1996;141,4;175,9;161,5;132,8;;144,3;;209,3;143,3;178,5;173,1;;170,4;
;;1997;141,5;183,2;176,5;134,7;;147,5;;216,4;141,4;186,8;180,5;;175,7;
;;1998;143,4;192,3;184,0;134,8;;149,9;;223,1;139,5;195,3;189,1;;181,4;
;;1999;143,8;202,6;199,7;132,4;;151,2;;229,9;139,5;203,9;198,6;;187,8;
;;2000;143,4;210,3;227,6;128,7;;151,6;;237,5;135,2;212,6;212,1;;194,4;
;;2001;148,1;216,9;216,3;127,3;;152,1;;245,7;133,2;222,5;224,1;;201,7;
;;2002;149,2;222,3;209,4;125,1;;151,4;;252,1;136,4;234,7;236,8;;211,0;
;;2003;151,1;228,0;217,8;123,4;;151,8;;255,9;138,6;244,9;250,7;;219,3;
