Back to Contents;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS AND SHOULD BE USED FOR ANALYTICAL PURPOSES ONLY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Table 57;CPI: Detailed indices to 3 dp: 1996 to 20181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;aggregate number;0;1;01.1;01.1.1;01.1.2;01.1.3;01.1.4;01.1.5;01.1.6;01.1.7;01.1.8;01.1.9;01.2;01.2.1;01.2.2;2;02.1;02.1.1;02.1.2;02.1.3;02.2;3;03.1;03.1.2;03.1.3;03.1.4;03.2;4;04.1;04.3;04.3.1;04.3.2;04.4;04.4.1;04.4.3;04.5;04.5.1;04.5.2;04.5.3;04.5.4;5;05.1;05.1.1;05.1.2;05.2;05.3;05.3.1;05.3.3;05.4;05.5;05.6;05.6.1;05.6.2;6;06.1;06.1.1;06.1.2;06.2;06.2.1;06.2.2;06.3;7;07.1;07.1.2;07.1.1;07.1.1;07.2;07.2.1;07.2.2;07.2.3;07.2.4;07.3;07.3.1;07.3.2;07.3.3;07.3.4;8;08.1;08.2;9;09.1;09.1.1;09.1.2;09.1.3;09.1.4;09.1.5;09.2;09.2.1;09.3;09.3.1;09.3.2;09.3.3;09.3.4;09.4;09.4.1;09.4.2;09.5;09.5.1;09.5.2;09.5.3;09.6;10;11;11.1;11.1.1;11.1.2;11.2;12;12,1;12.1.1;12.1.2;12,3;12.3.1;12.3.2;12,4;12,5;12.5.2;12.5.3;12.5.4;12,6;12.6.2;12,7;;Agg2;Agg3;Agg4;Agg5;Agg6;Agg9;Agg10;Agg11;Agg12;Agg13;Agg14;Agg15;Agg16;Agg17;Agg18;Agg19;Agg20;Agg21;Agg23;Agg24;Agg25;Agg26;Agg27;Agg30;Agg31;Agg32;Agg33;Agg36;Agg18.1;Agg18.2;Agg40;Agg41;Agg42;Agg43;Agg44;Agg45;Agg46;Agg47;Agg48;Agg49;Agg50;Agg51;Agg52;Agg53;Agg54;Agg55;Agg56;Agg57;Agg58;Agg59;Agg60;
;cdid;D7BT;D7BU;D7C8;D7D5;D7D6;D7D7;D7D8;D7D9;D7DA;D7DB;D7DC;D7DD;D7C9;D7DE;D7DF;D7BV;D7CA;D7DG;D7DH;D7DI;D7CB;D7BW;D7CC;D7DK;D7DL;D7DM;D7CD;D7BX;D7CE;D7CF;D7DN;D7DO;D7CG;D7DR;D7DQ;D7CH;D7DT;D7DU;D7DV;D7DW;D7BY;D7CI;D7DY;D7DZ;D7CJ;D7CK;D7E3;D7E4;D7CL;D7CM;D7CN;D7E5;D7E6;D7BZ;D7F6;D7F7;D7F8;D7F9;D7FA;D7FB;D7FC;D7C2;D7CO;D7EA;D7E8;D7E9;D7CP;D7EB;D7EC;D7ED;D7EE;D7CQ;D7EF;D7EG;D7EH;D7EI;D7C3;D7CR;D7EM;D7C4;D7CS;D7EN;D7EO;D7EP;D7ES;D7ER;D7CT;D7FD;D7CU;D7FF;D7FG;D7ET;D7EU;D7CV;D7FH;D7FI;D7FJ;D7FK;D7FL;D7FM;D7FN;D7C5;D7C6;D7CW;D7EW;D7EX;D7CX;D7C7;D7CY;D7EY;D7EZ;D7FO;D7FP;D7FQ;D7D2;D7D3;D7F2;D7EQ;D7F3;D7D4;D7CZ;D7FR;;D7F4;DK9O;DK9P;DK9Q;DK9R;DK9W;DK9X;DK9Y;DK9Z;DK9T;DK9U;DKC4;DKA2;DKA3;DKA4;DKA7;D7F5;DKA8;DKA9;DKB2;DKC3;DKB3;DKB4;DKB5;DKB6;DKB7;DKB8;DKB9;DKA5;DKA6;DKC5;DKC6;DKC8;DKC9;DKD3;DKC7;DKD2;DKD4;DKD5;DK9N;DK9J;DK9K;DK9L;DK9M;DKD6;DKD7;DKD8;DKD9;DK9V;DK9S;DKC2;
index date   ;name;CPI ALL ITEMS;FOOD AND NON-ALCOHOLIC BEVERAGES;FOOD;BREAD & CEREALS;MEAT;FISH;MILK, CHEESE & EGGS;OILS & FATS;FRUIT;VEGETABLES INCLUDING POTATOES AND TUBERS;SUGAR, JAM, SYRUPS, CHOCOLATE AND CONFECTIONERY;FOOD PRODUCTS (NEC);NON-ALCOHOLIC BEVERAGES;COFFEE, TEA & COCOA;MINERAL WATERS, SOFT DRINKS AND JUICES;ALCOHOLIC BEVERAGES AND TOBACCO;ALCOHOLIC BEVERAGES;SPIRITS;WINE;BEER;TOBACCO;CLOTHING AND FOOTWEAR;CLOTHING;GARMENTS;OTHER CLOTHING & CLOTHING ACCESSORIES;CLEANING, REPAIR AND HIRE OF CLOTHING;FOOTWEAR INCLUDING REPAIRS;HOUSING, WATER, ELELCTRICITY, GAS AND OTHER FUELS;ACTUAL RENTALS FOR HOUSING;REGULAR MAINTENANCE AND REPAIR OF THE DWELLING;MATERIALS FOR MAINTENANCE AND REPAIR;SERVICES FOR MAINTENANCE AND REPAIR;WATER SUPPLY AND MISC. SERVICES FOR THE DWELLING;WATER SUPPLY;SEWERAGE COLLECTION;ELECTRICITY, GAS AND OTHER FUELS;ELECTRICITY;GAS;LIQUID FUELS;SOLID FUELS;FURNITURE, HOUSEHOLD EQUIPMENT AND MAINTENANCE;FURNITURE, FURNISHINGS & CARPETS;FURNITURE & FURNISHINGS;CARPETS & OTHER FLOOR COVERINGS;HOUSEHOLD TEXTILES;HOUSEHOLD APPLIANCES, FITTING AND REPAIRS;MAJOR APPLIANCES AND SMALL ELECTRIC GOODS;REPAIR OF HOUSEHOLD APPLIANCES;GLASSWARE, TABLEWARE & HOUSEHOLD UTENSILS;TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN;GOODS AND SERVICES FOR ROUTINE MAINTENANCE;NON-DURABLE HOUSEHOLD GOODS;DOMESTIC SERVICES AND HOUSEHOLD SERVICES;HEALTH;MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT;PHARMACEUTICAL PRODUCTS;OTHER MEDICAL & THERAPEUTIC EQUIPMENT;OUT-PATIENT SERVICES;MEDICAL SERVICES AND PARAMEDICAL SERVICES;DENTAL SERVICES;HOSPITAL SERVICES;TRANSPORT;PURCHASE OF VEHICLES;MOTOR CYCLES AND BICYCLES;NEW CARS;SECOND-HAND CARS;OPERATION OF PERSONAL TRANSPORT EQUIPMENT;SPARE PARTS & ACCESSORIES;FUELS & LUBRICANTS;MAINTENANCE & REPAIRS;OTHER SERVICES IN RESPECT OF PERSONAL TRANSPORT EQ;TRANSPORT SERVICES;PASSENGER TRANSPORT BY RAILWAY;PASSENGER TRANSPORT BY ROAD;PASSENGER TRANSPORT BY AIR;PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY;COMMUNICATION;POSTAL SERVICES;TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES;RECREATION & CULTURE;AUDIO-VISUAL EQUIPMENT AND RELATED PRODUCTS;RECEPTION AND REPRODUCTION OF SOUND AND PICTURES;PHOTOGRAPHIC AND CINE. EQU. & OPTICAL INSTRUMENTS;DATA PROCESSING EQUIPMENT;RECORDING MEDIA;REPAIR OF AUDIO-VISUAL & RELATED PRODUCTS;OTHER MAJOR DURABLES FOR RECREATION AND CULTURE;MAJOR DURABLES FOR IN/OUTDOOR RECREATION;OTHER RECREATIONAL ITEMS, GARDENS & PETS;GAMES TOYS AND HOBBIES;EQUIPMENT FOR SPORT & OPEN-AIR RECREATION;GARDEN PLANTS AND FLOWERS;PETS, RELATED PRODUCTS AND SERVICES;RECREATIONAL AND CULTURAL SERVICES;RECREATIONAL AND SPORTING SERVICES;CULTURAL SERVICES;BOOKS, NEWSPAPERS AND STATIONERY;BOOKS;NEWSPAPERS AND PERIODICALS;MISC. PRINTED MATTER, STATIONERY, DRAWING MATERIALS;PACKAGE HOLIDAY;EDUCATION;RESTAURANTS AND HOTELS;CATERING SERVICES;RESTAURANTS & CAFES;CANTEENS;ACCOMMODATION SERVICES;MISCELLANEOUS GOODS AND SERVICES;PERSONAL CARE;HAIRDRESSING & PERSONAL GROOMING ESTABLISHMENTS;APPLIANCES & PRODUCTS FOR PERSONAL CARE;PERSONAL EFFECTS (NEC);JEWELLERY CLOCKS AND WATCHES;OTHER PERSONAL EFFECTS;SOCIAL PROTECTION;INSURANCE;HOUSE CONTENTS INSURANCE;HEALTH INSURANCE;TRANSPORT INSURANCE;FINANCIAL SERVICES (NEC);OTHER FINANCIAL SERVICES (NEC);OTHER SERVICES (NEC);;All Goods;Food, Alcoholic Beverages & Tobacco;Processed Food & Non-Alcoholic Beverages;Non-processed Food;Seasonal Food;Clothing & Footwear Goods;Housing Goods;Household goods;"Water supply; materials for maintenance/repair";Energy;Electricity, Gas & Misc. Energy;Liquid Fuels, Vehicle Fuels & Lubricants;Medical products, appliances and equipment;Vehicles, spare parts and accessories;Recreational Goods;Miscellaneous Goods;All Services;Housing Services;Primary Housing Services;Other Housing Services;Medical Services;Travel & Transport Services;Services for Personal Transport Equipment;Recreation & Personal Services;Package Holidays & Accommodation;Other Recreational & Personal Services;Non-Catering Recreational & Personal Services;Miscellaneous Services;Audio-Visual Goods;Other Recreational Goods;CPI excluding Energy;CPI excluding Energy, Food, Alcohol & Tobacco;CPI excluding Seasonal Food;CPI excluding Energy & Seasonal Food;CPI excluding Liquid Fuels, Vehicle Fuels & Lubricants;CPI excluding Energy & Non-processed Food;CPI excluding Alcohol & Tobacco;CPI excluding Housing, Water, Electricity, Gas & Other Fuels;CPI excluding Education, Health & Social Protection;Non-Seasonal Food;Non-Energy Industrial Goods;Durables;Semi-Durables;Non-Durables;Energy, Food, Alcohol & Tobacco;Energy & Non-processed Food;Energy & Seasonal Food;Education, Health & Social Protection;CPI excluding tobacco;Industrial Goods;Miscellaneous and Other Services;
199601;Jan 96;67,775;64,852;64,491;68,020;67,182;51,657;70,075;64,469;60,253;71,589;52,704;75,191;67,279;70,501;66,067;45,190;77,045;72,140;73,750;91,626;30,179;194,481;198,415;210,657;119,840;54,900;170,991;50,311;58,378;56,650;69,891;47,619;47,358;47,777;47,020;40,213;48,774;32,771;40,621;39,967;83,199;77,127;78,773;72,479;121,472;112,517;122,999;60,778;96,935;88,013;61,615;85,122;46,154;57,007;77,912;80,361;76,858;..;..;..;..;58,443;108,701;91,867;84,995;155,698;47,582;74,410;50,265;41,699;51,101;36,925;47,408;46,953;50,000;35,911;107,379;36,311;115,204;95,527;645,416;693,897;1932,635;5019,949;161,700;53,741;..;..;115,874;167,431;132,345;94,278;59,268;51,267;46,951;54,146;57,450;62,772;45,815;72,659;50,119;24,221;53,738;54,146;54,251;51,651;52,186;62,577;75,615;48,733;89,418;75,772;63,684;107,991;..;36,089;78,507;..;28,446;142,872;142,872;42,018;;84,657;58,053;65,167;64,856;63,229;199,239;82,104;88,756;60,052;43,631;40,145;49,523;77,913;104,137;156,332;84,023;50,770;54,867;48,889;47,581;..;38,427;43,772;52,683;50,256;53,308;51,065;55,578;738,833;87,287;70,130;72,901;67,911;70,362;68,817;70,408;69,305;70,492;69,686;65,227;118,489;129,503;151,238;72,132;53,333;51,642;48,618;38,826;69,419;98,858;42,490;
199602;Feb 96;68,095;65,568;65,125;68,434;67,981;51,447;70,207;64,877;60,953;74,135;52,572;75,308;68,788;69,963;68,542;45,624;78,223;73,011;74,255;94,482;30,297;194,912;199,096;211,358;120,574;54,784;170,424;50,341;58,412;56,822;70,389;47,622;47,358;47,777;47,020;40,204;48,774;32,771;40,158;39,982;84,230;78,855;80,460;74,304;123,900;113,393;124,132;60,778;97,685;87,999;61,579;85,061;46,134;57,182;78,152;80,793;76,962;..;..;..;..;58,437;110,546;92,555;86,609;158,314;46,950;74,855;48,899;41,740;51,178;36,939;47,408;47,037;49,705;35,911;107,461;36,327;115,295;95,746;646,087;692,065;1947,748;5027,579;161,629;53,741;..;..;116,259;170,353;132,340;93,925;59,375;51,271;46,950;54,152;57,852;63,586;46,073;72,930;50,196;24,233;53,841;54,252;54,363;51,684;52,194;63,161;76,647;48,830;91,023;76,278;63,844;109,278;..;36,089;78,507;..;28,446;142,872;142,872;42,295;;85,229;58,668;65,561;65,980;64,659;199,695;83,120;89,997;60,280;43,067;40,145;48,196;78,153;105,766;156,907;85,227;50,826;54,886;48,891;47,564;..;38,456;43,821;52,762;50,325;53,389;51,082;55,839;739,633;87,717;70,577;73,263;68,188;70,764;69,234;70,793;69,606;70,870;70,019;65,593;119,578;131,470;151,974;72,555;53,556;51,675;48,494;38,883;69,749;99,319;42,579;
199603;Mar 96;68,378;66,074;65,615;68,359;68,385;50,144;70,980;65,276;60,957;76,333;52,861;76,324;69,430;71,226;68,897;45,700;78,409;73,915;75,091;92,549;30,326;197,209;201,556;214,036;121,888;54,928;171,980;50,378;58,462;56,878;70,459;47,669;47,358;47,777;47,020;40,233;48,774;32,771;41,408;40,013;85,495;81,263;83,231;75,765;125,448;114,425;125,465;60,778;98,116;87,770;61,498;84,765;46,187;57,677;78,827;81,525;77,604;..;..;..;..;58,511;111,046;92,828;85,870;159,667;46,870;75,037;48,602;41,892;51,268;37,044;47,408;47,120;50,630;35,911;107,408;36,332;115,230;95,783;639,491;692,947;1935,205;4778,841;163,050;53,741;..;..;116,863;171,461;131,742;94,764;59,686;51,296;46,985;54,170;58,040;63,724;46,209;73,288;50,310;24,247;53,942;54,357;54,472;51,722;52,223;63,241;76,720;49,022;91,011;76,510;64,270;109,116;..;36,089;78,507;..;28,446;142,872;142,872;42,370;;85,708;59,011;65,972;66,608;65,496;202,075;84,301;91,504;60,313;42,963;40,147;47,948;78,828;106,217;156,829;85,302;50,903;54,929;48,916;47,608;..;38,563;43,959;52,856;50,429;53,481;51,140;55,911;731,745;88,098;70,912;73,584;68,449;71,076;69,548;71,101;69,908;71,201;70,310;65,969;120,473;132,801;153,204;72,734;53,750;51,831;48,599;39,028;70,046;99,864;42,616;
199604;Apr 96;68,734;66,062;65,617;68,291;70,050;49,530;70,680;64,837;60,734;73,673;53,301;76,595;69,294;71,662;68,490;46,030;78,874;74,360;74,862;94,344;30,585;197,948;202,511;215,312;120,679;55,031;171,832;51,232;59,968;56,928;70,264;47,838;49,903;49,969;49,871;40,261;48,774;32,771;42,719;40,010;85,032;80,426;82,403;74,908;123,715;113,727;124,422;61,160;97,978;88,096;61,694;85,142;46,267;58,396;79,810;81,723;79,158;..;..;..;..;59,038;111,858;93,059;86,371;160,939;47,261;75,076;49,317;41,935;51,473;37,655;47,418;47,340;50,915;45,492;107,462;36,347;115,289;96,238;637,549;685,737;1919,106;4783,811;164,837;54,080;..;..;116,825;171,475;131,212;94,875;59,665;51,804;47,164;54,915;58,680;64,085;46,847;74,086;50,587;24,287;54,140;54,559;54,664;52,060;52,365;63,513;77,287;49,319;91,727;77,028;64,582;110,114;..;35,703;75,389;..;28,555;142,872;142,872;42,512;;85,970;59,136;65,956;66,603;63,964;202,837;84,103;90,918;61,509;43,271;40,147;48,674;79,811;106,907;157,147;85,943;51,365;56,134;49,951;47,734;..;38,856;44,038;53,128;50,691;53,755;51,597;56,045;729,206;88,504;71,268;74,026;68,878;71,516;69,882;71,489;70,262;71,444;70,675;66,492;120,797;132,633;153,583;73,409;53,936;52,030;48,499;39,257;70,403;100,222;42,698;
199605;May 96;68,946;66,551;66,189;68,825;70,767;50,253;70,777;65,031;65,247;72,630;53,931;76,630;68,955;70,348;68,608;46,225;79,006;74,625;75,461;93,437;30,794;198,641;203,287;216,010;122,048;55,224;172,169;51,245;60,055;57,025;70,338;47,943;49,903;49,969;49,871;40,191;48,900;32,756;40,128;38,751;85,562;80,771;82,606;75,618;125,679;114,601;125,551;61,160;99,980;88,412;61,803;85,168;46,426;58,219;79,569;81,569;78,853;..;..;..;..;59,240;112,370;93,989;86,558;161,751;47,330;75,159;49,309;42,059;51,807;37,931;47,418;47,952;51,040;45,527;107,662;36,375;115,516;96,117;626,305;685,217;1884,628;4505,003;163,713;54,080;..;..;117,006;172,210;131,219;94,664;59,823;52,112;47,689;55,065;58,434;63,312;46,843;73,753;50,735;24,332;54,318;54,740;54,840;52,298;52,507;63,542;77,480;49,570;91,871;76,638;64,533;108,969;..;35,703;75,389;..;28,555;142,872;142,872;42,526;;86,232;59,515;66,214;67,382;64,808;203,546;84,584;91,526;61,543;43,228;40,133;48,589;79,570;107,353;156,124;85,896;51,526;56,219;50,007;47,865;..;39,046;44,206;53,326;50,838;53,967;51,886;56,058;715,749;88,420;71,514;74,208;69,065;71,735;70,111;71,686;70,472;71,695;70,897;66,974;121,009;132,800;154,110;73,422;54,174;52,280;48,654;39,255;70,610;100,342;42,751;
199606;Jun 96;69,013;66,486;66,096;68,889;71,330;51,241;70,680;65,218;67,970;68,570;54,314;76,752;69,171;70,331;68,933;46,278;79,103;74,273;75,845;93,576;30,826;198,584;203,241;215,965;122,012;55,205;172,068;51,353;60,218;57,198;70,677;48,026;49,903;49,969;49,871;40,260;49,138;32,756;39,265;38,574;85,621;81,013;83,029;75,392;125,322;114,500;125,421;61,160;100,011;88,437;61,688;84,379;46,723;58,363;79,765;81,750;79,062;..;..;..;..;59,274;112,815;93,626;86,796;162,510;47,226;75,117;49,018;42,131;52,058;37,961;47,418;47,993;51,071;45,729;107,539;36,389;115,367;96,085;619,800;677,806;1872,375;4358,822;164,966;54,080;..;..;116,986;171,729;130,885;93,823;60,173;52,182;47,761;55,132;58,734;64,175;46,859;74,216;50,812;24,352;54,668;55,105;55,214;52,523;52,525;63,513;77,449;49,829;91,646;76,537;63,920;109,942;..;35,703;75,389;..;28,555;142,872;142,872;42,526;;86,213;59,496;66,344;67,074;63,701;203,489;84,627;91,538;61,699;43,148;40,222;48,284;79,767;107,721;155,820;85,716;51,688;56,362;50,052;48,110;..;39,111;44,317;53,572;50,908;54,257;51,987;56,058;707,966;88,609;71,603;74,339;69,179;71,877;70,201;71,811;70,541;71,754;70,966;67,227;121,041;132,835;154,210;73,402;54,135;52,118;48,343;39,313;70,680;100,327;42,772;
199607;Jul 96;68,575;65,579;65,105;68,773;70,967;51,313;70,602;65,382;61,952;64,391;54,850;76,499;69,103;70,204;68,893;46,372;79,534;74,924;75,984;94,282;30,783;187,968;192,284;203,461;119,835;55,380;163,232;51,502;60,345;57,916;70,510;49,152;49,903;49,969;49,871;40,291;49,171;32,756;39,859;38,676;84,175;78,896;80,798;73,583;121,029;112,639;123,002;61,202;98,028;88,097;61,991;84,943;46,862;58,393;79,807;81,873;79,044;..;..;..;..;59,266;112,735;93,688;86,813;162,340;47,206;75,219;48,827;42,223;52,513;38,060;47,418;48,086;51,071;46,879;106,919;37,321;114,320;95,948;611,829;676,571;1871,950;4126,950;163,414;54,116;..;..;116,957;170,986;129,533;93,445;60,521;52,237;47,951;55,090;58,701;63,971;46,888;74,195;50,943;24,416;54,919;55,359;55,476;52,682;52,721;63,737;77,842;50,030;92,144;76,407;63,571;110,268;..;36,035;75,455;..;28,936;142,872;142,872;42,502;;85,201;58,973;66,388;64,967;59,983;192,438;83,237;89,775;61,622;43,088;40,241;48,118;79,807;107,670;155,124;85,987;51,857;56,622;50,661;48,231;..;39,271;44,487;53,764;51,046;54,463;52,072;56,035;698,405;88,575;71,116;73,882;68,869;71,534;69,747;71,468;70,048;71,195;70,505;67,159;119,063;131,265;148,865;73,577;53,766;51,327;47,462;39,383;70,218;98,986;42,834;
199608;Aug 96;68,942;66,397;65,999;68,683;71,921;50,178;71,255;65,180;62,552;69,108;54,892;76,871;69,157;70,169;68,988;46,256;79,023;74,429;75,953;92,845;30,828;190,214;195,112;206,732;119,983;55,506;163,093;51,503;60,420;57,941;70,507;49,189;49,903;49,969;49,871;40,222;48,977;32,756;40,234;38,693;85,038;80,003;81,914;74,660;124,152;113,179;123,699;61,202;99,287;88,584;62,104;85,062;46,969;58,595;80,082;82,218;79,272;..;..;..;..;59,763;113,330;93,943;86,813;163,470;47,818;75,430;49,810;42,518;52,687;38,089;47,418;48,153;51,071;46,879;107,082;37,338;114,508;96,094;610,615;671,165;1854,691;4140,002;165,458;54,116;..;..;117,544;171,927;131,871;93,312;60,813;52,303;48,173;55,040;58,703;63,790;46,980;74,125;51,056;24,431;55,109;55,549;55,666;52,866;52,945;63,659;77,373;50,118;91,328;77,115;64,384;110,814;..;36,035;75,455;..;28,936;142,872;142,872;42,648;;85,801;59,432;66,544;66,620;62,287;194,768;84,028;90,790;61,620;43,450;40,162;49,074;80,083;108,208;155,329;85,719;51,979;56,685;50,681;48,319;..;39,409;44,756;53,914;51,172;54,619;52,141;56,173;696,948;88,826;71,476;74,191;69,159;71,807;70,078;71,713;70,464;71,634;70,886;67,577;119,799;132,157;150,451;73,516;54,193;52,153;48,264;39,452;70,603;99,643;42,892;
