,Date,PumpPriceP,PumpPriceD,DutyP,DutyD,VatP,VatD,inflation,adjusted
0,2006-01-02,88.03,92.27,47.1,47.1,17.5,17.5,2.2,88.03
1,2006-01-09,88.56,92.94,47.1,47.1,17.5,17.5,2.2,88.56
2,2006-01-16,89.01,93.19,47.1,47.1,17.5,17.5,2.2,89.01
3,2006-01-23,89.55,93.62,47.1,47.1,17.5,17.5,2.2,89.55
4,2006-01-30,89.88,93.93,47.1,47.1,17.5,17.5,2.2,89.88
5,2006-02-06,89.73,93.85,47.1,47.1,17.5,17.5,2.2,89.73
6,2006-02-13,89.65,93.77,47.1,47.1,17.5,17.5,2.2,89.65
7,2006-02-20,89.6,93.75,47.1,47.1,17.5,17.5,2.2,89.6
8,2006-02-27,89.51,93.69,47.1,47.1,17.5,17.5,2.2,89.51
9,2006-03-06,89.37,93.63,47.1,47.1,17.5,17.5,2.0,98.30700000000002
10,2006-03-13,89.55,93.85,47.1,47.1,17.5,17.5,2.0,98.50500000000001
11,2006-03-20,90.19,94.42,47.1,47.1,17.5,17.5,2.0,99.209
12,2006-03-27,91.16,94.95,47.1,47.1,17.5,17.5,2.0,100.27600000000001
13,2006-04-03,91.78,95.64,47.1,47.1,17.5,17.5,2.2,91.78
14,2006-04-10,92.77,96.4,47.1,47.1,17.5,17.5,2.2,92.77
15,2006-04-18,94.23,97.64,47.1,47.1,17.5,17.5,2.2,94.23
16,2006-04-24,95.35,98.5,47.1,47.1,17.5,17.5,2.2,95.35
17,2006-05-01,96.13,98.9,47.1,47.1,17.5,17.5,2.4,88.11916666666667
18,2006-05-08,96.46,98.9,47.1,47.1,17.5,17.5,2.4,88.42166666666667
19,2006-05-15,96.39,98.74,47.1,47.1,17.5,17.5,2.4,88.3575
20,2006-05-22,96.1,98.5,47.1,47.1,17.5,17.5,2.4,88.09166666666667
21,2006-05-29,95.36,97.69,47.1,47.1,17.5,17.5,2.4,87.41333333333334
22,2006-06-05,95.24,97.55,47.1,47.1,17.5,17.5,2.6,80.58769230769231
23,2006-06-12,95.49,97.75,47.1,47.1,17.5,17.5,2.6,80.79923076923076
24,2006-06-19,95.44,97.77,47.1,47.1,17.5,17.5,2.6,80.75692307692307
25,2006-06-26,94.97,97.36,47.1,47.1,17.5,17.5,2.6,80.35923076923076
26,2006-07-03,95.27,97.6,47.1,47.1,17.5,17.5,2.5,83.83760000000001
27,2006-07-10,95.69,97.99,47.1,47.1,17.5,17.5,2.5,84.20720000000001
28,2006-07-17,96.88,98.74,47.1,47.1,17.5,17.5,2.5,85.2544
29,2006-07-24,97.78,99.41,47.1,47.1,17.5,17.5,2.5,86.0464
30,2006-07-31,97.83,99.41,47.1,47.1,17.5,17.5,2.5,86.09040000000002
31,2006-08-07,98.05,99.57,47.1,47.1,17.5,17.5,2.6,82.96538461538461
32,2006-08-14,97.82,99.45,47.1,47.1,17.5,17.5,2.6,82.77076923076922
33,2006-08-21,95.74,97.93,47.1,47.1,17.5,17.5,2.6,81.01076923076923
34,2006-08-28,94.4,96.67,47.1,47.1,17.5,17.5,2.6,79.87692307692308
35,2006-09-04,92.88,95.92,47.1,47.1,17.5,17.5,2.5,81.73440000000001
36,2006-09-11,91.48,95.34,47.1,47.1,17.5,17.5,2.5,80.50240000000001
37,2006-09-18,89.78,94.95,47.1,47.1,17.5,17.5,2.5,79.00640000000001
