Date,PumpPriceP,PumpPriceD,DutyP,DutyD,VatP,VatD,inflation
2006-01-02,88.03,92.27,47.1,47.1,17.5,17.5,2.2
2006-01-09,88.56,92.94,47.1,47.1,17.5,17.5,2.2
2006-01-16,89.01,93.19,47.1,47.1,17.5,17.5,2.2
2006-01-23,89.55,93.62,47.1,47.1,17.5,17.5,2.2
2006-01-30,89.88,93.93,47.1,47.1,17.5,17.5,2.2
2006-02-06,89.73,93.85,47.1,47.1,17.5,17.5,2.2
2006-02-13,89.65,93.77,47.1,47.1,17.5,17.5,2.2
2006-02-20,89.6,93.75,47.1,47.1,17.5,17.5,2.2
2006-02-27,89.51,93.69,47.1,47.1,17.5,17.5,2.2
2006-03-06,89.37,93.63,47.1,47.1,17.5,17.5,2.0
2006-03-13,89.55,93.85,47.1,47.1,17.5,17.5,2.0
2006-03-20,90.19,94.42,47.1,47.1,17.5,17.5,2.0
2006-03-27,91.16,94.95,47.1,47.1,17.5,17.5,2.0
2006-04-03,91.78,95.64,47.1,47.1,17.5,17.5,2.2
2006-04-10,92.77,96.4,47.1,47.1,17.5,17.5,2.2
2006-04-18,94.23,97.64,47.1,47.1,17.5,17.5,2.2
2006-04-24,95.35,98.5,47.1,47.1,17.5,17.5,2.2
2006-05-01,96.13,98.9,47.1,47.1,17.5,17.5,2.4
2006-05-08,96.46,98.9,47.1,47.1,17.5,17.5,2.4
2006-05-15,96.39,98.74,47.1,47.1,17.5,17.5,2.4
2006-05-22,96.1,98.5,47.1,47.1,17.5,17.5,2.4
2006-05-29,95.36,97.69,47.1,47.1,17.5,17.5,2.4
2006-06-05,95.24,97.55,47.1,47.1,17.5,17.5,2.6
2006-06-12,95.49,97.75,47.1,47.1,17.5,17.5,2.6
2006-06-19,95.44,97.77,47.1,47.1,17.5,17.5,2.6
2006-06-26,94.97,97.36,47.1,47.1,17.5,17.5,2.6
2006-07-03,95.27,97.6,47.1,47.1,17.5,17.5,2.5
2006-07-10,95.69,97.99,47.1,47.1,17.5,17.5,2.5
2006-07-17,96.88,98.74,47.1,47.1,17.5,17.5,2.5
2006-07-24,97.78,99.41,47.1,47.1,17.5,17.5,2.5
2006-07-31,97.83,99.41,47.1,47.1,17.5,17.5,2.5
2006-08-07,98.05,99.57,47.1,47.1,17.5,17.5,2.6
2006-08-14,97.82,99.45,47.1,47.1,17.5,17.5,2.6
2006-08-21,95.74,97.93,47.1,47.1,17.5,17.5,2.6
2006-08-28,94.4,96.67,47.1,47.1,17.5,17.5,2.6
2006-09-04,92.88,95.92,47.1,47.1,17.5,17.5,2.5
2006-09-11,91.48,95.34,47.1,47.1,17.5,17.5,2.5
2006-09-18,89.78,94.95,47.1,47.1,17.5,17.5,2.5
2006-09-25,88.2,93.51,47.1,47.1,17.5,17.5,2.5
2006-10-02,86.95,92.13,47.1,47.1,17.5,17.5,2.5
2006-10-09,86.6,91.74,47.1,47.1,17.5,17.5,2.5
2006-10-16,85.91,91.59,47.1,47.1,17.5,17.5,2.5
2006-10-23,85.74,91.22,47.1,47.1,17.5,17.5,2.5
2006-10-30,85.6,91.17,47.1,47.1,17.5,17.5,2.5
2006-11-06,85.54,91.12,47.1,47.1,17.5,17.5,2.8
2006-11-13,85.49,91.15,47.1,47.1,17.5,17.5,2.8
2006-11-20,85.45,91.17,47.1,47.1,17.5,17.5,2.8
2006-11-27,85.47,91.17,47.1,47.1,17.5,17.5,2.8
2006-12-04,85.46,91.5,47.1,47.1,17.5,17.5,2.9
2006-12-11,87.44,92.96,48.35,48.35,17.5,17.5,2.9
2006-12-18,87.7,93.26,48.35,48.35,17.5,17.5,2.9
2006-12-25,87.9,93.41,48.35,48.35,17.5,17.5,2.9
2007-01-01,87.85,93.4,48.35,48.35,17.5,17.5,2.7
2007-01-08,87.66,93.11,48.35,48.35,17.5,17.5,2.7
2007-01-15,87.1,91.55,48.35,48.35,17.5,17.5,2.7
2007-01-22,86.28,90.45,48.35,48.35,17.5,17.5,2.7
2007-01-29,85.66,89.7,48.35,48.35,17.5,17.5,2.7
2007-02-05,85.62,89.63,48.35,48.35,17.5,17.5,2.7
2007-02-12,86.12,90.11,48.35,48.35,17.5,17.5,2.7
2007-02-19,86.6,90.55,48.35,48.35,17.5,17.5,2.7
2007-02-26,87.07,91.02,48.35,48.35,17.5,17.5,2.7
2007-03-05,87.74,91.59,48.35,48.35,17.5,17.5,2.9
2007-03-12,88.48,92.17,48.35,48.35,17.5,17.5,2.9
2007-03-19,88.93,92.61,48.35,48.35,17.5,17.5,2.9
2007-03-26,89.32,92.91,48.35,48.35,17.5,17.5,2.9
2007-04-02,90.47,93.9,48.35,48.35,17.5,17.5,2.7
2007-04-10,91.18,94.33,48.35,48.35,17.5,17.5,2.7
2007-04-16,91.99,94.86,48.35,48.35,17.5,17.5,2.7
2007-04-23,92.93,95.39,48.35,48.35,17.5,17.5,2.7
2007-04-30,93.45,95.71,48.35,48.35,17.5,17.5,2.7
2007-05-07,94.43,96.12,48.35,48.35,17.5,17.5,2.5
2007-05-14,95.07,96.47,48.35,48.35,17.5,17.5,2.5
2007-05-21,95.71,96.69,48.35,48.35,17.5,17.5,2.5
2007-05-28,96.16,96.99,48.35,48.35,17.5,17.5,2.5
2007-06-04,96.51,97.19,48.35,48.35,17.5,17.5,2.5
2007-06-11,96.61,97.2,48.35,48.35,17.5,17.5,2.5
2007-06-18,96.56,97.11,48.35,48.35,17.5,17.5,2.5
2007-06-25,96.54,97.12,48.35,48.35,17.5,17.5,2.5
2007-07-02,96.36,96.89,48.35,48.35,17.5,17.5,2.0
2007-07-09,96.2,96.78,48.35,48.35,17.5,17.5,2.0
2007-07-16,96.21,96.79,48.35,48.35,17.5,17.5,2.0
2007-07-23,96.23,96.83,48.35,48.35,17.5,17.5,2.0
2007-07-30,96.2,96.77,48.35,48.35,17.5,17.5,2.0
2007-08-06,96.15,96.72,48.35,48.35,17.5,17.5,2.0
2007-08-13,96,96.7,48.35,48.35,17.5,17.5,2.0
2007-08-20,95.31,96.59,48.35,48.35,17.5,17.5,2.0
2007-08-27,95,96.37,48.35,48.35,17.5,17.5,2.0
2007-09-03,94.8,96.37,48.35,48.35,17.5,17.5,2.0
2007-09-10,94.63,96.34,48.35,48.35,17.5,17.5,2.0
2007-09-17,94.65,96.45,48.35,48.35,17.5,17.5,2.0
2007-09-24,94.91,96.9,48.35,48.35,17.5,17.5,2.0
2007-10-01,96.39,98.51,50.35,50.35,17.5,17.5,2.3
2007-10-08,97.14,99.1,50.35,50.35,17.5,17.5,2.3
2007-10-15,97.19,99.18,50.35,50.35,17.5,17.5,2.3
2007-10-22,97.81,99.89,50.35,50.35,17.5,17.5,2.3
2007-10-29,98.26,100.69,50.35,50.35,17.5,17.5,2.3
2007-11-05,99.36,102.16,50.35,50.35,17.5,17.5,2.2
2007-11-12,100.74,104.17,50.35,50.35,17.5,17.5,2.2
2007-11-19,101.47,105.28,50.35,50.35,17.5,17.5,2.2
2007-11-26,102.13,106.25,50.35,50.35,17.5,17.5,2.2
2007-12-03,102.58,107.19,50.35,50.35,17.5,17.5,2.3
2007-12-10,102.67,107.47,50.35,50.35,17.5,17.5,2.3
2007-12-17,102.6,107.56,50.35,50.35,17.5,17.5,2.3
2007-12-24,102.53,107.5,50.35,50.35,17.5,17.5,2.3
2007-12-31,102.66,107.61,50.35,50.35,17.5,17.5,2.3
2008-01-07,103.37,108.29,50.35,50.35,17.5,17.5,2.4
2008-01-14,103.82,108.77,50.35,50.35,17.5,17.5,2.4
2008-01-21,104.22,109.09,50.35,50.35,17.5,17.5,2.4
2008-01-28,104.22,109.11,50.35,50.35,17.5,17.5,2.4
2008-02-04,104.03,108.99,50.35,50.35,17.5,17.5,2.6
