Back to Contents;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Table 17; CPIH: Detailed goods and services breakdown: Weights 2007 to 2018 1, 2;;;;;;;;;;;;;;;
;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;"2017 
Jan";"2017 
Feb-Dec";"2018
Jan";"2018 
Feb-Dec"
;L5CY  ; CPIH (overall index);1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
;;;;;;;;;;;;;;;;
;L5DD  ; All goods;435;436;438;440;448;443;434;437;428;416;419;419;418;418
;L5NP  ; Food, alcoholic beverages & tobacco;118;120;129;120;128;122;122;126;122;117;114;115;115;117
;L5NQ  ; Processed food & non-alcoholic beverages;45;47;51;47;50;48;48;49;48;45;45;45;45;46
;L5NR  ; Non-processed food;39;40;44;40;43;41;39;41;40;38;36;36;37;37
;L5NS  ; Seasonal food;22;23;25;22;25;23;22;23;23;21;20;20;21;21
;L5DI  ; Meat;17;17;19;18;18;18;17;18;17;17;16;16;16;16
;L5D2  ; Alcoholic beverages & tobacco;34;33;34;33;35;33;35;36;34;34;33;34;33;34
;;;;;;;;;;;;;;;;
;L5NT  ; Industrial goods;317;316;309;320;320;321;312;311;306;299;305;304;303;301
;L5NU  ; *Energy;59;59;64;70;70;81;72;66;62;53;52;53;51;52
;L5NV  ; Electricity, gas & miscellaneous energy;30;27;36;36;34;42;38;35;33;27;26;26;26;26
;L5NW  ; Liquid fuels, vehicle fuels & lubricants;29;32;28;34;36;39;34;31;29;26;26;27;25;26
;L5NX  ; Non-energy industrial goods;258;257;245;250;250;240;240;245;244;246;253;251;252;249
;L5NY  ; Clothing & footwear goods;48;49;44;44;50;52;55;56;56;57;59;57;58;56
;L5NZ  ; Housing goods;60;60;60;60;57;51;53;47;44;47;49;47;48;46
;L5O2  ; Household goods;48;48;48;48;44;40;40;41;39;41;44;42;43;41
;L5O3  ;" Water supply; materials for maintenance & repair";12;12;12;12;13;11;13;6;5;6;5;5;5;5
;L5O4  ; Medical products, appliances & equipment;8;8;7;8;8;8;8;9;10;10;10;10;9;9
;L5O5  ; Vehicles, spare parts & accessories;43;42;40;42;40;38;34;39;38;39;41;41;42;42
;L5O6  ; Recreational goods;73;72;67;70;70;65;63;65;65;62;64;66;65;65
;L5OJ  ; Audio-visual goods;22;21;17;18;21;18;18;16;17;15;13;14;13;13
;L5OK  ; Other recreational goods;51;51;50;52;49;47;45;49;48;47;51;52;52;52
;L5O7  ; Miscellaneous goods;26;26;27;26;25;26;27;29;31;31;30;30;30;31
;;;;;;;;;;;;;;;;
;L5DE  ; All services;565;564;562;560;552;557;566;563;572;584;581;581;582;582
;L5O8  ; Housing services;263;262;261;257;259;266;260;265;269;270;270;271;277;278
;L5E5  ; Actual rentals for housing;39;40;41;43;46;52;50;56;58;58;56;56;69;69
