Back to Contents;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Table 3; CPIH: Detailed figures by divisions, groups and classes 1;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; Percentage change;;;Percentage change over 12 months;;;;;;;;
;;;;;;;; Weights;; Index (2015=100);;; over 1 month;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;2018;;2017;2018;;2017;2018;;2017;2018;2018;2018;2018;2018;2018;2018;2018
;;;;;;;;Feb-Dec;;Aug;Aug;;Aug;Aug;;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug
Weights;Indices;1-month rate;12-month rate;;;;;;;;;;;;;;;;;;;;;
L5CY;L522;L59C;L55O;;;CPIH (overall index) ;;1000;;104,0;106,5;;0,5;0,6;;2,7;2,7;2,5;2,3;2,2;2,3;2,3;2,3;2,4
L5CZ;L523;L59D;L55P;;;01    Food and non-alcoholic beverages;;83;;99,5;101,9;;0,1;0,2;;4,1;3,7;3,0;3,1;2,7;2,3;2,0;2,3;2,4
L5D2;L524;L59E;L55Q;;;02    Alcoholic beverages and tobacco;;34;;106,7;111,0;;0,1;0,6;;5,5;5,5;5,7;3,4;3,9;4,0;4,0;3,5;4,0
L5D3;L525;L59F;L55R;;;03    Clothing and footwear;;57;;101,5;101,8;;2,4;3,1;;3,1;3,4;3,9;2,5;1,8;1,5;0,4;-0,4;0,3
L5D4;L5PG;L59G;L55S;;;04    Housing, water, electricity, gas and other fuels (Inc OOH);;301;;104,1;106,0;;0,1;0,1;;1,8;1,8;1,7;1,7;1,8;1,6;1,8;1,8;1,8
L5D5;L527;L59H;L55T;;;05    Furniture, household equipment and maintenance;;48;;103,5;104,2;;1,8;1,2;;3,3;3,2;3,4;2,5;2,7;2,1;2,0;1,3;0,7
L5D6;L528;L59I;L55U;;;06    Health;;21;;105,3;107,9;; -;0,3;;3,2;2,9;2,6;2,7;2,7;2,3;2,4;2,2;2,4
L5D7;L529;L59J;L55V;;;07    Transport;;124;;106,5;112,9;;1,0;1,3;;3,7;3,3;2,7;2,9;2,3;4,6;5,3;5,6;6,0
L5D8;L52A;L59K;L55W;;;08    Communication;;20;;106,0;106,3;;1,7;0,4;;1,0;1,2;-0,3;-0,3;1,0;0,7;0,7;1,6;0,3
