Back to Contents;;;;;;;;;;;;;;;
;;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;
Table 38; RPI All Items: 1947 to 2018 1;;;;;;;;;;;;;;
;Percentage change over 1 month;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
; per cent;; Jan; Feb; Mar; Apr; May; Jun; Jul; Aug; Sep; Oct; Nov; Dec;
;;;;;;;;;;;;;;;
; CZEQ;1947;  ..;  ..;  ..;  ..;  ..;  ..;0,7;-0,6;0,5;0,7;2,1;0,3;
;;1948;0,5;1,8;0,3;1,4;-0,1;1,8;-1,5;-;0,2;0,2;0,3;0,1;
;;1949;0,2;0,2;-0,3;-0,3;1,8;0,5;0,1;0,1;0,4;0,5;-;0,3;
;;1950;0,3;0,3;0,3;0,4;0,3;-0,5;-;-0,4;0,6;1,1;0,4;0,5;
;;1951;0,9;0,9;0,7;1,6;2,5;0,3;1,5;0,5;0,7;0,7;0,4;0,7;
;;1952;1,8;0,1;0,5;1,6;-;1,7;-0,1;-0,6;-0,2;0,9;-0,1;0,7;
;;1953;-0,1;0,3;0,7;0,9;-0,4;0,6;-;-0,7;-0,2;-;0,3;-0,4;
;;1954;0,2;-0,2;0,9;0,4;-0,3;0,6;1,7;-0,6;-0,2;0,5;0,5;0,5;
;;1955;0,4;-;-;0,5;-0,2;2,1;0,4;-0,7;0,6;1,1;1,6;-;
;;1956;-0,3;-;1,3;1,4;-0,2;-0,1;-0,4;0,3;-0,2;0,6;0,4;0,3;
;;1957;1,0;-0,1;-0,2;0,4;0,1;1,1;0,9;-0,2;-0,3;0,9;0,6;0,5;
;;1958;-0,1;-0,5;0,7;1,1;-0,4;0,9;-1,5;-0,2;0,1;0,9;0,4;0,4;
;;1959;0,2;-0,1;-;-0,7;-0,4;0,2;-0,3;0,3;-0,5;0,5;0,7;0,2;
;;1960;-0,3;-;-0,2;0,5;-;0,5;0,2;-0,6;0,1;0,8;0,4;0,3;
;;1961;0,1;-;0,4;0,5;0,3;0,9;-;1,0;-0,2;0,2;1,0;0,2;
;;1962;0,3;0,1;0,4;1,4;0,3;0,7;-0,4;-0,9;-0,1;-0,1;0,4;0,5;
;;1963;0,4;0,9;0,1;0,3;-0,1;-;-0,6;-0,3;0,3;0,4;0,3;0,2;
;;1964;0,5;0,1;0,4;0,9;0,8;0,4;-;0,4;-;0,1;0,8;0,4;
