Back to Contents;;;;;;;;;;;;;;;;
;;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;;
Table 47;RPI goods and services 1: 1996 to 20187;;;;;;;;;;;;;;;
;Percentage change over 12 months;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
; per cent;;;;;;;;;;;;;;;
;;; Goods components;;;;; ;; Services components;;;;; ;
;;;;;;;; ;; ;;;;; ;
;;; ; Alcohol & ; ; Other;; All;; ; ;" ""Shop""";" ""Non-shop"" ";; All;
;;; Food;tobacco; Petrol & oil 2; goods 3;; goods;; Rent; Utilities 4; services 5;services 6;; services;
;;;;;;;;;;;;;;;;
; Annual change;;;;;;;;;;;;;;;
;;; CCYY; CZBK; DOGQ; DOGI;; DOGD;; CZCQ; DOGF; DOGG; DOGH;; DOGE;
;;1996;3,2;4,1;5,2;2,2;;3,0;;4,5;0,6;4,1;0,4;;2,4;
;;1997;0,1;4,2;9,3;1,4;;2,2;;3,4;-1,3;4,6;4,3;;3,1;
;;1998;1,3;5,0;4,2;0,1;;1,6;;3,1;-1,3;4,6;4,8;;3,2;
;;1999;0,3;5,4;8,5;-1,8;;0,9;;3,0;-;4,4;5,0;;3,5;
;;2000;-0,3;3,8;14,0;-2,8;;0,3;;3,3;-3,1;4,3;6,8;;3,5;
;;2001;3,3;3,1;-5,0;-1,1;;0,3;;3,5;-1,5;4,7;5,7;;3,8;
;;2002;0,7;2,5;-3,2;-1,7;;-0,5;;2,6;2,4;5,5;5,7;;4,6;
;;2003;1,3;2,6;4,0;-1,4;;0,3;;1,5;1,6;4,3;5,9;;3,9;
;;2004;0,6;2,5;6,0;-1,7;;0,1;;2,2;3,9;4,0;2,5;;3,3;
;;2005;1,2;2,7;9,8;-2,1;;0,4;;3,4;6,3;4,4;2,3;;3,9;
;;2006;2,1;3,0;6,0;-0,5;;1,2;;2,9;12,1;4,1;2,2;;5,0;
;;2007;4,6;3,7;2,5;-0,1;;1,9;;3,3;4,0;4,2;5,0;;4,3;
;;2008;9,3;4,1;16,7;-1,1;;3,7;;3,6;8,4;4,4;5,7;;5,4;
;;2009;5,3;3,7;-8,8;0,9;;1,5;;2,0;5,6;2,9;6,0;;4,1;
;;2010;3,1;4,8;17,1;4,4;;5,3;;1,4;0,1;3,5;9,8;;4,2;
;;2011;5,9;7,4;15,3;4,1;;6,4;;2,5;6,4;4,0;7,9;;5,3;
;;2012;3,2;5,1;2,0;2,9;;3,3;;3,3;6,4;2,5;3,8;;3,9;
;;2013;3,7;4,5;-0,9;2,7;;2,8;;2,6;5,7;2,5;4,0;;3,6;
;;2014;-;3,8;-5,2;2,9;;1,5;;2,6;3,6;2,3;3,1;;2,8;
;;2015;-2,3;2,2;-14,1;1,4;;-0,9;;3,0;-0,6;2,1;3,8;;2,2;
;;2016;-2,2;2,0;-2,9;1,1;;0,2;;2,0;-0,3;2,5;5,0;;2,6;
;;2017;2,3;3,7;9,3;4,0;;4,0;;1,2;2,5;2,6;6,3;;3,4;
;;;;;;;;;;;;;;;;
; Monthly;;;;;;;;;;;;;;;
;;Aug 2016;-2,0;2,0;-4,2;0,6;;-0,2;;1,4; -;2,6;5,9;;2,9;
;;Sep ;-2,2;2,3;1,7;1,1;;0,6;;1,4;0,4;2,6;5,0;;2,6;
;;Oct;-2,1;2,5;4,1;1,1;;0,9;;1,3;0,2;2,7;4,9;;2,6;
;;Nov ;-1,8;2,3;9,0;1,8;;1,7;;1,2;0,1;2,8;4,2;;2,4;
;;Dec ;-1,2;2,5;10,8;2,0;;2,1;;1,3;-0,1;2,8;5,3;;2,7;
;;Jan ;-0,4;2,5;18,1;1,9;;2,8;;1,5;-0,1;2,6;4,1;;2,3;
;;Feb ;0,5;2,8;21,3;2,9;;3,8;;1,4;0,3;2,7;4,8;;2,6;
;;Mar ;1,2;3,9;19,6;3,0;;4,1;;1,4;1,1;2,7;3,1;;2,2;
;;Apr ;1,5;3,7;13,1;3,4;;3,9;;1,4;1,7;2,8;7,2;;3,6;
;;May ;2,1;4,0;8,2;4,4;;4,1;;1,3;2,8;2,8;6,0;;3,5;
;;Jun ;2,3;4,1;5,2;4,2;;3,9;;1,3;2,9;2,5;6,6;;3,6;
;;Jul ;2,8;4,1;2,4;4,5;;3,9;;1,3;3,0;2,5;7,5;;3,9;
;;Aug 2017;2,1;3,7;6,5;4,9;;4,2;;1,2;3,5;2,7;7,7;;4,0;
;;Sep ;3,2;3,7;6,7;4,9;;4,5;;1,2;3,4;2,7;6,7;;3,7;
;;Oct;4,1;3,8;4,7;4,7;;4,5;;1,0;3,9;2,6;6,9;;3,8;
;;Nov ;4,0;3,8;3,3;4,6;;4,2;;1,0;3,9;2,6;7,1;;3,8;
;;Dec ;4,0;4,5;5,6;4,5;;4,5;;0,9;3,4;2,7;7,7;;3,9;
;;Jan;3,5;4,5;2,6;4,4;;4,1;;0,6;3,7;2,8;7,5;;3,9;
;;Feb ;2,5;4,5;1,8;4,2;;3,7;;0,6;3,0;2,8;6,8;;3,6;
;;Mar ;2,7;3,2;0,6;3,7;;3,2;;0,7;2,9;2,9;6,6;;3,5;
;;Apr ;2,6;3,5;4,0;3,9;;3,6;;0,7;3,3;2,9;4,1;;2,9;
;;May;2,2;3,6;9,0;3,4;;3,6;;0,7;2,1;2,9;5,1;;3,0;
;;Jun ;2,0;3,6;12,6;3,3;;3,8;;0,7;3,2;2,9;4,1;;2,9;
;;Jul;2,3;3,2;13,4;2,7;;3,6;;0,8;3,9;2,8;3,7;;2,9;
;;Aug 2018;2,4;3,5;12,5;2,9;;3,7;;0,8;3,6;3,1;4,1;;3,1;
;;;;;;;;;;;;;;;;
;; Key:      -  zero or negligible;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;
;1; Includes all RPI components except mortgage interest payments, council tax;;;;;;;;;;;;;;
;; and depreciation.;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;
;2; Including Fuel oil.;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;
;3; 'Other goods' comprises DIY materials, Coal & solid fuels, Household goods,;;;;;;;;;;;;;;
;; Clothing & footwear, Personal articles, Chemists goods, Purchase of motor;;;;;;;;;;;;;;
;; vehicles and leisure goods.;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;
;4;  'Utilities' comprises Water, Electricity, Gas, Postage, Telephone;;;;;;;;;;;;;;
;; charges and Rail fares.;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;
;5; 'Shop services' comprises Catering, Repairs & maintenance charges, Domestic;;;;;;;;;;;;;;
;; services, Personal services, Maintenance of motor vehicles, TV licence &;;;;;;;;;;;;;;
;; rentals and Entertainment & recreation charges.;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;
;6; 'Non-shop services' comprises Dwelling insurance & ground rent, Fees and;;;;;;;;;;;;;;
;; and subscriptions, Vehicle tax and insurance, Bus & coach fares, Other;;;;;;;;;;;;;;
;; travel costs, Foreign holidays and UK holidays.;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;
;7;The Retail Prices Index and its derivatives do not meet the required standards ;;;;;;;;;;;;;;
;;for designation as National Statistics. A full report can be found at: ;;;;;;;;;;;;;;
;;http://www.statisticsauthority.gov.uk/;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Source: ;;;;;;;;;;;;;;
;;Office for National Statistics;;;;;;;;;;;;;;
;;Prices Division;;;;;;;;;;;;;;
;;2.001 Cardiff Road;;;;;;;;;;;;;;
;;Newport;;;;;;;;;;;;;;
;;South Wales;;;;;;;;;;;;;;
;;NP10 8XG;;;;;;;;;;;;;;
;;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;http://www.ons.gov.uk;;;;;;;;;;;;;;
