Back to Contents;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;
Table 48;Retail Prices Index: Long run series: 1947 to 2018 1, 2, 3;;;;;;;;;;;;;
;;;;;;;;;;;;;;
 January 1974 = 100;;;;;;;;;;;;;;
;; Annual; ; ; ; ; ; ; ; ; ; ; ; 
;; average; Jan; Feb; Mar; Apr; May; Jun; Jul; Aug; Sep; Oct; Nov; Dec
;;;;;;;;;;;;;;
 CDKO;1947;28,9;  ..;  ..;  ..;  ..;  ..;28,9;29,1;28,9;29,1;29,3;29,9;30,0
;1948;31,1;30,1;30,7;30,8;31,2;31,2;31,7;31,2;31,2;31,3;31,3;31,4;31,5
;1949;32,0;31,5;31,6;31,5;31,4;32,0;32,1;32,2;32,2;32,3;32,5;32,5;32,6
;1950;33,0;32,6;32,7;32,8;32,9;33,0;32,9;32,9;32,7;32,9;33,3;33,4;33,6
;1951;36,0;33,9;34,2;34,5;35,0;35,9;36,0;36,6;36,7;37,0;37,2;37,4;37,7
;1952;39,3;38,3;38,4;38,5;39,2;39,2;39,8;39,8;39,5;39,5;39,8;39,8;40,0
;1953;40,5;40,0;40,1;40,4;40,8;40,6;40,8;40,8;40,6;40,5;40,5;40,6;40,5
;1954;41,3;40,5;40,5;40,8;41,0;40,9;41,1;41,8;41,5;41,5;41,7;41,8;42,1
;1955;43,1;42,2;42,2;42,2;42,5;42,4;43,3;43,4;43,1;43,4;43,8;44,5;44,5
;1956;45,3;44,4;44,4;44,9;45,6;45,5;45,4;45,3;45,4;45,3;45,6;45,7;45,9
;1957;46,9;46,3;46,3;46,2;46,4;46,4;46,9;47,3;47,2;47,1;47,5;47,8;48,0
;1958;48,4;48,0;47,7;48,1;48,6;48,5;48,9;48,1;48,1;48,1;48,5;48,7;48,9
;1959;48,6;49,0;48,9;48,9;48,6;48,4;48,5;48,4;48,5;48,2;48,5;48,8;48,9
;1960;49,1;48,8;48,8;48,7;48,9;48,9;49,2;49,3;49,0;49,0;49,4;49,7;49,8
;1961;50,8;49,8;49,8;50,0;50,3;50,4;50,9;50,9;51,3;51,3;51,3;51,9;52,0
;1962;53,0;52,1;52,2;52,4;53,1;53,3;53,6;53,4;53,0;52,9;52,9;53,1;53,3
