Back to Contents;;;;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;;;;
Table 49;Composite Price Index: 1800 to 2017 1, 2, 3, 4;;;;;;;;;;;;;;;;
 January 1974 = 100;;;;;;;;;;;;;;;;;
;; Index;;; Index;;; Index;;; Index;;; Index;;; Index
;; CDKO;;; CDKO;;; CDKO;;; CDKO;;; CDKO;;; CDKO
;1800;13,5;;1843;8,9;;1886;8,7;;1929;17,8;;1972;85,7;;2015;1020,0
;1801;15,1;;1844;8,9;;1887;8,6;;1930;17,3;;1973;93,5;;2016;1037,7
;1802;11,6;;1845;9,3;;1888;8,7;;1931;16,6;;1974;108,5;;2017;1074,9
;1803;11,0;;1846;9,7;;1889;8,8;;1932;16,2;;1975;134,8;;;
;1804;11,3;;1847;10,9;;1890;8,8;;1933;15,8;;1976;157,1;;;
;1805;13,1;;1848;9,5;;1891;8,9;;1934;15,8;;1977;182,0;;;
;1806;12,6;;1849;8,9;;1892;8,9;;1935;15,9;;1978;197,1;;;
;1807;12,3;;1850;8,4;;1893;8,8;;1936;16,0;;1979;223,5;;;
;1808;12,8;;1851;8,1;;1894;8,7;;1937;16,6;;1980;263,7;;;
;1809;14,0;;1852;8,1;;1895;8,6;;1938;16,8;;1981;295,0;;;
;1810;14,4;;1853;8,9;;1896;8,5;;1939;17,3;;1982;320,4;;;
;1811;14,0;;1854;10,2;;1897;8,7;;1940;20,2;;1983;335,1;;;
;1812;15,9;;1855;10,5;;1898;8,7;;1941;22,4;;1984;351,8;;;
;1813;16,3;;1856;10,5;;1899;8,8;;1942;24,0;;1985;373,2;;;
;1814;14,2;;1857;10,0;;1900;9,2;;1943;24,8;;1986;385,9;;;
;1815;12,7;;1858;9,1;;1901;9,2;;1944;25,5;;1987;402,0;;;
;1816;11,6;;1859;9,0;;1902;9,2;;1945;26,2;;1988;421,7;;;
;1817;13,2;;1860;9,3;;1903;9,3;;1946;27,0;;1989;454,5;;;
;1818;13,2;;1861;9,5;;1904;9,3;;1947;28,9;;1990;497,5;;;
;1819;12,9;;1862;9,3;;1905;9,3;;1948;31,1;;1991;526,7;;;
;1820;11,7;;1863;9,0;;1906;9,3;;1949;32,0;;1992;546,4;;;
;1821;10,3;;1864;8,9;;1907;9,4;;1950;33,0;;1993;555,1;;;
;1822;8,9;;1865;9,0;;1908;9,4;;1951;36,0;;1994;568,5;;;
;1823;9,5;;1866;9,5;;1909;9,5;;1952;39,3;;1995;588,2;;;
;1824;10,3;;1867;10,1;;1910;9,6;;1953;40,5;;1996;602,4;;;
;1825;12,1;;1868;10,0;;1911;9,6;;1954;41,3;;1997;621,3;;;
;1826;11,4;;1869;9,5;;1912;9,9;;1955;43,1;;1998;642,6;;;
;1827;10,7;;1870;9,5;;1913;9,8;;1956;45,3;;1999;652,5;;;
;1828;10,4;;1871;9,6;;1914;9,8;;1957;46,9;;2000;671,8;;;
;1829;10,3;;1872;10,0;;1915;11,0;;1958;48,4;;2001;683,7;;;
;1830;9,9;;1873;10,4;;1916;13,0;;1959;48,6;;2002;695,1;;;
;1831;10,9;;1874;10,0;;1917;16,3;;1960;49,1;;2003;715,2;;;
;1832;10,1;;1875;9,8;;1918;19,9;;1961;50,8;;2004;736,5;;;
;1833;9,5;;1876;9,8;;1919;21,9;;1962;53,0;;2005;757,3;;;
;1834;8,7;;1877;9,7;;1920;25,3;;1963;54,0;;2006;781,5;;;
;1835;8,9;;1878;9,5;;1921;23,1;;1964;55,8;;2007;815,0;;;
;1836;9,9;;1879;9,1;;1922;19,9;;1965;58,4;;2008;847,5;;;
;1837;10,1;;1880;9,4;;1923;18,7;;1966;60,7;;2009;843,0;;;
;1838;10,2;;1881;9,3;;1924;18,6;;1967;62,3;;2010;881,9;;;
;1839;10,9;;1882;9,4;;1925;18,6;;1968;65,2;;2011;927,8;;;
;1840;11,1;;1883;9,3;;1926;18,5;;1969;68,7;;2012;957,6;;;
;1841;10,9;;1884;9,1;;1927;18,0;;1970;73,1;;2013;986,7;;;
;1842;10,0;;1885;8,8;;1928;18,0;;1971;80,0;;2014;1010,0;;;
;;;;;;;;;;;;;;;;;
; Note:;;;;;;;;;;;;;;;;
1; The results in this table do not fall within the scope of National Statistics;;;;;;;;;;;;;;;;
; due to the limitations of some of the primary sources, particularly;;;;;;;;;;;;;;;;
; pre-1947, used to construct the index.;;;;;;;;;;;;;;;;
; ;;;;;;;;;;;;;;;;
2; Further information and data back to 1750 are available in an article;;;;;;;;;;;;;;;;
; entitled 'Consumer price inflation since 1750' to be found on the National;;;;;;;;;;;;;;;;
; Statistics website: http://www.ons.gov.uk/ons/rel/cpi/consumer-price-indices/1750---2003/composite-consumer-price-index-with-description-and-assessment-of-source-data.pdf;;;;;;;;;;;;;;;;
; ;;;;;;;;;;;;;;;;
3; The percentage change in prices between any two months is;;;;;;;;;;;;;;;;
; calculated by the following formula:;;;;;;;;;;;;;;;;
; (later date index minus earlier date index) divided by earlier date index);;;;;;;;;;;;;;;;
; times 100;;;;;;;;;;;;;;;;
; eg: (757.3 [2005] - 73.1 [1970]) / 73.1 [1970] X 100 = 936.0%;;;;;;;;;;;;;;;;
; ;;;;;;;;;;;;;;;;
4; The purchasing power of a sum of money in one year  compared with;;;;;;;;;;;;;;;;
; another is calculated using the following formulae:;;;;;;;;;;;;;;;;
; The sum of money times (later date index divided by earlier date index);;;;;;;;;;;;;;;;
; eg: £20 X (757.3 [2005]) / 49.1 [1960] = £308.47;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Source: ;;;;;;;;;;;;;;;;
;Office for National Statistics;;;;;;;;;;;;;;;;
;Prices Division;;;;;;;;;;;;;;;;
;2.001 Cardiff Road;;;;;;;;;;;;;;;;
;Newport;;;;;;;;;;;;;;;;
;South Wales;;;;;;;;;;;;;;;;
;NP10 8XG;;;;;;;;;;;;;;;;
;Tel: +44 (0) 1633 456900;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;http://www.ons.gov.uk;;;;;;;;;;;;;;;;
