Back to Contents;;;;;;;;;;;;;;;;;;;
;;THE RPI FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS 2;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Table 5;A breakdown of the differences between CPI and RPI;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;; Difference between annual rates CPI - RPI  ;; Breakdown of differences (unrounded figures);;;;;;;;;;;;;;;
;;                 Housing components excluded from CPI;;;;;;;;;;;;;;;;;
;; Rounded figures; Unrounded figures; Total;Mortgage interest payments;Other housing components; Other differences in coverage of goods and services; Formula effect 1; Other differences including weights;;;;;;;;;;
;;;; ; ;; ; ; ;;;;;;;;;;
;; DRA2; DRA3; DRA4; DRA5; DRA7; DRA8; DRA9; DRB2;;;;;;;;;;
;Aug 2011;-0,7;-0,67;0,05;-0,07;0,12;0,21;-0,99;0,06;;;;;;;;;;
;Sep ;-0,4;-0,44;0,06;-0,07;0,13;0,19;-0,97;0,28;;;;;;;;;;
;Oct ;-0,4;-0,43;0,07;-0,04;0,11;0,20;-1,00;0,30;;;;;;;;;;
;Nov ;-0,4;-0,42;0,05;-0,06;0,10;0,18;-0,99;0,34;;;;;;;;;;
;Dec ;-0,6;-0,62;0,06;-0,04;0,10;0,18;-1,02;0,16;;;;;;;;;;
;Jan ;-0,3;-0,34;0,05;-0,03;0,08;0,11;-0,94;0,44;;;;;;;;;;
;Feb ;-0,3;-0,28;0,04;-0,03;0,07;0,12;-0,90;0,46;;;;;;;;;;
;Mar ;-0,1;-0,13;0,03;-0,02;0,05;0,14;-0,93;0,62;;;;;;;;;;
;Apr ;-0,5;-0,37;-0,02;-0,02;-0,01;0,21;-0,92;0,36;;;;;;;;;;
;May ;-0,3;-0,28;-0,04;-0,03;-0,01;0,21;-0,91;0,47;;;;;;;;;;
;Jun ;-0,4;-0,33;-0,08;-0,04;-0,04;0,15;-0,93;0,53;;;;;;;;;;
;Jul ;-0,6;-0,57;-0,14;-0,06;-0,08;0,10;-0,95;0,43;;;;;;;;;;
;Aug 2012;-0,4;-0,45;-0,15;-0,09;-0,06;0,06;-0,88;0,52;;;;;;;;;;
;Sep ;-0,4;-0,44;-0,17;-0,09;-0,08;0,06;-0,89;0,54;;;;;;;;;;
;Oct;-0,5;-0,54;-0,26;-0,19;-0,07;0,08;-0,89;0,53;;;;;;;;;;
;Nov;-0,3;-0,30;-0,17;-0,09;-0,08;0,08;-0,86;0,64;;;;;;;;;;
;Dec;-0,4;-0,41;-0,25;-0,13;-0,12;0,06;-0,85;0,63;;;;;;;;;;
;Jan;-0,6;-0,57;-0,26;-0,13;-0,13;0,09;-0,91;0,51;;;;;;;;;;
;Feb;-0,4;-0,44;-0,23;-0,12;-0,11;0,09;-0,89;0,59;;;;;;;;;;
;Mar;-0,5;-0,44;-0,23;-0,13;-0,10;0,09;-0,82;0,53;;;;;;;;;;
;Apr ;-0,5;-0,47;-0,24;-0,13;-0,11;0,08;-0,87;0,56;;;;;;;;;;
;May;-0,4;-0,41;-0,27;-0,12;-0,14;0,08;-0,91;0,69;;;;;;;;;;
;Jun;-0,4;-0,35;-0,23;-0,09;-0,14;0,08;-0,87;0,68;;;;;;;;;;
;Jul ;-0,3;-0,40;-0,22;-0,08;-0,14;0,10;-0,90;0,62;;;;;;;;;;
;Aug 2013;-0,6;-0,59;-0,24;-0,07;-0,17;0,10;-0,94;0,50;;;;;;;;;;
;Sep;-0,5;-0,47;-0,25;-0,07;-0,18;0,10;-0,93;0,60;;;;;;;;;;
;Oct ;-0,4;-0,36;-0,19;0,01;-0,20;0,06;-0,90;0,67;;;;;;;;;;
;Nov ;-0,5;-0,56;-0,29;-0,04;-0,25;0,06;-0,94;0,61;;;;;;;;;;
;Dec;-0,7;-0,65;-0,27;-0,02;-0,25;0,06;-0,96;0,52;;;;;;;;;;
;Jan;-0,9;-0,85;-0,29;-0,01;-0,28;0,08;-0,97;0,33;;;;;;;;;;
;Feb ;-1,0;-0,94;-0,34;-0,02;-0,32;0,08;-1,01;0,33;;;;;;;;;;
;Mar;-0,9;-0,85;-0,39; -;-0,39;0,08;-1,06;0,53;;;;;;;;;;
;Apr ;-0,7;-0,71;-0,39; -;-0,40;0,06;-1,01;0,63;;;;;;;;;;
;May;-0,9;-0,87;-0,44;0,02;-0,45;0,05;-1,01;0,53;;;;;;;;;;
;Jun ;-0,7;-0,77;-0,50;0,01;-0,51;0,05;-1,02;0,70;;;;;;;;;;
;Jul;-0,9;-0,93;-0,54; -;-0,54;0,04;-0,98;0,54;;;;;;;;;;
;Aug 2014;-0,9;-0,85;-0,58;0,01;-0,59;0,04;-0,99;0,68;;;;;;;;;;
;Sep;-1,1;-1,03;-0,63; -;-0,64;0,04;-1,00;0,57;;;;;;;;;;
;Oct ;-1,0;-1,04;-0,66; -;-0,66;0,03;-1,01;0,60;;;;;;;;;;
;Nov ;-1,0;-1,02;-0,64; -;-0,63;0,03;-1,03;0,61;;;;;;;;;;
;Dec ;-1,1;-1,07;-0,61; -;-0,61;0,03;-1,02;0,53;;;;;;;;;;
;Jan;-0,8;-0,84;-0,60;-0,01;-0,58;0,02;-1,04;0,78;;;;;;;;;;
;Feb ;-1,0;-0,94;-0,59;-0,01;-0,58;0,02;-1,02;0,65;;;;;;;;;;
;Mar ;-0,9;-0,92;-0,53;-0,01;-0,52;0,02;-0,99;0,57;;;;;;;;;;
;Apr ;-1,0;-1,03;-0,60;-0,01;-0,59;0,04;-1,00;0,53;;;;;;;;;;
;May;-0,9;-0,93;-0,55;-0,01;-0,54;0,04;-0,97;0,54;;;;;;;;;;
;Jun;-1,0;-1,05;-0,49; -;-0,48;0,04;-0,99;0,38;;;;;;;;;;
;Jul ;-0,9;-0,88;-0,44;0,02;-0,46;0,04;-1,03;0,56;;;;;;;;;;
;Aug 2015;-1,1;-1,08;-0,40;0,03;-0,42;0,04;-1,00;0,28;;;;;;;;;;
;Sep;-0,9;-0,91;-0,39;0,04;-0,42;0,04;-1,01;0,44;;;;;;;;;;
;Oct ;-0,8;-0,81;-0,4;0,04;-0,44;0,04;-1,04;0,59;;;;;;;;;;
;Nov;-1,0;-0,91;-0,46;0,03;-0,49;0,04;-1,00;0,51;;;;;;;;;;
;Dec;-1,0;-0,99;-0,49;0,05;-0,53;0,05;-1,01;0,46;;;;;;;;;;
;Jan;-1,0;-1,02;-0,52;0,05;-0,57;0,05;-0,94;0,39;;;;;;;;;;
;Feb;-1,0;-1,01;-0,53;0,05;-0,58;0,05;-0,94;0,41;;;;;;;;;;
;Mar ;-1,1;-1,06;-0,55;0,05;-0,60;0,05;-0,94;0,38;;;;;;;;;;
;Apr ;-1,0;-1,03;-0,65;0,05;-0,70;0,06;-0,93;0,49;;;;;;;;;;
;May;-1,1;-1,09;-0,67;0,05;-0,72;0,06;-0,97;0,50;;;;;;;;;;
;Jun ;-1,1;-1,14;-0,71;0,05;-0,77;0,06;-0,94;0,45;;;;;;;;;;
;Jul ;-1,3;-1,26;-0,76;0,05;-0,81;0,05;-0,96;0,40;;;;;;;;;;
;Aug 2016;-1,2;-1,11;-0,67;0,15;-0,82;0,05;-0,97;0,48;;;;;;;;;;
;Sep;-1,0;-1,08;-0,72;0,07;-0,79;0,06;-0,95;0,53;;;;;;;;;;
;Oct ;-1,1;-1,13;-0,62;0,14;-0,77;0,06;-0,89;0,33;;;;;;;;;;
;Nov ;-1,0;-1,05;-0,57;0,17;-0,73;0,06;-0,90;0,35;;;;;;;;;;
;Dec;-0,9;-0,95;-0,53;0,17;-0,70;0,06;-0,92;0,44;;;;;;;;;;
;Jan;-0,8;-0,79;-0,49;0,17;-0,67;0,05;-0,89;0,54;;;;;;;;;;
;Feb;-0,9;-0,93;-0,55;0,17;-0,73;0,05;-0,95;0,53;;;;;;;;;;
;Mar ;-0,8;-0,83;-0,51;0,17;-0,69;0,05;-0,91;0,54;;;;;;;;;;
;Apr ;-0,8;-0,82;-0,40;0,18;-0,57;0,04;-0,88;0,42;;;;;;;;;;
;May ;-0,8;-0,75;-0,46;0,16;-0,62;0,04;-0,91;0,57;;;;;;;;;;
;Jun ;-0,9;-0,85;-0,40;0,17;-0,57;0,04;-0,90;0,41;;;;;;;;;;
;Jul ;-1,0;-0,98;-0,37;0,17;-0,54;0,05;-0,88;0,22;;;;;;;;;;
;Aug 2017;-1,0;-1,06;-0,48;0,07;-0,55;0,05;-0,88;0,26;;;;;;;;;;
;Sep;-0,9;-0,85;-0,40;0,14;-0,54;0,05;-0,92;0,41;;;;;;;;;;
;Oct ;-1,0;-0,96;-0,51;0,07;-0,58;0,05;-0,87;0,37;;;;;;;;;;
;Nov;-0,8;-0,79;-0,49;0,03;-0,52;0,04;-0,86;0,52;;;;;;;;;;
;Dec ;-1,1;-1,14;-0,60;-0,08;-0,52;0,05;-0,86;0,27;;;;;;;;;;
