Consumer Price Inflation;;;;
Publication date: 19 September 2018;;;;
Next publication date: 17 October 2018;;;;
To access data tables select the table headings or tabs;;;;
"To return to the contents page click ""Back to contents"" link at the top of each page";;;;
;;;;
Reference sheet;Consumer Price Inflation - August 2018;Previously found in;;
Table 1;CPIH, CPI & RPI and: the latest three years;Table 2 Statistical Bulletin & Table 2 Reference Tables;;
Table 2;CPIH: Detailed figures by division;Table 21 Reference Tables;;
Table 3;CPIH: Detailed figures by divisions, groups and classes;Table 4 Statistical Bulletin & Table 4 Reference Tables;;
Table 4;CPI: Detailed figures by division, groups and classes;Table 3 Statistical Bulletin & Table 3 Reference Tables;;
Table 5;A breakdown of the differences between CPI and RPI;Table 5 Reference tables;;
Table 6a, 6b, 6c;CPIH: All items index, 12month % change and 1month % change;Table 22a, 22b, 22c Reference Tables;;
Table 7;CPIH: Detailed indices: the latest 13 months;Table 23 Reference Tables;;
Table 8;CPIH: Detailed changes: Latest 13 months 12 months % change;Table 24 Reference Tables;;
Table 9;CPIH: Detailed indices: annual average 2007-2017;Table 25 Reference Tables;;
Table 10;CPIH: Detailed annual average 12 month % change 2007-2017;Table 26 Reference Tables;;
Table 11;CPIH: Weights: 2006-2018;Table 27 Reference Tables;;
Table 12;CPIH: Contributions to changes in all items ;Table 28 Reference Tables;;
Table 13;CPIH: Detailed goods & services indices: the latest 13 months;Table 29 Reference Tables;;
Table 14;CPIH: Detailed goods & services: the latest 13 months 12 months % change;Table 30 Reference Tables;;
Table 15;CPIH: Detailed goods & services indices annual averages: 2007-2017;Table 31 Reference Tables;;
Table 16;CPIH: Detailed goods & services: annual averages 2007-2017 12 months % change;Table 32 Reference Tables;;
Table 17;CPIH: Detailed goods & services: Weights 2007-2018;Table 33 Reference Tables;;
Table 18a, 18b;CPIH: All items excluding indirect taxes (CPIHY) ;Table 34a, 34b Reference Table;;
Table 19;CPI: Detailed figures by division ;Table 1 Reference Tables;;
Table 20a, 20b, 20c;CPI: All items index, 12 month % change and 1 month % change;Table 6a, 6b , 6c Reference Tables;;
Table 21;CPI: Detailed indices: the latest 13 months;Table 7 Reference Tables;;
Table 22;CPI: Detailed changes: Latest 13 months 12 months % change;Table 8 Reference Tables;;
Table 23;CPI: Detailed indices: annual averages 2004-2017;Table 9 Reference Tables;;
Table 24;CPI: Detailed annual averages 12 month % change 2004-2017 ;Table 10 Reference Tables;;
Table 25;CPI: Weights 2006-2018;Table 11 Reference Tables;;
Table 26;CPI: Contributions to changes in all items;Table 12 Reference Tables;;
Table 27;CPI: Detailed goods & services indices: the latest 13 months;Table 13 Reference Tables;;
Table 28;CPI Detailed goods & Services: the latest 13 months 12 months % change;Table 14 Reference Tables;;
Table 29;CPI: Detailed goods & services annual average indices 2005-2017;Table 15 Reference Tables;;
Table 30;CPI: Detailed goods and services indices: annual averages 2005-2017 12 months % change;Table 16 Reference Tables;;
Table 31;CPI: Detailed goods & services: Weights 2004-2018;Table 17 Reference Tables;;
Table 32;Constant Taxes (CPI-CT);Table 18 Reference Tables;;
Table 33;Difference between CPI  and CPI-CT rates of change;Table 19 Reference Tables;;
Table 34a, 34b;CPI: All items excluding indirect taxes (CPIY) ;Table 20a, 20b Reference Tables;;
Table 35a, 35b, 35c;Formula effect: all items RPI, Index, 12 month % change and 1 month % change;New measure from Feb 2017;;
Table 36;RPI: All items index: 1947-2018;Table 36 Reference Tables;;
Table 37;RPI: All items: 12 months % change 1948-2018;Table 37 Reference Tables;;
Table 38;RPI: All items: 1 month % change 1947-2018;Table 38 Reference Tables;;
Table 39;RPI: Detailed figures by division latest month ;Table 39 Reference Tables;;
Table 40;RPI: Detailed indices: the latest 13 months;Table 40 Reference tables;;
Table 41;RPI: Detailed changes: the latest 13 months 12 months % change;Table 41 Reference Tables;;
Table 42;RPI: Detailed annual average indices: 2002-2017;Table 42 Reference Tables;;
Table 43;RPI: Detailed annual average 12 months % change: 2002-2017;Table 43 Reference Tables;;
Table 44;RPI: Weights: 2002-2018;Table 44 Reference Tables;;
Table 45;RPI: Contributions to change in all items ;Table 45 Reference Tables;;
Table 46a, 46b;RPI: Goods and services: Weights and indices: 1995-2018;Table 46a, 46b Reference Tables;;
Table 47;RPI: Goods and services: 12 months % change: 1995-2018;Table 47 Reference Tables;;
Table 48;RPI: Long run series: 1947-2018;Table 48 Reference Tables;;
Table 49;Composite Price Index: 1800-2017;Table 50 Reference Tables;;
Table 50;Composite Price Index: 12 month % change: 1800-2017;Table 51 Reference Tables;;
Table 51a, 51b;RPI: All items excl. mortgage interest payments (RPIX) indices: 1976-2018, 12 month % change;Table 53a, 53b Reference Tables;;
Table 52;HICP - International comparisons: EU countries: 2005-2018;Table 59 Reference Tables;;
Table 53;HICP - International comparisons: EU countries: 12 months % change: 2005-2018;Table 60 Reference Tables;;
Table 54;Average retail prices of selected items for the latest month;Table 61 Reference Tables;;
Table 55;Average retail prices of selected items: latest 13 months;Table 62 Reference Tables;;
Table 56;CPIH: Detailed indices to 3 dp: 2005-2018;Table 64 Reference Tables;;
Table 57;CPI: Detailed indices to 3 dp: 1996-2018;Table 63 Reference Tables;;
;;;;
;Contact Details:;;;
;Issued by: National Statistics, Government Buildings, Cardiff Road, Newport NP10 8XG;;;
;E-mail: cpi@ons.gsi.gov.uk;;;
;Website: www.ons.gov.uk;;;
;Consumer Price Inflation enquiries: + 44 (0) 1633 456900;;;
;Consumer Price Inflation recorded message: + 44 (0) 800 0113703;;;
