Back to Contents;;;;;;;;;;;;;
;;;;;;;;;;;;;
Table 10; CPIH Detailed annual changes: 2007 to 2017 ;;;;;;;;;;;;
;Percentage change over 12 months;;;;;;;;;;;;
; per cent;;;;;;;;;;;;
;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;L55O  ; CPIH (overall index);2,4;3,5;2,0;2,5;3,8;2,6;2,3;1,5;0,4;1,0;2,6
;L55P; 01    Food and non-alcoholic beverages;4,5;9,2;5,5;3,4;5,5;3,2;3,7;-0,2;-2,6;-2,4;2,3
;L55Q  ; 02    Alcoholic beverages and tobacco;3,5;4,0;4,4;5,6;8,7;6,0;6,3;4,5;2,1;1,5;4,4
;L55R  ; 03    Clothing and footwear;-3,7;-6,6;-7,8;-1,0;2,3;0,8;0,9;0,5;0,3;0,2;2,5
;L55S  ; 04    Housing, water, electricity, gas and other fuels (Incl OOH);3,4;4,7;2,1;-0,4;2,7;2,7;2,3;2,0;1,3;1,6;2,1
;L55T  ; 05    Furniture, household equipment and maintenance;1,7;2,2;3,3;3,1;4,8;2,9;0,6;0,8;0,1;-0,1;2,6
;L55U  ; 06    Health;3,4;3,1;2,7;3,0;3,3;3,0;2,4;2,7;1,9;2,2;2,5
;L55V  ; 07    Transport;2,8;5,8;1,0;8,4;7,9;2,4;0,9;0,3;-2,1;0,5;4,3
;L55W  ; 08    Communication;-3,2;-2,5;1,1;4,9;3,9;4,2;3,0;1,2;1,4;2,7;1,8
;L55X  ; 09    Recreation and culture;-0,9;-0,6;1,4;1,8; -;0,1;1,1;0,9;-0,5;0,5;2,0
;L55Y  ; 10    Education;13,7;11,7;7,6;5,3;5,2;8,7;17,2;10,2;8,5;4,7;3,8
;L55Z  ; 11    Restaurants and hotels;3,5;3,8;2,4;2,9;4,5;3,1;2,7;2,4;1,9;2,4;3,1
;L562  ; 12    Miscellaneous goods and services ;2,1;2,4;2,1;2,4;2,5;2,2;1,0; -;0,3;1,1;1,4
;;;;;;;;;;;;;
;L563  ; All goods;1,4;3,4;1,3;3,0;4,6;2,3;2,0;0,6;-2,0;-1,1;2,7
;L564; All services;3,2;3,6;2,5;2,1;3,3;2,8;2,6;2,1;2,2;2,5;2,5
;;;;;;;;;;;;;
;L565  ; 01.1 Food;4,5;10,1;5,6;3,1;5,1;3,1;4,1;-0,2;-2,8;-2,4;2,5
;L566  ; 01.1.1 Bread and cereals;4,3;11,6;4,7;2,1;6,4;2,2;3,9;-0,6;-2,8;-1,6;2,6
;L567  ; 01.1.2 Meat;2,0;10,5;6,6;0,9;5,4;3,7;3,9;0,6;-3,1;-4,1;1,8
;L568  ; 01.1.3 Fish;8,4;5,0;3,7;6,6;9,2;3,6;3,3;2,6;-3,5;-2,3;8,9
;L569  ; 01.1.4 Milk, cheese and eggs;6,9;15,1;4,2;0,2;2,6;0,9;1,0;0,5;-4,4;-3,4;2,0
;L56A  ; 01.1.5 Oils and fats;6,5;17,2;0,1;6,7;11,8;2,4;2,8;-0,6;-4,6;-0,6;6,2
;L56B  ; 01.1.6 Fruit;1,4;6,7;4,7;7,9;3,7;1,7;8,6;0,3;-0,2;1,1;2,6
;L56C  ; 01.1.7 Vegetables including potatoes and tubers;8,9;8,6;6,3;2,9;3,4;3,3;6,2;-4,7;-4,0;-4,1;2,1
;L56D  ; 01.1.8 Sugar, jam, syrups, chocolate and confectionery;3,5;7,2;7,1;5,6;7,5;5,0;3,0;1,8;-0,2;-1,6;1,5
;L56E  ; 01.1.9 Food products (nec);1,4;5,6;8,0;0,7;3,2;5,0;2,8;0,6;-3,8;-0,6;1,8
;;;;;;;;;;;;;
;L56F  ; 01.2 Non-alcoholic beverages;4,1;2,5;4,3;6,1;8,7;4,1;1,6;0,3;-1,3;-2,0;0,4
;L56G  ; 01.2.1 Coffee, tea and cocoa;3,7;5,4;9,7;6,1;9,4;3,2;0,9;-1,4;-2,0; -;5,3
;L56H  ; 01.2.2 Mineral waters, soft drinks and juices;4,1;1,8;2,8;6,2;8,5;4,3;1,6;0,6;-1,1;-2,5;-1,7
;;;;;;;;;;;;;
;L56I  ; 02.1 Alcoholic beverages;1,1;3,2;4,5;3,2;5,8;2,8;3,5;0,3;-2,5;-3,2;2,4
;L56J  ; 02.1.1 Spirits;1,3;5,4;3,4;4,9;5,9;4,7;5,9;-0,9;-1,3;-3,2;1,9
;L56K  ; 02.1.2 Wine;1,0;3,2;5,5;3,4;5,9;1,5;3,3;1,8;-2,3;-4,0;1,4
;L56L  ; 02.1.3 Beer;0,4;0,4;3,8;0,6;5,5;3,1;0,7;-0,8;-4,0;-1,9;4,7
;;;;;;;;;;;;;
;L56M  ; 02.2 Tobacco;5,3;4,4;4,0;7,7;11,0;8,5;7,7;7,6;5,6;4,9;5,9
;;;;;;;;;;;;;
;L56N  ; 03.1 Clothing;-4,0;-7,0;-8,5;-1,1;3,2;1,0;1,2;0,5;0,5;0,2;2,9
;L56O  ; 03.1.2 Garments;-4,4;-7,5;-9,2;-1,3;3,3;0,9;1,2;0,6;0,4;0,3;3,0
;L56P  ; 03.1.3 Other clothing and clothing accessories;-0,6;-1,7;-1,1;0,7;1,2;1,3;0,7;-1,2;1,3;-0,5;0,8
;L56Q  ; 03.1.4 Cleaning, repair and hire of clothing;3,6;3,3;2,8;2,1;4,3;1,9;1,7;2,5;2,3;2,4;2,2
;;;;;;;;;;;;;
;L56R  ; 03.2 Footwear including repairs;-1,5;-3,6;-3,6;-0,7;-3,1;-0,2;-1,0;0,2;-0,6;-0,3;0,1
;;;;;;;;;;;;;
;L56S  ; 04.1 Actual rentals for housing;3,2;3,3;1,8;1,4;2,5;3,3;2,5;2,3;2,9;1,8;1,0
;;;;;;;;;;;;;
;L5P7; 04.2 Owner occupiers housing costs;2,5;2,7;0,9;-1,0;1,5;1,7;1,4;1,5;1,9;2,3;2,0
;;;;;;;;;;;;;
;L56T  ; 04.3 Regular maintenance and repair of the dwelling;4,3;5,2;4,2;4,9;5,4;2,5;-0,8;-0,1;-0,4;0,1;-0,6
;L56U  ; 04.3.1 Materials for maintenance and repair;4,0;5,7;7,2;8,0;8,0;4,3;-1,1;-0,4;-1,3;-0,5;-1,9
;L56V  ; 04.3.2 Services for maintenance and repair;4,6;4,4;0,7;1,2;1,7;-0,1;-0,2;0,2;0,4;0,7;0,8
;;;;;;;;;;;;;
;L56W  ; 04.4 Water supply and misc. services for the dwelling;6,3;6,5;5,1;1,0;3,4;5,5;4,7;2,9;0,2;0,9;1,7
;L56X  ; 04.4.1 Water supply;6,1;5,8;4,8;2,6;4,0;5,1;3,6;2,0;-0,9;0,2;1,2
;L56Y; 04.4.3 Sewerage collection;6,5;7,2;5,5;-0,3;2,8;6,0;6,0;3,8;1,0;1,5;2,0
;;;;;;;;;;;;;
;L56Z  ; 04.5 Electricity, gas and other fuels;7,7;18,7;6,5;-3,3;9,4;7,9;7,1;4,2;-3,5;-2,9;3,9
;L572  ; 04.5.1 Electricity;8,0;15,6;4,6;-2,5;7,3;5,7;7,4;5,5;-0,3;-0,2;6,7
;L573  ; 04.5.2 Gas;7,6;19,4;13,4;-5,5;10,9;10,4;7,7;4,8;-4,5;-5,9;-1,1
;L574  ; 04.5.3 Liquid fuels;-0,4;49,3;-29,6;29,9;26,6;3,0;0,3;-11,3;-29,5;-10,8;24,0
;L575  ; 04.5.4 Solid fuels;7,2;19,0;17,7; -;4,9;3,5;1,5;2,8;0,2;-0,2;2,2
;;;;;;;;;;;;;
;DHYU;04.9 Council tax and rates;4,2;3,7;3,0;2,0;0,6;0,4;0,8;0,9;1,1;2,4;3,5
;;;;;;;;;;;;;
;L576  ; 05.1 Furniture, furnishings and carpets;2,1;3,4;2,7;3,0;3,4;3,0;0,6;0,7;-0,3;0,3;3,5
;L577  ; 05.1.1 Furniture and furnishings;2,4;2,8;2,6;2,7;3,0;2,4;0,5;0,4;0,2;-0,2;3,6
;L578  ; 05.1.2 Carpets and other floor coverings;0,1;5,1;2,5;3,5;4,7;5,1;1,3;0,9;-2,1;2,7;3,1
;;;;;;;;;;;;;
;L579  ; 05.2 Household textiles;-2,7;-2,1;0,2;1,2;5,6;1,8;0,4;-1,3;-0,2;-1,9;1,3
;;;;;;;;;;;;;
;L57A  ; 05.3 Household appliances, fitting and repairs ;0,7;0,5;5,6;4,0;2,3;0,5; -;-0,8;-0,5;1,1;3,4
;L57B  ; 05.3.1/2 Major appliances and small electric goods;0,5;-0,2;6,1;4,2;2,3;0,5;0,6;-0,7;-0,5;1,1;3,8
;L57C  ; 05.3.3 Repair of household appliances;1,7;5,1;1,4;2,7;2,3; -;-3,4;-1,9;-0,5;1,8;1,0
;;;;;;;;;;;;;
