Back to Contents;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Table 11; CPIH Weights: 2006 to 2018 1;;;;;;;;;;;;;;;;
; parts per 1000;;;;;;;;;;;;;;;;
;2015=100;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;"2017 
Jan";"2017 
Feb-Dec";"2018 
Jan";"2018 
Feb-Dec"
;L5CY  ; CPIH (overall index);1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
;L5CZ  ; 01    Food and non-alcoholic beverages;80;84;87;95;87;93;89;87;90;88;83;81;81;82;83
;L5D2  ; 02    Alcoholic beverages and tobacco;35;34;33;34;33;35;33;35;36;34;34;33;34;33;34
;L5D3; 03    Clothing and footwear;51;49;50;45;45;51;53;56;57;57;58;60;58;59;57
;L5D4  ; 04    Housing, water, electricity, gas and other fuels;298;299;296;303;300;302;311;304;299;299;294;293;294;300;301
;L5D5  ; 05    Furniture, household equipment and maintenance;57;53;53;53;52;48;48;47;48;46;49;51;49;50;48
;L5D6  ; 06    Health;20;19;19;17;17;19;19;20;19;20;22;21;21;21;21
;L5D7  ; 07    Transport;121;119;121;119;129;126;130;118;124;121;122;127;126;124;124
;L5D8  ; 08    Communication;20;19;18;18;20;20;22;24;25;25;25;21;21;20;20
;L5D9  ; 09    Recreation and culture;117;122;122;116;120;117;109;114;116;118;119;119;121;120;120
;L5DA  ; 10    Education;13;14;15;17;15;15;15;17;18;21;20;17;17;18;18
;L5DB  ; 11    Restaurants and hotels;105;109;108;103;102;97;93;94;96;98;98;101;101;97;97
;L5DC  ; 12    Miscellaneous goods and services ;83;79;78;80;80;77;78;84;72;73;76;76;77;76;77
;;;;;;;;;;;;;;;;;
;L5DD  ; All goods;436;435;436;438;440;448;443;434;437;428;416;419;419;418;418
;L5DE  ; All services;564;565;564;562;560;552;557;566;563;572;584;581;581;582;582
;;;;;;;;;;;;;;;;;
;L5DG  ; 01.1 Food;71;74;77;84;77;82;78;77;80;78;74;71;71;72;73
;L5DH  ; 01.1.1 Bread and cereals;12;12;13;13;13;13;13;13;14;13;12;12;12;12;12
;J48X  ;01.1.1.1 Rice; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,39;0,36;0,36;0,36;0,36;0,36
;J48Z  ;01.1.1.2 Flours and other cereals; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,26;0,24;0,24;0,24;0,24;0,24
;J493  ;01.1.1.3 Bread; ..; ..; ..; ..; ..; ..; ..; ..; ..;2,86;2,64;2,64;2,64;2,64;2,64
;J495  ;01.1.1.4 Other bakery products; ..; ..; ..; ..; ..; ..; ..; ..; ..;5,07;4,68;4,68;4,68;4,68;4,68
;J497  ;01.1.1.5 Pizza and quiche; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,78;0,72;0,72;0,72;0,72;0,72
;J499  ;01.1.1.6 Pasta products and couscous; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,65;0,60;0,60;0,60;0,60;0,60
;J49B  ;01.1.1.7/8 Breakfast cereals and other cereal products; ..; ..; ..; ..; ..; ..; ..; ..; ..;2,99;2,76;2,76;2,76;2,76;2,76
;L5DI  ; 01.1.2 Meat;17;17;17;19;18;18;18;17;18;17;17;16;16;16;16
;J49F  ;01.1.2.1 Beef and veal; ..; ..; ..; ..; ..; ..; ..; ..; ..;2,21;2,21;2,08;2,08;2,08;2,08
;J49H  ;01.1.2.2 Pork; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,02;1,02;0,96;0,96;0,96;0,96
;J49J  ;01.1.2.3 Lamb and goat; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,19;1,19;1,12;1,12;1,12;1,12
;J49L  ;01.1.2.4 Poultry; ..; ..; ..; ..; ..; ..; ..; ..; ..;2,72;2,72;2,56;2,56;2,56;2,56
;J49N  ;01.1.2.6 Edible offal; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,17;0,17;0,16;0,16;0,16;0,16
;J49P  ;01.1.2.7 Dried, salted or smoked meat; ..; ..; ..; ..; ..; ..; ..; ..; ..;6,97;6,97;6,56;6,56;6,56;6,56
;J49R  ;01.1.2.8 Other meat preparations; ..; ..; ..; ..; ..; ..; ..; ..; ..;2,72;2,72;2,56;2,56;2,56;2,56
;L5DJ  ; 01.1.3 Fish;3;4;4;4;3;3;4;3;3;3;3;3;3;3;3
;J49T  ;01.1.3.1 Fresh or chilled fish; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,32;1,02;1,02;1,02;0,72;0,72
;J49V  ;01.1.3.4 Frozen seafood; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,39;0,54;0,54;0,54;0,72;0,72
;J49X  ;01.1.3.6 Other preserved or processed fish and seafood based preps; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,29;1,44;1,44;1,44;1,56;1,56
;L5DK  ; 01.1.4 Milk, cheese and eggs;10;10;11;12;11;12;11;11;11;11;10;9;9;9;9
;J4AU  ;01.1.4.1 Milk, whole, ; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,66;0,60;0,54;0,54;0,54;0,54
;J4B9  ;01.1.4.2 Milk, low fat; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,19;2,60;2,34;2,34;1,89;1,89
;J4E8  ;01.1.4.4 Yoghurt; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,65;1,50;1,35;1,35;1,53;1,53
