Back to Contents;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Table 24; CPI Detailed annual changes: 2004 to 2017;;;;;;;;;;;;;;;
;Percentage change over 12 months;;;;;;;;;;;;;;;
; per cent;;;;;;;;;;;;;;;
;;;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;D7G7; CPI (overall index);1,3;2,1;2,3;2,3;3,6;2,2;3,3;4,5;2,8;2,6;1,5; -;0,7;2,7
;D7G8; 01    Food and non-alcoholic beverages;0,7;1,5;2,5;4,5;9,1;5,4;3,4;5,5;3,2;3,8;-0,2;-2,6;-2,4;2,2
;D7G9; 02    Alcoholic beverages and tobacco;2,0;2,2;2,7;3,5;3,9;4,4;5,5;8,7;6,0;6,2;4,5;2,1;1,4;4,4
;D7GA; 03    Clothing and footwear;-4,8;-5,1;-4,0;-3,7;-6,6;-7,7;-1,0;2,3;0,8;0,9;0,5;0,3;0,2;2,5
;D7GB; 04    Housing, water, electricity, gas and other fuels;3,7;6,3;9,2;5,0;8,6;4,3;0,4;5,5;5,0;4,1;3,0;0,5;0,2;1,8
;D7GC; 05    Furniture, household equipment and maintenance;-0,1;-0,3;-0,4;1,8;2,1;3,2;3,1;4,7;2,9;0,7;0,8; -;-0,1;2,6
;D7GD; 06    Health;1,8;2,9;2,8;3,4;3,1;2,7;2,9;3,4;2,9;2,5;2,8;1,9;2,1;2,6
;D7GE; 07    Transport;3,3;4,1;2,8;3,0;5,6;0,8;8,3;7,8;2,3;1,0;0,3;-2,1;0,5;4,6
;D7GF; 08    Communication;-0,7;-2,3;0,2;-3,3;-2,6;1,0;4,9;4,0;4,0;3,0;1,3;1,4;2,7;1,8
;D7GG; 09    Recreation and culture;-1,5;-1,2;-1,2;-1,0;-0,6;1,3;1,9;0,1;0,2;1,1;0,9;-0,6;0,4;1,9
;D7GH; 10    Education;4,8;4,9;7,3;13,7;11,7;7,6;5,3;5,2;8,7;17,2;10,2;8,5;4,7;3,8
;D7GI; 11    Restaurants and hotels;2,9;3,3;3,2;3,5;3,8;2,4;2,9;4,5;3,1;2,7;2,4;1,9;2,4;3,2
;D7GJ; 12    Miscellaneous goods and services ;3,6;4,3;3,8;2,1;2,5;2,2;2,4;2,5;2,3;1,0;-;0,3;1,1;1,4
;;;;;;;;;;;;;;;;
;D7NM; All goods;-0,4;0,3;1,3;1,3;3,3;1,3;3,1;4,6;2,3;2,0;0,6;-2,0;-1,0;2,7
;D7NN; All services;3,3;4,1;3,5;3,5;4,0;3,2;3,6;4,3;3,5;3,2;2,5;2,4;2,6;2,7
;;;;;;;;;;;;;;;;
;D7GK; 01.1 Food;0,9;1,7;2,3;4,6;10,1;5,6;3,0;5,0;3,1;4,1;-0,2;-2,8;-2,4;2,5
;D7HH; 01.1.1 Bread and cereals;1,8;1,3;1,9;4,3;11,6;4,7;2,1;6,4;2,2;3,9;-0,6;-2,8;-1,6;2,6
;D7HI; 01.1.2 Meat;1,7;0,7;1,9;2,0;10,5;6,6;0,9;5,4;3,7;3,9;0,6;-3,1;-4,1;1,8
;D7HJ; 01.1.3 Fish;-1,7;1,6;7,9;8,4;5,0;3,7;6,6;9,2;3,6;3,3;2,6;-3,5;-2,3;8,9
;D7HK; 01.1.4 Milk, cheese and eggs;2,2;2,7;1,4;6,9;15,1;4,2;0,2;2,6;0,9;1,0;0,5;-4,4;-3,4;2,0
;D7HL; 01.1.5 Oils and fats;2,0;-2,2;5,1;6,5;17,2;0,1;6,7;11,8;2,4;2,8;-0,6;-4,6;-0,6;6,2
;D7HM; 01.1.6 Fruit;-2,8;1,2;0,8;1,4;6,7;4,7;7,9;3,7;1,7;8,6;0,3;-0,2;1,1;2,6
;D7HN; 01.1.7 Vegetables including potatoes and tubers;-0,8;3,0;2,2;8,9;8,6;6,3;2,9;3,4;3,3;6,2;-4,7;-4,0;-4,1;2,1
;D7HO; 01.1.8 Sugar, jam, syrups, chocolate and confectionery;2,5;2,8;3,7;3,5;7,2;7,1;5,6;7,5;5,0;3,0;1,8;-0,2;-1,6;1,5
;D7HP; 01.1.9 Food products (nec);-0,8;-0,5;-0,8;1,4;5,6;8,0;0,7;3,2;5,0;2,8;0,6;-3,8;-0,6;1,8
;;;;;;;;;;;;;;;;
;D7GL; 01.2 Non-alcoholic beverages;-1,2;-;3,9;4,1;2,5;4,4;6,2;8,7;4,0;1,5;0,2;-1,3;-1,9;0,1
;D7HQ; 01.2.1 Coffee, tea and cocoa;-3,1;0,1;5,0;3,7;5,4;9,7;6,1;9,4;3,2;0,9;-1,4;-2,0; -;5,3
;D7HR; 01.2.2 Mineral waters, soft drinks and juices;-0,5;-;3,5;4,1;1,8;2,8;6,2;8,5;4,3;1,6;0,6;-1,1;-2,5;-1,7
;;;;;;;;;;;;;;;;
;D7GM; 02.1 Alcoholic beverages;-0,4;-0,8;0,4;1,0;3,2;4,5;3,2;5,8;2,8;3,5;0,3;-2,5;-3,2;2,4
;D7HS; 02.1.1 Spirits;-0,4;-0,8;-0,5;1,3;5,4;3,4;4,9;5,9;4,7;5,9;-0,9;-1,3;-3,2;1,9
;D7HT; 02.1.2 Wine;1,0;0,8;1,2;1,0;3,2;5,5;3,4;5,9;1,5;3,3;1,8;-2,3;-4,0;1,4
;D7HU; 02.1.3 Beer;-3,0;-3,7;-0,6;0,4;0,4;3,8;0,6;5,5;3,1;0,7;-0,8;-4,0;-1,9;4,7
;;;;;;;;;;;;;;;;
;D7GN; 02.2 Tobacco;3,6;4,4;4,5;5,3;4,4;4,0;7,7;11,0;8,5;7,7;7,6;5,6;4,9;5,9
;;;;;;;;;;;;;;;;
;D7GO; 03.1 Clothing;-5,2;-5,2;-4,0;-4,0;-7,0;-8,5;-1,1;3,2;1,0;1,2;0,5;0,5;0,2;2,9
;D7HW; 03.1.2 Garments;-5,5;-5,7;-4,4;-4,4;-7,5;-9,2;-1,3;3,3;0,9;1,2;0,6;0,4;0,3;3,0
;D7HX; 03.1.3 Other clothing and clothing accessories;-2,2;-0,1;-;-0,6;-1,7;-1,1;0,7;1,2;1,3;0,7;-1,2;1,3;-0,5;0,8
;D7HY; 03.1.4 Cleaning, repair and hire of clothing;3,5;4,8;4,2;3,6;3,3;2,8;2,1;4,3;1,9;1,7;2,5;2,3;2,4;2,2
;;;;;;;;;;;;;;;;
;D7GP; 03.2 Footwear including repairs;-2,1;-4,6;-4,2;-1,5;-3,6;-3,6;-0,7;-3,1;-0,2;-1,0;0,2;-0,6;-0,3;0,1
;;;;;;;;;;;;;;;;
;D7GQ; 04.1 Actual rentals for housing;2,2;3,5;3,1;3,2;3,3;1,8;1,4;2,5;3,3;2,5;2,3;2,9;1,8;1,0
;;;;;;;;;;;;;;;;
;D7GR; 04.3 Regular maintenance and repair of the dwelling;2,3;2,0;1,8;4,3;5,2;4,3;5,1;5,5;2,5;-0,7;-0,1;-0,4;0,1;-0,6
;D7HZ; 04.3.1 Materials for maintenance and repair;-;-;-0,1;4,0;5,7;7,2;8,0;8,0;4,3;-1,1;-0,4;-1,3;-0,5;-1,9
;D7I2; 04.3.2 Services for maintenance and repair;5,7;5,0;4,5;4,6;4,4;0,7;1,2;1,7;-0,1;-0,2;0,2;0,4;0,7;0,8
;;;;;;;;;;;;;;;;
;D7GS; 04.4 Water supply and misc. services for the dwelling;5,3;10,0;6,8;6,3;6,5;5,2;1,1;3,4;5,5;4,7;2,9;0,1;0,8;1,7
;D7I5; 04.4.1 Water supply;5,2;11,6;7,5;6,1;5,8;4,8;2,6;4,0;5,1;3,6;2,0;-0,9;0,2;1,2
;D7I4; 04.4.3 Sewerage collection;5,4;8,3;6,2;6,5;7,2;5,5;-0,3;2,8;6,0;6,0;3,8;1,0;1,5;2,0
;;;;;;;;;;;;;;;;
;D7GT; 04.5 Electricity, gas and other fuels;6,9;13,1;24,8;7,2;18,5;7,0;-2,8;9,9;8,0;7,2;4,4;-3,3;-3,0;3,8
;D7I7; 04.5.1 Electricity;6,0;10,6;21,7;8,0;15,6;4,6;-2,5;7,3;5,7;7,4;5,5;-0,3;-0,2;6,7
;D7I8; 04.5.2 Gas;7,1;14,3;31,3;7,6;19,4;13,4;-5,5;10,9;10,4;7,7;4,8;-4,5;-5,9;-1,1
;D7I9; 04.5.3 Liquid fuels;18,0;35,8;13,6;-0,4;49,3;-29,6;29,9;26,6;3,0;0,3;-11,3;-29,5;-10,8;24,0
;D7IA; 04.5.4 Solid fuels;5,2;10,2;7,6;7,2;19,0;17,7;-;4,9;3,5;1,5;2,8;0,2;-0,2;2,2
;;;;;;;;;;;;;;;;
;D7GU; 05.1 Furniture, furnishings and carpets;0,7;1,1;0,6;2,0;3,4;2,7;2,9;3,4;3,0;0,6;0,7;-0,4;0,4;3,5
