Back to Contents;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Table 31; CPI: Detailed goods and services breakdown: Weights 2004 to 2018 1,2;;;;;;;;;;;;;;;;;;
;;;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;"2017
Jan";"2017
Feb-Dec";"2018
Jan";"2018
Feb-Dec"
;CHZQ; CPI (overall index);1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
;;;;;;;;;;;;;;;;;;;
;ICVH; All goods;533;536;554;547;547;554;549;561;555;534;540;532;517;524;525;519;519
;A9EW; Food, alcoholic beverages & tobacco;152;152;146;146;151;162;148;160;154;150;157;153;145;143;146;142;143
;A9EX; Processed food & non-alcoholic beverages;57;57;55;55;59;64;58;64;62;58;61;60;56;56;57;55;55
;A9EY; Non-processed food;49;49;47;48;50;54;50;54;50;48;51;50;47;46;46;46;46
;A9EZ; Seasonal food;27;26;26;27;29;31;28;32;28;27;29;28;26;26;26;26;26
;CJWC; Meat;22;23;21;21;21;23;22;22;22;21;22;22;21;20;20;20;20
;CHZS; Alcoholic beverages & tobacco;46;46;44;43;42;44;40;42;42;44;45;43;42;41;43;41;42
;;;;;;;;;;;;;;;;;;;
;A9F2; Industrial goods;381;384;408;401;396;392;401;401;401;384;383;379;372;381;379;377;376
;A9F3; *Energy;52;55;67;75;73;80;88;87;102;88;80;76;67;65;67;64;65
;A9F4; Electricity, gas & miscellaneous energy;25;27;30;38;33;44;45;42;53;46;43;41;34;32;33;33;33
;A9FS; Liquid fuels, vehicle fuels & lubricants;27;28;37;37;40;36;43;45;49;42;37;35;33;33;34;31;32
;A9ER; Non-energy industrial goods;329;329;341;326;323;312;313;314;299;296;303;303;305;316;312;313;311
;A9F6; Clothing & footwear goods;61;62;64;61;62;56;55;61;64;67;71;69;70;74;71;71;69
;A9F7; Housing goods;85;76;82;76;76;75;74;72;64;65;58;57;57;60;58;60;58
;A9F8; Household goods;69;59;66;61;61;60;59;56;51;50;51;50;50;54;52;54;52
;A9F9;" Water supply; materials for maintenance & repair";16;17;16;15;15;15;15;16;13;15;7;7;7;6;6;6;6
;A9FA; Medical products, appliances & equipment;10;12;11;10;10;10;10;11;10;10;10;12;13;12;12;10;10
;A9FB; Vehicles, spare parts & accessories;60;59;58;55;53;52;54;50;48;43;49;46;48;52;53;52;54
;A9FC; Recreational goods;85;88;91;91;90;85;88;89;80;77;80;82;78;81;80;82;82
;A9FD; Audio-visual goods;25;24;26;28;26;22;22;26;22;22;21;22;17;17;17;17;17
;A9FE; Other recreational goods;60;64;65;63;64;63;66;63;58;55;59;60;61;64;63;65;65
;A9FF; Miscellaneous goods;28;32;35;33;32;34;32;31;33;34;35;37;39;37;38;38;38
;;;;;;;;;;;;;;;;;;;
;ICVI; All services;467;464;446;453;453;446;451;439;445;466;460;468;483;476;475;481;481
;A9FG; Housing services;68;67;69;70;73;73;74;76;88;85;88;90;89;90;89;104;105
;CJVC; Actual rentals for housing;48;47;47;49;51;51;54;57;64;62;70;72;72;70;71;85;86
;A9FH; Primary housing services;14;14;15;14;16;16;15;14;14;14;9;9;8;11;9;10;10
;A9FI; Other housing services;6;6;7;7;6;6;5;5;10;9;9;9;9;9;9;9;9
;;;;;;;;;;;;;;;;;;;
;A9FJ; Travel & transport services;68;67;67;65;65;68;73;70;71;69;71;74;77;80;78;77;75
;A9FK; Services for personal transport equipment;34;30;30;30;29;30;33;32;38;36;36;37;36;39;39;37;37
;CJVO; Transport services;31;32;32;31;32;35;36;34;30;29;32;32;37;37;35;36;34
;CJYQ; Transport insurance;3;5;5;4;4;3;4;4;3;4;3;5;4;4;4;4;4
;;;;;;;;;;;;;;;;;;;
;CHZY; Communication;26;25;25;24;23;23;25;26;27;31;32;31;32;25;25;24;24
;;;;;;;;;;;;;;;;;;;
;A9FL; Recreational & personal services;210;211;199;209;208;197;196;186;177;189;192;194;202;202;203;196;197
;A9FM; Package holidays & accommodation;49;47;45;48;48;44;47;44;41;53;52;54;58;64;65;65;66
;A9FN; Other recreational & personal services;161;164;154;161;160;153;149;142;136;136;140;140;144;138;138;131;131
;CJVU; Catering services;119;121;116;119;118;111;109;103;97;98;100;100;101;95;96;94;94
