Back to Contents;;;;;;;;;;;;
THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;
Table 45;Contributions 1 to changes in All Items RPI 4;;;;;;;;;;;
;;;;;;;;;;;;
;percentage points;;;;;;;;;;;
;; Contribution to;;;;;;;;;;
;;;;;;;;;;;;
;; Monthly change in; All items; All items; Change in latest;;;;;;;
;; all items index between; percentage change; percentage change; 12-month rate between;;;;;;;
;;Jul 2018; over 12 months; over 12 months;Jul 2018 and;;;;;;;
;; and Aug 2018; to Jul 2018; to Aug 2018;Aug 2018 2;;;;;;;
;;;;;;;;;;;;
 ; ALL ITEMS;0,9;3,2;3,5;0,3;;;;;;;
 ; of which:;;;;;;;;;;;
 ; Food; -;0,23;0,24;0,01;;;;;;;
 ; Catering;0,02;0,13;0,14;0,01;;;;;;;
 ; Alcoholic drink;0,03;0,09;0,11;0,02;;;;;;;
 ; Tobacco;-0,01;0,17;0,17; -;;;;;;;
 ; Housing;0,17;0,67;0,75;0,08;;;;;;;
 ; Fuel and light; -;0,26;0,25;-0,01;;;;;;;
 ; Household goods;0,14;0,10;0,10; -;;;;;;;
 ; Household services;0,03;0,13;0,11;-0,02;;;;;;;
 ; Clothing and footwear;0,14;0,24;0,27;0,03;;;;;;;
 ; Personal goods and services;0,03;0,05;0,07;0,02;;;;;;;
 ; Motoring expenditure;0,05;0,65;0,62;-0,03;;;;;;;
 ; Fares and other travel costs;0,20;0,09;0,12;0,03;;;;;;;
 ; Leisure goods;-0,02;0,06;0,06; -;;;;;;;
 ; Leisure services;0,10;0,39;0,44;0,05;;;;;;;
 ; Rounding effects 3;0,02;-0,06;0,05;0,11;;;;;;;
;;;;;;;;;;;;
; Key:     -  zero or negligible;;;;;;;;;;;
; ;;;;;;;;;;;
1; The contribution of a component to a change in the index is defined as the;;;;;;;;;;;
; movement in the index that would have occurred if all the other component;;;;;;;;;;;
; indices had remained unchanged.;;;;;;;;;;;
; ;;;;;;;;;;;
2; Column 4 = column 3  less  column 2.;;;;;;;;;;;
; ;;;;;;;;;;;
3; The individual contributions of components to movements in the RPI shown;;;;;;;;;;;
; in this table are derived with maximum precision at every stage of the;;;;;;;;;;;
; calculation and, in order to provide meaningful analysis, are given to two;;;;;;;;;;;
; decimal places. However, each month, the RPI is given as a unique official;;;;;;;;;;;
; figure which, while also subject to maximum precision, is rounded to the;;;;;;;;;;;
; nearest single decimal place. Percentage changes in the RPI are derived;;;;;;;;;;;
; from the official rounded index and they, in turn, are also published to;;;;;;;;;;;
; just one decimal place. Inevitably, there will be differences between the;;;;;;;;;;;
; rounded percentage changes derived from the official index and the sum of;;;;;;;;;;;
; the individual contributions.;;;;;;;;;;;
;;;;;;;;;;;;
4;The Retail Prices Index and its derivatives do not meet the required standards ;;;;;;;;;;;
;for designation as National Statistics. A full report can be found at: ;;;;;;;;;;;
;http://www.statisticsauthority.gov.uk/;;;;;;;;;;;
;Source: ;;;;;;;;;;;
;Office for National Statistics;;;;;;;;;;;
;Prices Division;;;;;;;;;;;
;Newport;;;;;;;;;;;
;South Wales;;;;;;;;;;;
;NP10 8XG;;;;;;;;;;;
;;;;;;;;;;;;
;http://www.ons.gov.uk;;;;;;;;;;;
