Back to Contents;;;;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;;;;
Table 50 ; Composite Price Index annual change: 1800 to 2017 1,2 ;;;;;;;;;;;;;;;;
Percentage change over 12 months;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;; Per cent;;; Per cent;;; Per cent;;; Per cent;;; Per cent;;; Per cent
;; CDSI;;; CDSI;;; CDSI;;; CDSI;;; CDSI;;; CDSI
;1800;36,5;;1843;-11,3;;1886;-1,6;;1929;-0,9;;1972;7,1;;2015;1,0
;1801;11,7;;1844;-0,1;;1887;-0,5;;1930;-2,8;;1973;9,2;;2016;1,7
;1802;-23,0;;1845;4,9;;1888;0,7;;1931;-4,3;;1974;16,0;;2017;3,6
;1803;-5,9;;1846;4,0;;1889;1,4;;1932;-2,6;;1975;24,2;;;
;1804;3,2;;1847;12,0;;1890;0,2;;1933;-2,1;;1976;16,5;;;
;1805;16,2;;1848;-12,1;;1891;0,7;;1934; -;;1977;15,8;;;
;1806;-4,4;;1849;-6,3;;1892;0,4;;1935;0,7;;1978;8,3;;;
;1807;-1,9;;1850;-6,4;;1893;-0,7;;1936;0,7;;1979;13,4;;;
;1808;3,4;;1851;-3,0;;1894;-2,0;;1937;3,4;;1980;18,0;;;
;1809;9,7;;1852; -;;1895;-1,0;;1938;1,6;;1981;11,9;;;
;1810;3,2;;1853;9,3;;1896;-0,3;;1939;2,8;;1982;8,6;;;
;1811;-2,9;;1854;15,1;;1897;1,5;;1940;16,8;;1983;4,6;;;
;1812;13,2;;1855;3,3;;1898;0,3;;1941;10,8;;1984;5,0;;;
;1813;2,5;;1856; -;;1899;0,7;;1942;7,1;;1985;6,1;;;
;1814;-12,7;;1857;-5,6;;1900;5,1;;1943;3,4;;1986;3,4;;;
;1815;-10,7;;1858;-8,4;;1901;0,5;;1944;2,7;;1987;4,2;;;
;1816;-8,4;;1859;-1,8;;1902; -;;1945;2,8;;1988;4,9;;;
;1817;13,5;;1860;3,7;;1903;0,4;;1946;3,1;;1989;7,8;;;
;1818;0,3;;1861;2,7;;1904;-0,2;;1947;7,0;;1990;9,5;;;
;1819;-2,5;;1862;-2,6;;1905;0,4;;1948;7,7;;1991;5,9;;;
;1820;-9,3;;1863;-3,6;;1906; -;;1949;2,8;;1992;3,7;;;
;1821;-12,0;;1864;-0,9;;1907;1,2;;1950;3,1;;1993;1,6;;;
;1822;-13,5;;1865;0,9;;1908;0,5;;1951;9,1;;1994;2,4;;;
;1823;6,8;;1866;6,5;;1909;0,5;;1952;9,2;;1995;3,5;;;
;1824;8,6;;1867;6,1;;1910;0,9;;1953;3,1;;1996;2,4;;;
;1825;17,4;;1868;-1,7;;1911;0,1;;1954;1,8;;1997;3,1;;;
;1826;-5,5;;1869;-5,0;;1912;3,0;;1955;4,5;;1998;3,4;;;
;1827;-6,5;;1870; -;;1913;-0,4;;1956;4,9;;1999;1,5;;;
;1828;-2,9;;1871;1,4;;1914;-0,3;;1957;3,7;;2000;3,0;;;
;1829;-1,0;;1872;4,7;;1915;12,5;;1958;3,0;;2001;1,8;;;
;1830;-3,6;;1873;3,1;;1916;18,1;;1959;0,6;;2002;1,7;;;
;1831;9,9;;1874;-3,3;;1917;25,2;;1960;1,0;;2003;2,9;;;
;1832;-7,4;;1875;-1,9;;1918;22,0;;1961;3,4;;2004;3,0;;;
;1833;-6,1;;1876;-0,3;;1919;10,1;;1962;4,3;;2005;2,8;;;
;1834;-7,8;;1877;-0,7;;1920;15,4;;1963;2,0;;2006;3,2;;;
;1835;1,7;;1878;-2,2;;1921;-8,6;;1964;3,3;;2007;4,3;;;
;1836;11,0;;1879;-4,4;;1922;-14,0;;1965;4,8;;2008;4,0;;;
;1837;2,5;;1880;3,0;;1923;-6,0;;1966;3,9;;2009;-0,5;;;
;1838;0,7;;1881;-1,1;;1924;-0,7;;1967;2,5;;2010;4,6;;;
;1839;7,3;;1882;1,0;;1925;0,3;;1968;4,7;;2011;5,2;;;
