Back to Contents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Table 53; HICP - International comparisons: EU countries: 2005 to 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Percentage change over 12 months;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 per cent;;;;;;;;;;;;;;;;;;;;;;;;;;;;; EICP 2;
;; ; ; ; ; Czech; ; ; ; ; ; ; ; ; ; ; ; Luxem-; ; Nether-; ;; ; ; ; ; ;United; EU 28;MUICP
;; Austria; Belgium; Bulgaria; Cyprus; Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; bourg; Malta; lands; Poland; Portugal; Romania; Slovakia; Slovenia; Spain; Sweden;Kingdom 1 ;average 3; average 4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Annual change;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; D7SK; D7SL; GHY8; D7RO; D7RP; D7SM; D7RQ; D7SN; D7SO; D7SP; D7SQ; D7RR; D7SS; D7ST; D7RS; D7RT; D7SU; D7RU; D7SV; D7RV; D7SX; GHY7; D7RW; D7RX; D7SY; D7SZ; D7G7; GJ2E; D7SR
;2005;2,1;2,5;6,0;2,0;1,6;1,7;4,1;0,8;1,9;1,9;3,5;3,5;2,2;2,2;6,9;2,7;3,8;2,5;1,5;2,2;2,1;9,1;2,8;2,5;3,4;0,8;2,1;  ..;2,2
;2006;1,7;2,3;7,4;2,2;2,1;1,8;4,4;1,3;1,9;1,8;3,3;4,0;2,7;2,2;6,6;3,8;3,0;2,6;1,6;1,3;3,0;6,6;4,3;2,5;3,6;1,5;2,3;  ..;2,2
;2007;2,2;1,8;7,6;2,2;2,9;1,7;6,7;1,6;1,6;2,3;3,0;7,9;2,9;2,0;10,1;5,8;2,7;0,7;1,6;2,6;2,4;4,9;1,9;3,8;2,8;1,7;2,3;2,3;2,1
;2008;3,2;4,5;12,0;4,4;6,3;3,6;10,6;3,9;3,2;2,8;4,2;6,0;3,1;3,5;15,3;11,1;4,1;4,7;2,2;4,2;2,7;7,9;3,9;5,5;4,1;3,3;3,6;3,7;3,3
;2009;0,4; -;2,5;0,2;0,6;1,0;0,2;1,6;0,1;0,2;1,3;4,0;-1,7;0,8;3,3;4,2; -;1,8;1,0;4,0;-0,9;5,6;0,9;0,9;-0,2;1,9;2,2;1,0;0,3
;2010;1,7;2,3;3,0;2,6;1,2;2,2;2,7;1,7;1,7;1,1;4,7;4,7;-1,6;1,6;-1,2;1,2;2,8;2,0;0,9;2,6;1,4;6,1;0,7;2,1;2,0;1,9;3,3;2,1;1,6
;2011;3,6;3,4;3,4;3,5;2,2;2,7;5,1;3,3;2,3;2,5;3,1;3,9;1,2;2,9;4,2;4,1;3,7;2,5;2,5;3,9;3,6;5,8;4,1;2,1;3,0;1,4;4,5;3,1;2,7
;2012;2,6;2,6;2,4;3,1;3,5;2,4;4,2;3,2;2,2;2,1;1,0;5,7;1,9;3,3;2,3;3,2;2,9;3,2;2,8;3,7;2,8;3,4;3,7;2,8;2,4;0,9;2,8;2,6;2,5
;2013;2,1;1,2;0,4;0,4;1,4;0,5;3,2;2,2;1,0;1,6;-0,9;1,7;0,5;1,2; -;1,2;1,7;1,0;2,6;0,8;0,4;3,2;1,5;1,9;1,5;0,4;2,6;1,5;1,4
;2014;1,5;0,5;-1,6;-0,3;0,4;0,4;0,5;1,2;0,6;0,8;-1,4; -;0,3;0,2;0,7;0,2;0,7;0,8;0,3;0,1;-0,2;1,4;-0,1;0,4;-0,2;0,2;1,5;0,5;0,4
;2015;0,8;0,6;-1,1;-1,5;0,3;0,2;0,1;-0,2;0,1;0,1;-1,1;0,1; -;0,1;0,2;-0,7;0,1;1,2;0,2;-0,7;0,5;-0,4;-0,3;-0,8;-0,6;0,7; -; - ; -
;2016;1,0;1,8;-1,3;-1,2;0,6; -;0,8;0,4;0,3;0,4; -;0,4;-0,2;-0,1;0,1;0,7;-;0,9;0,1;-0,2;0,6;-1,1;-0,5;-0,2;-0,3;1,1;0,7;0,3;0,2
;2017;2,2;2,2;1,2;0,7;2,4;1,1;3,7;0,8;1,2;1,7;1,1;2,4;0,3;1,3;2,9;3,7;2,1;1,3;1,3;1,6;1,6;1,1;1,4;1,6;2,0;1,9;2,7;1,7;1,5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Monthly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Aug 2015;1,0;0,8;-0,8;-1,9;0,2;0,3;0,2;-0,2;0,1;0,1;-0,4;0,1;0,2;0,3;0,2;-1,0;0,1;1,4;0,4;-0,4;0,7;-1,7;-0,2;-0,6;-0,5;0,6;-; -;0,1
