Back to Contents;;;;;;;;;;;;
THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;
Table 54; Average retail prices of selected items 1 for 14 August 2018 2;;;;;;;;;;;
;;;;;;;;;;;;
;; ; ; Price range;;;;;;;;
;; ; ; within which 80;;;;;;;;
;; ; ; per cent of;;;;;;;;
;; ; ; quotations fell;;;;;;;;
;; Number; Average; (pence);;;;;;;;
;; of; price; ;;;;;;;;
;; quotations; (pence)1; From; ; To;;;;;;
 ; FOOD ITEMS;;;;;;;;;;;
 ;;;;;;;;;;;;
 ; Beef: home-killed, per kg;;;;;;;;;;;
 ; Best beef mince;525;693;432;0;999;;;;;;
 ; Topside;263;1150;700;0;1550;;;;;;
 ; Rump steak;464;1571;1058;0;1999;;;;;;
 ;;;;;;;;;;;;
 ; Lamb: home-killed, per kg;;;;;;;;;;;
; Loin chops/steak ;497;1323;1097;;1825;;;;;;
 ; Shoulder (with bone);148;852;661;0;1195;;;;;;
;;;;;;;;;;;;
 ; Lamb: imported (frozen), per kg;;;;;;;;;;;
 ; Leg (with bone);76;825;808;0;875;;;;;;
 ;;;;;;;;;;;;
 ; Pork: home-killed, per kg;;;;;;;;;;;
 ; Loin (with bone);376;634;438;0;879;;;;;;
 ;;;;;;;;;;;;
 ; Bacon, per kg;;;;;;;;;;;
 ; Gammon;510;649;319;0;895;;;;;;
 ; Back;539;753;600;0;1248;;;;;;
 ;;;;;;;;;;;;
 ; Ham;;;;;;;;;;;
 ; Ham 100 - 125g;392;175;60;0;299;;;;;;
 ;;;;;;;;;;;;
 ; Sausages, per kg;;;;;;;;;;;
 ; Pork;489;502;284;0;795;;;;;;
 ;;;;;;;;;;;;
 ; Chicken: roasting, oven ready, per kg;;;;;;;;;;;
 ; Fresh or chilled;487;279;186;0;399;;;;;;
 ;;;;;;;;;;;;
 ; Fresh and smoked fish, per kg;;;;;;;;;;;
 ; White fish fillets;159;1420;1050;0;1999;;;;;;
 ; Salmon fillets;177;1662;1265;0;2107;;;;;;
 ;;;;;;;;;;;;
 ; Bread;;;;;;;;;;;
 ; White loaf, sliced 800g;210;105;55;0;125;;;;;;
 ; White loaf, unwrapped, 800g;150;115;110;0;160;;;;;;
 ; Wholemeal loaf sliced, 800g;197;105;100;0;120;;;;;;
 ;;;;;;;;;;;;
 ; Flour;;;;;;;;;;;
 ; Self raising, per 1.5kg;217;73;54;0;95;;;;;;
